x_l , NLO , dNLO
0.00000000 , 1.021583274818308e-02 , 1.338582155678128e-06
0.30000000 , 1.029447539288010e-02 , 1.340077100123710e-06
0.60000000 , 1.041693518966801e-02 , 1.343980050757666e-06
0.90000000 , 1.054786928000264e-02 , 1.349339922110664e-06
1.20000000 , 1.067241842475013e-02 , 1.355223246526795e-06
1.50000000 , 1.079605228803737e-02 , 1.362353562197609e-06
1.80000000 , 1.093039183019816e-02 , 1.371332162391468e-06
2.10000000 , 1.108750626551087e-02 , 1.382225837325765e-06
2.40000000 , 1.124255092372215e-02 , 1.393274268508617e-06
2.70000000 , 1.132417991155085e-02 , 1.399299062868292e-06
3.00000000 , 1.129517218164106e-02 , 1.398043602212134e-06
3.30000000 , 1.119640471621434e-02 , 1.392307027048931e-06
3.60000000 , 1.107052112568628e-02 , 1.384836450549757e-06
3.90000000 , 1.093930755417785e-02 , 1.377956483177096e-06
4.20000000 , 1.080299045263735e-02 , 1.370310611840803e-06
4.50000000 , 1.067540289705662e-02 , 1.363922169163206e-06
4.80000000 , 1.054792542096653e-02 , 1.357494747057998e-06
5.10000000 , 1.043267751729153e-02 , 1.352129334643176e-06
5.40000000 , 1.032361681417341e-02 , 1.347352061814601e-06
5.70000000 , 1.021949501134066e-02 , 1.342916453148930e-06
6.00000000 , 1.012216534471402e-02 , 1.338674005512697e-06
6.30000000 , 1.003410005203438e-02 , 1.335415018140387e-06
6.60000000 , 9.951113892862956e-03 , 1.332422609455455e-06
6.90000000 , 9.876558675392123e-03 , 1.330023165678142e-06
7.20000000 , 9.806889307923877e-03 , 1.327984372217814e-06
7.50000000 , 9.752721125769010e-03 , 1.327107522341510e-06
7.80000000 , 9.705712865391604e-03 , 1.326932861782485e-06
8.10000000 , 9.664617276015553e-03 , 1.326475651288549e-06
8.40000000 , 9.638513591271242e-03 , 1.327554306462363e-06
8.70000000 , 9.626096347037242e-03 , 1.329267638776506e-06
9.00000000 , 9.633962666856824e-03 , 1.333058997337878e-06
9.30000000 , 9.667386851076286e-03 , 1.338372580133466e-06
