x_l , NLO , dNLO
0.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
0.83333333 , 0.000000000000000e+00 , 0.000000000000000e+00
1.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
2.50000000 , 0.000000000000000e+00 , 0.000000000000000e+00
3.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
4.16666667 , 0.000000000000000e+00 , 0.000000000000000e+00
5.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
5.83333333 , 0.000000000000000e+00 , 0.000000000000000e+00
6.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
7.50000000 , 0.000000000000000e+00 , 0.000000000000000e+00
8.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
9.16666667 , 0.000000000000000e+00 , 0.000000000000000e+00
10.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
10.83333333 , 0.000000000000000e+00 , 0.000000000000000e+00
11.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
12.50000000 , 0.000000000000000e+00 , 0.000000000000000e+00
13.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
14.16666667 , 0.000000000000000e+00 , 0.000000000000000e+00
15.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
15.83333333 , 0.000000000000000e+00 , 0.000000000000000e+00
16.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
17.50000000 , 0.000000000000000e+00 , 0.000000000000000e+00
18.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
19.16666667 , 0.000000000000000e+00 , 0.000000000000000e+00
20.00000000 , 8.250822840769342e-04 , 2.244444335272772e-07
20.83333333 , 7.971488036927516e-04 , 2.207734438184610e-07
21.66666667 , 7.726243841216294e-04 , 2.176757584302677e-07
22.50000000 , 7.485491231109685e-04 , 2.144163401887885e-07
23.33333333 , 7.277745162359503e-04 , 2.117910070985520e-07
24.16666667 , 7.075680275575373e-04 , 2.089863512222167e-07
25.00000000 , 6.890087523996485e-04 , 2.065220748937203e-07
25.83333333 , 6.714060136083261e-04 , 2.039786684246998e-07
26.66666667 , 6.550682206363497e-04 , 2.017601789065420e-07
27.50000000 , 6.401229146227004e-04 , 1.997950882087482e-07
28.33333333 , 6.255810821696009e-04 , 1.977001754253839e-07
29.16666667 , 6.121756479935385e-04 , 1.957077737401973e-07
30.00000000 , 5.994133407855374e-04 , 1.939087826319792e-07
30.83333333 , 5.877743610082384e-04 , 1.922333990097246e-07
31.66666667 , 5.766450979961879e-04 , 1.906436630264076e-07
32.50000000 , 5.661934698713950e-04 , 1.891313532108832e-07
33.33333333 , 5.560669062132773e-04 , 1.875981530334932e-07
34.16666667 , 5.467814174921811e-04 , 1.863035014365137e-07
35.00000000 , 5.380635509604295e-04 , 1.850428827157804e-07
35.83333333 , 5.295343726288836e-04 , 1.836876507177635e-07
36.66666667 , 5.212564345007201e-04 , 1.824887906907039e-07
37.50000000 , 5.138933705402577e-04 , 1.814302848948311e-07
38.33333333 , 5.069740468471207e-04 , 1.804422460709513e-07
39.16666667 , 4.997109286478854e-04 , 1.791533668039246e-07
40.00000000 , 4.933196117224007e-04 , 1.782702504488328e-07
40.83333333 , 4.875603899397900e-04 , 1.774941265100081e-07
41.66666667 , 4.815099953413450e-04 , 1.765366900108358e-07
42.50000000 , 4.765188175684054e-04 , 1.758716145441612e-07
43.33333333 , 4.709901754690524e-04 , 1.750591889094789e-07
44.16666667 , 4.663860385331449e-04 , 1.744875871894804e-07
45.00000000 , 4.617335978450551e-04 , 1.737948378124764e-07
45.83333333 , 4.571463871631683e-04 , 1.731082318358237e-07
46.66666667 , 4.535576376927994e-04 , 1.726884336431348e-07
47.50000000 , 4.503855372653345e-04 , 1.720443207182473e-07
48.33333333 , 4.487546942888549e-04 , 1.719905178365996e-07
49.16666667 , 4.475426857362635e-04 , 1.717492634649993e-07
50.00000000 , 4.467231615558016e-04 , 1.716302284028678e-07
50.83333333 , 4.460683407829146e-04 , 1.714713409615673e-07
51.66666667 , 4.453703697514426e-04 , 1.713676299076077e-07
52.50000000 , 4.449157821404668e-04 , 1.713547396982721e-07
53.33333333 , 4.446233497938071e-04 , 1.713838283048337e-07
54.16666667 , 4.444294539876594e-04 , 1.714132066370706e-07
55.00000000 , 4.441485475047335e-04 , 1.714704261257321e-07
55.83333333 , 4.445786150444702e-04 , 1.716569366183890e-07
56.66666667 , 4.448744092193746e-04 , 1.717345604576412e-07
57.50000000 , 4.447302465045490e-04 , 1.717327696124957e-07
58.33333333 , 4.453340658193494e-04 , 1.720065274227694e-07
59.16666667 , 4.457385730582958e-04 , 1.720179117163394e-07
60.00000000 , 4.465020320975151e-04 , 1.723497400236393e-07
60.83333333 , 4.471186684350699e-04 , 1.725272032834055e-07
61.66666667 , 4.485650754600835e-04 , 1.729456984186496e-07
62.50000000 , 4.494599828028509e-04 , 1.731513010484141e-07
63.33333333 , 4.503652301098284e-04 , 1.734070005598473e-07
64.16666667 , 4.519450770820598e-04 , 1.738052568380910e-07
65.00000000 , 4.530190299780423e-04 , 1.739450959906026e-07
