x_l , NLO , dNLO
316.00000000 , 1.835426063873073e-05 , 1.853499322075291e-08
317.01000000 , 2.401755859678606e-05 , 2.133353177634570e-08
318.02000000 , 2.436382489654009e-05 , 2.165812924683016e-08
319.03000000 , 2.474931283122189e-05 , 2.199556943601458e-08
320.04000000 , 2.505801773565060e-05 , 2.228100922885606e-08
321.05000000 , 2.535240335402544e-05 , 2.255511564312082e-08
322.06000000 , 2.571132801381199e-05 , 2.287424168630959e-08
323.07000000 , 2.604003290261374e-05 , 2.316684513107569e-08
324.08000000 , 2.635201734509611e-05 , 2.345050939395692e-08
325.09000000 , 2.665597048578549e-05 , 2.373108793413188e-08
326.10000000 , 2.696783474560544e-05 , 2.400835902717010e-08
327.11000000 , 2.729250922756150e-05 , 2.429819565425187e-08
328.12000000 , 2.762975326149984e-05 , 2.457935463823108e-08
329.13000000 , 2.791583427859863e-05 , 2.484431893132681e-08
330.14000000 , 2.821717142272360e-05 , 2.512065049223065e-08
331.15000000 , 2.847604638740228e-05 , 2.535587264702671e-08
332.16000000 , 2.873645213210358e-05 , 2.559482457418883e-08
333.17000000 , 2.909854770565877e-05 , 2.588658142300084e-08
334.18000000 , 2.931710653197578e-05 , 2.610262655482642e-08
335.19000000 , 2.968447134399060e-05 , 2.639615206533485e-08
336.20000000 , 2.994617464566998e-05 , 2.663567556876725e-08
337.21000000 , 3.019517634224930e-05 , 2.686852841945137e-08
338.22000000 , 3.052060432152958e-05 , 2.712844169637004e-08
339.23000000 , 3.075537846629116e-05 , 2.735874718550234e-08
340.24000000 , 3.102957083294733e-05 , 2.759830644379588e-08
341.25000000 , 3.132992453290089e-05 , 2.783724936763010e-08
342.26000000 , 3.158680016075214e-05 , 2.806743973388100e-08
343.27000000 , 3.184433905509985e-05 , 2.828707606291979e-08
344.28000000 , 3.210016372210457e-05 , 2.850372362861974e-08
345.29000000 , 3.240152803043670e-05 , 2.875692764763366e-08
346.30000000 , 3.259926609832156e-05 , 2.893860157073482e-08
347.31000000 , 3.289768438113083e-05 , 2.918334963676913e-08
348.32000000 , 3.313415536551238e-05 , 2.938574543125884e-08
349.33000000 , 3.339444078076046e-05 , 2.960716694321923e-08
350.34000000 , 3.363862004173441e-05 , 2.981583704789782e-08
351.35000000 , 3.397442076769305e-05 , 3.008549579397006e-08
352.36000000 , 3.419775819262670e-05 , 3.028623018840689e-08
353.37000000 , 3.446541077638524e-05 , 3.048798814824386e-08
354.38000000 , 3.466940047320989e-05 , 3.067454163452487e-08
355.39000000 , 3.498490070082296e-05 , 3.092217635790044e-08
356.40000000 , 3.524109082884153e-05 , 3.111801978061451e-08
357.41000000 , 3.541390710206751e-05 , 3.129236115069423e-08
358.42000000 , 3.561261143683688e-05 , 3.146779042352606e-08
359.43000000 , 3.592437872078512e-05 , 3.171203181789888e-08
360.44000000 , 3.613636163515927e-05 , 3.188683421666127e-08
361.45000000 , 3.636447475232467e-05 , 3.207852793446420e-08
362.46000000 , 3.663710180255728e-05 , 3.230103128925210e-08
363.47000000 , 3.685182528482410e-05 , 3.247417615353839e-08
364.48000000 , 3.717380588319173e-05 , 3.269599702422695e-08
365.49000000 , 3.737865493740976e-05 , 3.287147163473615e-08
366.50000000 , 3.761564060888201e-05 , 3.306829830846031e-08
367.51000000 , 3.788136891745894e-05 , 3.327171049473377e-08
368.52000000 , 3.807447438215619e-05 , 3.344530106924693e-08
369.53000000 , 3.827076012936854e-05 , 3.359814373256394e-08
370.54000000 , 3.854717324766788e-05 , 3.380606548682013e-08
371.55000000 , 3.885616078315518e-05 , 3.404314954278684e-08
372.56000000 , 3.907255882656390e-05 , 3.421301957640603e-08
373.57000000 , 3.926284536314810e-05 , 3.436391238683090e-08
374.58000000 , 3.950214877920885e-05 , 3.454737058586944e-08
375.59000000 , 3.978390016498124e-05 , 3.476449358793744e-08
376.60000000 , 4.000956715661506e-05 , 3.493055118965512e-08
377.61000000 , 4.021748090803542e-05 , 3.509763481450853e-08
378.62000000 , 4.043692363891900e-05 , 3.526889921648938e-08
379.63000000 , 4.063710521165847e-05 , 3.541740673169037e-08
380.64000000 , 4.093535683383063e-05 , 3.564305718240183e-08
381.65000000 , 4.117519481262848e-05 , 3.580556332671341e-08
382.66000000 , 4.139838903163931e-05 , 3.599190781516572e-08
383.67000000 , 4.168243068384397e-05 , 3.618583174169021e-08
