x_l , NLO , dNLO
316.00000000 , 1.778022865311386e-05 , 1.821981887766932e-08
317.01000000 , 2.326983695096142e-05 , 2.097539213943041e-08
318.02000000 , 2.360359718259688e-05 , 2.129341260505676e-08
319.03000000 , 2.396249798763584e-05 , 2.161539846702661e-08
320.04000000 , 2.426649303085847e-05 , 2.189947655925134e-08
321.05000000 , 2.454531555325550e-05 , 2.216570159025945e-08
322.06000000 , 2.489664524969983e-05 , 2.248272805984474e-08
323.07000000 , 2.520975681394632e-05 , 2.276631987807400e-08
324.08000000 , 2.550269284002686e-05 , 2.304054181455766e-08
325.09000000 , 2.579029838256980e-05 , 2.331156211017405e-08
326.10000000 , 2.608975983949950e-05 , 2.358581036389659e-08
327.11000000 , 2.640542181811223e-05 , 2.387227201718654e-08
328.12000000 , 2.671865288679885e-05 , 2.413675624140429e-08
329.13000000 , 2.699197456878067e-05 , 2.439983327215804e-08
330.14000000 , 2.728138120570963e-05 , 2.466840723531588e-08
331.15000000 , 2.752876327600489e-05 , 2.489774597914937e-08
332.16000000 , 2.777264431773584e-05 , 2.512817659420892e-08
333.17000000 , 2.811895545822587e-05 , 2.541026083338752e-08
334.18000000 , 2.832152327521374e-05 , 2.561958727842376e-08
335.19000000 , 2.867227521843440e-05 , 2.590695626353380e-08
336.20000000 , 2.891300546514411e-05 , 2.613319783582772e-08
337.21000000 , 2.915486847115302e-05 , 2.636555337982291e-08
338.22000000 , 2.946247155688822e-05 , 2.661810822210766e-08
339.23000000 , 2.968529404116552e-05 , 2.683964371016737e-08
340.24000000 , 2.993643095451116e-05 , 2.706987756877553e-08
341.25000000 , 3.022326403050542e-05 , 2.730214470732424e-08
342.26000000 , 3.046016050482076e-05 , 2.752019252499927e-08
343.27000000 , 3.070695068709114e-05 , 2.773961052565306e-08
344.28000000 , 3.093601509198921e-05 , 2.793689788012658e-08
345.29000000 , 3.123028690137063e-05 , 2.818956807846910e-08
346.30000000 , 3.141474322976028e-05 , 2.836290599080676e-08
347.31000000 , 3.168615449855567e-05 , 2.859564613349463e-08
348.32000000 , 3.190686958961325e-05 , 2.878950838707228e-08
349.33000000 , 3.214742159667756e-05 , 2.899762067741203e-08
350.34000000 , 3.237936524901672e-05 , 2.920374547707638e-08
351.35000000 , 3.269292505408911e-05 , 2.946403726675105e-08
352.36000000 , 3.290156175706586e-05 , 2.965780487973268e-08
353.37000000 , 3.314714461848503e-05 , 2.984703854505498e-08
354.38000000 , 3.334150199021822e-05 , 3.002860855611706e-08
355.39000000 , 3.363680533665872e-05 , 3.026870711564097e-08
356.40000000 , 3.386448904923037e-05 , 3.044923037042451e-08
357.41000000 , 3.402707978017246e-05 , 3.062052400230181e-08
358.42000000 , 3.421067530119304e-05 , 3.078738599160735e-08
359.43000000 , 3.450546906633763e-05 , 3.102550237929404e-08
360.44000000 , 3.470007529908945e-05 , 3.118948784149841e-08
361.45000000 , 3.490429774463489e-05 , 3.137153874248281e-08
362.46000000 , 3.514365678560171e-05 , 3.157182831859748e-08
363.47000000 , 3.535556649003033e-05 , 3.174477093765942e-08
364.48000000 , 3.565781616336116e-05 , 3.196626255968560e-08
365.49000000 , 3.583778919139889e-05 , 3.212424578809419e-08
366.50000000 , 3.605006787172442e-05 , 3.230514688404852e-08
367.51000000 , 3.630176938493031e-05 , 3.250352872367545e-08
