x_l , NLO , dNLO
0.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
3.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
6.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
10.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
13.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
16.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
20.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
23.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
26.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
30.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
33.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
36.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
40.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
43.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
46.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
50.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
53.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
56.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
60.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
63.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
66.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
70.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
73.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
76.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
80.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
83.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
86.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
90.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
93.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
96.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
100.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
103.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
106.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
110.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
113.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
116.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
120.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
123.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
126.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
130.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
133.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
136.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
140.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
143.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
146.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
150.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
153.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
156.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
160.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
163.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
166.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
170.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
173.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
176.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
180.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
183.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
186.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
190.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
193.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
196.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
200.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
203.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
206.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
210.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
213.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
216.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
220.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
223.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
226.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
230.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
233.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
236.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
240.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
243.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
246.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
250.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
253.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
256.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
260.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
263.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
266.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
270.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
273.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
276.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
280.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
283.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
286.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
290.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
293.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
296.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
300.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
303.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
306.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
310.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
313.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
316.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
320.00000000 , 5.846461019865871e-13 , 5.846461013801663e-13
323.33333333 , 4.443707507870857e-11 , 1.148698875927491e-11
326.66666667 , 1.864788451104098e-10 , 1.043983954099695e-10
330.00000000 , 1.342780634376793e-10 , 1.333632567056851e-11
333.33333333 , 1.715334335180523e-10 , 1.377348272323116e-11
336.66666667 , 2.115682243608284e-10 , 1.095530381689629e-11
340.00000000 , 3.154680775503532e-10 , 1.432203855121672e-11
343.33333333 , 4.521626504394927e-10 , 2.338546058894944e-11
346.66666667 , 5.884852856953632e-10 , 2.506995269694041e-11
350.00000000 , 7.579166743142373e-10 , 2.835454930704743e-11
353.33333333 , 9.748413432462119e-10 , 3.309920538690174e-11
356.66666667 , 1.228689825194680e-09 , 4.115760650890614e-11
360.00000000 , 1.477563403832410e-09 , 4.475439630077437e-11
363.33333333 , 1.921383215392349e-09 , 5.635706702929467e-11
366.66666667 , 2.352554333677039e-09 , 6.570696855137671e-11
370.00000000 , 2.805977555089213e-09 , 6.852156271405171e-11
373.33333333 , 3.482342356823665e-09 , 7.996300627245995e-11
376.66666667 , 4.186629665005770e-09 , 9.249755523687131e-11
380.00000000 , 5.019370048280837e-09 , 1.046965656320181e-10
383.33333333 , 5.665634062996360e-09 , 1.139351874577343e-10
386.66666667 , 6.635152235418373e-09 , 1.222244458817343e-10
390.00000000 , 7.677566222407176e-09 , 1.357856057019463e-10
393.33333333 , 8.576018538731761e-09 , 1.470568337434604e-10
396.66666667 , 1.004738957483006e-08 , 1.615769261724702e-10
400.00000000 , 1.169395921571820e-08 , 1.842679444824168e-10
403.33333333 , 1.309855160469243e-08 , 1.938651488948232e-10
406.66666667 , 1.434085789540979e-08 , 2.060365415796167e-10
410.00000000 , 1.653898987106294e-08 , 2.218856983842743e-10
413.33333333 , 1.835302411952695e-08 , 2.395793169307956e-10
416.66666667 , 2.075278388058439e-08 , 2.598959503688847e-10
420.00000000 , 2.336270163181379e-08 , 2.838525718982491e-10
423.33333333 , 2.553532417116390e-08 , 2.944059940044454e-10
426.66666667 , 2.915690307884044e-08 , 3.266326963094993e-10
430.00000000 , 3.212046266018276e-08 , 3.460179468572847e-10
433.33333333 , 3.566093900595534e-08 , 3.700668610885855e-10
436.66666667 , 3.966900593291368e-08 , 3.936793323111865e-10
440.00000000 , 4.353669055441267e-08 , 4.203172642075209e-10
443.33333333 , 4.796770147108716e-08 , 4.370319564035177e-10
446.66666667 , 5.266733111779607e-08 , 4.714992640427211e-10
450.00000000 , 5.810664864323788e-08 , 4.978063604512182e-10
453.33333333 , 6.384607066865901e-08 , 5.232879427623014e-10
