x_l , NLO , dNLO
7.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
7.91666667 , 0.000000000000000e+00 , 0.000000000000000e+00
8.83333333 , 0.000000000000000e+00 , 0.000000000000000e+00
9.75000000 , 0.000000000000000e+00 , 0.000000000000000e+00
10.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
11.58333333 , 0.000000000000000e+00 , 0.000000000000000e+00
12.50000000 , 0.000000000000000e+00 , 0.000000000000000e+00
13.41666667 , 0.000000000000000e+00 , 0.000000000000000e+00
14.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
15.25000000 , 0.000000000000000e+00 , 0.000000000000000e+00
16.16666667 , 0.000000000000000e+00 , 0.000000000000000e+00
17.08333333 , 0.000000000000000e+00 , 0.000000000000000e+00
18.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
18.91666667 , 0.000000000000000e+00 , 0.000000000000000e+00
19.83333333 , 0.000000000000000e+00 , 0.000000000000000e+00
20.75000000 , 0.000000000000000e+00 , 0.000000000000000e+00
21.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
22.58333333 , 0.000000000000000e+00 , 0.000000000000000e+00
23.50000000 , 0.000000000000000e+00 , 0.000000000000000e+00
24.41666667 , 0.000000000000000e+00 , 0.000000000000000e+00
25.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
26.25000000 , 0.000000000000000e+00 , 0.000000000000000e+00
27.16666667 , 0.000000000000000e+00 , 0.000000000000000e+00
28.08333333 , 0.000000000000000e+00 , 0.000000000000000e+00
29.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
29.91666667 , 0.000000000000000e+00 , 0.000000000000000e+00
30.83333333 , 0.000000000000000e+00 , 0.000000000000000e+00
31.75000000 , 0.000000000000000e+00 , 0.000000000000000e+00
32.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
33.58333333 , 0.000000000000000e+00 , 0.000000000000000e+00
34.50000000 , 0.000000000000000e+00 , 0.000000000000000e+00
35.41666667 , 0.000000000000000e+00 , 0.000000000000000e+00
36.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
37.25000000 , 0.000000000000000e+00 , 0.000000000000000e+00
38.16666667 , 0.000000000000000e+00 , 0.000000000000000e+00
39.08333333 , 0.000000000000000e+00 , 0.000000000000000e+00
40.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
40.91666667 , 0.000000000000000e+00 , 0.000000000000000e+00
41.83333333 , 0.000000000000000e+00 , 0.000000000000000e+00
42.75000000 , 0.000000000000000e+00 , 0.000000000000000e+00
43.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
44.58333333 , 0.000000000000000e+00 , 0.000000000000000e+00
45.50000000 , 0.000000000000000e+00 , 0.000000000000000e+00
46.41666667 , 0.000000000000000e+00 , 0.000000000000000e+00
47.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
48.25000000 , 0.000000000000000e+00 , 0.000000000000000e+00
49.16666667 , 0.000000000000000e+00 , 0.000000000000000e+00
50.08333333 , 0.000000000000000e+00 , 0.000000000000000e+00
51.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
51.91666667 , 0.000000000000000e+00 , 0.000000000000000e+00
52.83333333 , 0.000000000000000e+00 , 0.000000000000000e+00
53.75000000 , 0.000000000000000e+00 , 0.000000000000000e+00
54.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
55.58333333 , 0.000000000000000e+00 , 0.000000000000000e+00
56.50000000 , 0.000000000000000e+00 , 0.000000000000000e+00
57.41666667 , 0.000000000000000e+00 , 0.000000000000000e+00
58.33333333 , 0.000000000000000e+00 , 0.000000000000000e+00
59.25000000 , 0.000000000000000e+00 , 0.000000000000000e+00
60.16666667 , 0.000000000000000e+00 , 0.000000000000000e+00
61.08333333 , 0.000000000000000e+00 , 0.000000000000000e+00
62.00000000 , 0.000000000000000e+00 , 0.000000000000000e+00
62.91666667 , 0.000000000000000e+00 , 0.000000000000000e+00
63.83333333 , 0.000000000000000e+00 , 0.000000000000000e+00
64.75000000 , 0.000000000000000e+00 , 0.000000000000000e+00
65.66666667 , 0.000000000000000e+00 , 0.000000000000000e+00
66.58333333 , 0.000000000000000e+00 , 0.000000000000000e+00
67.50000000 , 0.000000000000000e+00 , 0.000000000000000e+00
