x_l , NLO , dNLO
0.00000000 , 1.400011365639294e-03 , 2.671076252849817e-07
1.00000000 , 1.400028371131553e-03 , 2.671281480091076e-07
2.00000000 , 1.399656752201352e-03 , 2.670390590788188e-07
3.00000000 , 1.399238075712292e-03 , 2.669624744379716e-07
4.00000000 , 1.400035604998453e-03 , 2.671738237791430e-07
5.00000000 , 1.399402678264281e-03 , 2.670581556493365e-07
6.00000000 , 1.398918968108117e-03 , 2.669625600814613e-07
7.00000000 , 1.399145144561255e-03 , 2.670388134735245e-07
8.00000000 , 1.398642998550923e-03 , 2.669810821067538e-07
9.00000000 , 1.398464022001202e-03 , 2.669731764275874e-07
10.00000000 , 1.397961507629203e-03 , 2.669740940722646e-07
11.00000000 , 1.397950658763132e-03 , 2.670240685847798e-07
12.00000000 , 1.397792436977905e-03 , 2.670462671355361e-07
13.00000000 , 1.396925344726622e-03 , 2.669151461035030e-07
14.00000000 , 1.396765282293487e-03 , 2.669043618947891e-07
15.00000000 , 1.396069844541020e-03 , 2.668730129283726e-07
16.00000000 , 1.395191186985863e-03 , 2.667209214216716e-07
17.00000000 , 1.394852108385297e-03 , 2.667001271693907e-07
18.00000000 , 1.394364885322036e-03 , 2.667219237666198e-07
19.00000000 , 1.393740045375471e-03 , 2.667053510267300e-07
20.00000000 , 1.392903433736052e-03 , 2.665991940196901e-07
21.00000000 , 1.392540230355792e-03 , 2.666737441453562e-07
22.00000000 , 1.391136356761171e-03 , 2.664424565245832e-07
23.00000000 , 1.390730756683242e-03 , 2.664923628769473e-07
24.00000000 , 1.389793862895630e-03 , 2.664211072024621e-07
25.00000000 , 1.389266483799323e-03 , 2.663921360063751e-07
26.00000000 , 1.388173839380507e-03 , 2.663155944531155e-07
27.00000000 , 1.387743024492350e-03 , 2.663341038977686e-07
28.00000000 , 1.386969194851926e-03 , 2.663519766525635e-07
29.00000000 , 1.385455333795112e-03 , 2.661765136181169e-07
30.00000000 , 1.384815831828225e-03 , 2.661595815627636e-07
31.00000000 , 1.383764900126732e-03 , 2.661014409208725e-07
32.00000000 , 1.382270358535661e-03 , 2.659736778010592e-07
33.00000000 , 1.382006559294600e-03 , 2.660044304493047e-07
34.00000000 , 1.380386841563675e-03 , 2.658833683534794e-07
35.00000000 , 1.379241439085517e-03 , 2.658073433293227e-07
36.00000000 , 1.378319749356486e-03 , 2.657904431230446e-07
37.00000000 , 1.376774617206184e-03 , 2.656592837874472e-07
38.00000000 , 1.375279615381182e-03 , 2.654984464352390e-07
