x_l , NLO , dNLO
0.00000000 , 1.399749467529059e-03 , 2.670275183550609e-07
1.00000000 , 1.399297157921061e-03 , 2.669740193379790e-07
2.00000000 , 1.400212121708201e-03 , 2.671283925111760e-07
3.00000000 , 1.399864493994130e-03 , 2.671064014848020e-07
4.00000000 , 1.399324170101060e-03 , 2.669910301001864e-07
5.00000000 , 1.399314104532059e-03 , 2.670222238451523e-07
6.00000000 , 1.399442681554616e-03 , 2.670350166615632e-07
7.00000000 , 1.399272386562501e-03 , 2.670543823931956e-07
8.00000000 , 1.398140885711918e-03 , 2.668817040804167e-07
9.00000000 , 1.398195946492805e-03 , 2.669949398706123e-07
10.00000000 , 1.398438262653127e-03 , 2.670153589471535e-07
11.00000000 , 1.398163859918947e-03 , 2.669965227029955e-07
12.00000000 , 1.397148907798285e-03 , 2.668653983344423e-07
13.00000000 , 1.397083491597834e-03 , 2.669002583262257e-07
14.00000000 , 1.396679544809078e-03 , 2.668924599034400e-07
15.00000000 , 1.395853162158797e-03 , 2.668233226480921e-07
16.00000000 , 1.395349133786268e-03 , 2.667504384796903e-07
17.00000000 , 1.394667945943783e-03 , 2.667570552617075e-07
18.00000000 , 1.394372931285726e-03 , 2.667554446084403e-07
19.00000000 , 1.393474757123173e-03 , 2.666830184831091e-07
20.00000000 , 1.392852010350100e-03 , 2.666348798133053e-07
21.00000000 , 1.392258367230479e-03 , 2.666059578363275e-07
22.00000000 , 1.392086603357320e-03 , 2.666249919241243e-07
23.00000000 , 1.390988642063359e-03 , 2.665280211497960e-07
24.00000000 , 1.390114513719179e-03 , 2.665339264583109e-07
25.00000000 , 1.389201215306803e-03 , 2.664157694656212e-07
26.00000000 , 1.388426280142679e-03 , 2.664327299362928e-07
27.00000000 , 1.387552107759912e-03 , 2.663133288345256e-07
28.00000000 , 1.386684993165940e-03 , 2.662845255993155e-07
29.00000000 , 1.386074713955756e-03 , 2.662910159560688e-07
30.00000000 , 1.384718384774096e-03 , 2.661507602014615e-07
31.00000000 , 1.383554715476381e-03 , 2.660285144930322e-07
32.00000000 , 1.382635837519952e-03 , 2.659955199872188e-07
33.00000000 , 1.381351231459955e-03 , 2.658521432936743e-07
34.00000000 , 1.380273401215342e-03 , 2.658633633431992e-07
35.00000000 , 1.379421712948480e-03 , 2.658587433424455e-07
36.00000000 , 1.378126329505371e-03 , 2.657462810526049e-07
37.00000000 , 1.376884828340540e-03 , 2.656808855278405e-07
38.00000000 , 1.375728874621004e-03 , 2.656201660405226e-07
39.00000000 , 1.374813354909980e-03 , 2.656384650945753e-07
40.00000000 , 1.372836210828469e-03 , 2.653915584623951e-07
41.00000000 , 1.371408348420792e-03 , 2.653220105744939e-07
42.00000000 , 1.370678004330612e-03 , 2.652754395509144e-07
43.00000000 , 1.369061399647127e-03 , 2.652158657631708e-07
44.00000000 , 1.367608350924736e-03 , 2.651069991297905e-07
45.00000000 , 1.366135450401447e-03 , 2.650196969450161e-07
46.00000000 , 1.364815605592599e-03 , 2.649178372797003e-07
47.00000000 , 1.363809710516110e-03 , 2.649209704336618e-07
48.00000000 , 1.361095575734565e-03 , 2.647023277636366e-07
49.00000000 , 1.359734035973693e-03 , 2.645561642422046e-07
50.00000000 , 1.357993097218599e-03 , 2.644305948428393e-07
51.00000000 , 1.356361856195582e-03 , 2.643625876868176e-07
52.00000000 , 1.354988009274319e-03 , 2.642943177308822e-07
53.00000000 , 1.352782541858219e-03 , 2.640739852186121e-07
54.00000000 , 1.351175816758282e-03 , 2.640302567450847e-07
55.00000000 , 1.349715778296584e-03 , 2.639173777718748e-07
56.00000000 , 1.347887294784743e-03 , 2.638188258314509e-07
57.00000000 , 1.345932062004912e-03 , 2.637561744734578e-07
58.00000000 , 1.344063200609294e-03 , 2.635611982437679e-07
59.00000000 , 1.342219382924701e-03 , 2.634745502089020e-07
60.00000000 , 1.340354717054998e-03 , 2.634179048034283e-07
61.00000000 , 1.338197599959271e-03 , 2.632069389856429e-07
62.00000000 , 1.336023648576640e-03 , 2.630405744831223e-07
63.00000000 , 1.334454810798870e-03 , 2.630064419075316e-07
64.00000000 , 1.332301011727932e-03 , 2.628945156031220e-07
65.00000000 , 1.330148577641176e-03 , 2.626935446735131e-07
66.00000000 , 1.328053275740509e-03 , 2.625330067044017e-07
67.00000000 , 1.325467246944519e-03 , 2.624343103934331e-07
68.00000000 , 1.323532533861873e-03 , 2.622498356248231e-07
69.00000000 , 1.320941222075734e-03 , 2.620143920966578e-07
70.00000000 , 1.319484405444160e-03 , 2.620352063062271e-07
71.00000000 , 1.316721059807354e-03 , 2.618355667999486e-07
72.00000000 , 1.314188887371469e-03 , 2.616284282041066e-07
73.00000000 , 1.312434288673828e-03 , 2.615344474218548e-07
74.00000000 , 1.309494773322419e-03 , 2.613120703854056e-07
75.00000000 , 1.307254561730142e-03 , 2.611943458623296e-07
76.00000000 , 1.304610854770900e-03 , 2.609673026926197e-07
77.00000000 , 1.302668069107548e-03 , 2.609327976422210e-07
78.00000000 , 1.299789841897269e-03 , 2.606634185598568e-07
79.00000000 , 1.297668863758905e-03 , 2.605877708649388e-07
80.00000000 , 1.294082754368584e-03 , 2.602554851720891e-07
81.00000000 , 1.292451446840653e-03 , 2.602291829240586e-07
82.00000000 , 1.290112536194484e-03 , 2.600264752540747e-07
83.00000000 , 1.286914777803577e-03 , 2.597693928739324e-07
84.00000000 , 1.284142979398111e-03 , 2.595620695674482e-07
85.00000000 , 1.281654652014011e-03 , 2.594641704115215e-07
86.00000000 , 1.278736331100961e-03 , 2.592315167574274e-07
87.00000000 , 1.276274558397068e-03 , 2.591023202999512e-07
88.00000000 , 1.273429496996401e-03 , 2.588932949090798e-07
89.00000000 , 1.270228233967037e-03 , 2.586894292311450e-07
90.00000000 , 1.313782042256047e-03 , 2.620109787644001e-07
91.00000000 , 1.309680137476491e-03 , 2.616985964701519e-07
92.00000000 , 1.305907461486253e-03 , 2.614570419404023e-07
93.00000000 , 1.302099581466152e-03 , 2.612075750293287e-07
94.00000000 , 1.297308823833422e-03 , 2.608380871678355e-07
95.00000000 , 1.293903538036964e-03 , 2.605966948567870e-07
96.00000000 , 1.289296588192044e-03 , 2.602391403712315e-07
97.00000000 , 1.286050198860400e-03 , 2.601452060362669e-07
98.00000000 , 1.282016194648388e-03 , 2.598275192768522e-07
99.00000000 , 1.278042763599924e-03 , 2.596128447100918e-07
100.00000000 , 1.274214523696566e-03 , 2.593163738586757e-07
101.00000000 , 1.269855851496282e-03 , 2.589970509941747e-07
102.00000000 , 1.265470481666622e-03 , 2.586895300309622e-07
103.00000000 , 1.261012340104121e-03 , 2.583843032742344e-07
104.00000000 , 1.257204688466376e-03 , 2.581659692211768e-07
105.00000000 , 1.252841227218219e-03 , 2.578144024313221e-07
106.00000000 , 1.248383878054451e-03 , 2.575006686149414e-07
107.00000000 , 1.244144289265407e-03 , 2.572182643282253e-07
108.00000000 , 1.239402451896437e-03 , 2.568001176223573e-07
109.00000000 , 1.234765957291727e-03 , 2.564649499182336e-07
110.00000000 , 1.230390824246524e-03 , 2.561443484760101e-07
111.00000000 , 1.226063968141362e-03 , 2.558467504617810e-07
112.00000000 , 1.221541472348869e-03 , 2.555074285239653e-07
113.00000000 , 1.216601690090509e-03 , 2.551265972404955e-07
114.00000000 , 1.212253941837733e-03 , 2.547778373244125e-07
115.00000000 , 1.207293512839820e-03 , 2.544341168505791e-07
116.00000000 , 1.202877875638927e-03 , 2.541448011283827e-07
117.00000000 , 1.197947201134584e-03 , 2.536836747674804e-07
118.00000000 , 1.192961060185563e-03 , 2.532289916243225e-07
119.00000000 , 1.189065617117347e-03 , 2.530463695852099e-07
120.00000000 , 1.183530343612334e-03 , 2.525845118064984e-07
121.00000000 , 1.178939472217210e-03 , 2.523146896399031e-07
122.00000000 , 1.174484312257246e-03 , 2.519969559967552e-07
123.00000000 , 1.169110387222629e-03 , 2.514678033442101e-07
124.00000000 , 1.163970105972712e-03 , 2.510252779585593e-07
125.00000000 , 1.158912256304391e-03 , 2.506587093310859e-07
126.00000000 , 1.153819649737153e-03 , 2.502226230994502e-07
127.00000000 , 1.148757376397530e-03 , 2.498443161899763e-07
128.00000000 , 1.143717610742874e-03 , 2.494002896111597e-07
129.00000000 , 1.138131096992657e-03 , 2.489078291762157e-07
130.00000000 , 1.132713298709439e-03 , 2.484292505841932e-07
131.00000000 , 1.128044351368044e-03 , 2.481113388816136e-07
132.00000000 , 1.122661979304268e-03 , 2.476409666705277e-07
133.00000000 , 1.117147104377409e-03 , 2.471989582057409e-07
134.00000000 , 1.111608411611842e-03 , 2.466508375545792e-07
135.00000000 , 1.106907132105667e-03 , 2.463115453777254e-07
136.00000000 , 1.101692584988131e-03 , 2.459440101783548e-07
137.00000000 , 1.096153352732925e-03 , 2.454702299834975e-07
138.00000000 , 1.091028675678368e-03 , 2.450523022243745e-07
139.00000000 , 1.085214451469978e-03 , 2.444704537069365e-07
140.00000000 , 1.079655753219950e-03 , 2.439266616304125e-07
141.00000000 , 1.074084663683425e-03 , 2.434190905864401e-07
142.00000000 , 1.069066663765851e-03 , 2.430526846604834e-07
143.00000000 , 1.063369153389641e-03 , 2.425853812787757e-07
144.00000000 , 1.057634195595358e-03 , 2.420046156769552e-07
145.00000000 , 1.051773621631937e-03 , 2.414799862807444e-07
146.00000000 , 1.045955913600180e-03 , 2.408635027699370e-07
147.00000000 , 1.039905474317996e-03 , 2.403768945737436e-07
148.00000000 , 1.034360919804289e-03 , 2.398505600132761e-07
149.00000000 , 1.028837277780589e-03 , 2.393312749370315e-07
150.00000000 , 1.022960036027031e-03 , 2.388176048470593e-07
151.00000000 , 1.017186191539745e-03 , 2.382535535612542e-07
152.00000000 , 1.010856705579546e-03 , 2.376055715034730e-07
153.00000000 , 1.005240157038068e-03 , 2.370638013904956e-07
