x_l , NLO , dNLO
0.00000000 , 1.638164191179398e-02 , 2.293851217691116e-06
0.13333333 , 1.637430782304812e-02 , 2.293742740404499e-06
0.26666667 , 1.635944468934485e-02 , 2.292685176153269e-06
0.40000000 , 1.634580654452853e-02 , 2.292708012578438e-06
0.53333333 , 1.634582483015694e-02 , 2.293942510504027e-06
0.66666667 , 1.633928908932479e-02 , 2.294147718080808e-06
0.80000000 , 1.634087878763002e-02 , 2.296384616294332e-06
0.93333333 , 1.634146928866075e-02 , 2.298280166019667e-06
1.06666667 , 1.633677307491474e-02 , 2.299699951713340e-06
1.20000000 , 1.634073746489369e-02 , 2.302515559770624e-06
1.33333333 , 1.634595530806422e-02 , 2.305957458737348e-06
1.46666667 , 1.634522575176731e-02 , 2.308743830294428e-06
1.60000000 , 1.634269617504803e-02 , 2.311647753719419e-06
1.73333333 , 1.634635847577402e-02 , 2.315641502841600e-06
1.86666667 , 1.634708257974008e-02 , 2.319655908205663e-06
2.00000000 , 1.634699557665156e-02 , 2.324022035333363e-06
2.13333333 , 1.634276781462185e-02 , 2.328767119936568e-06
2.26666667 , 1.634187205403193e-02 , 2.333881657529667e-06
2.40000000 , 1.633791236531179e-02 , 2.338802085920031e-06
2.53333333 , 1.633038385295406e-02 , 2.343855984735216e-06
2.66666667 , 1.632244331019449e-02 , 2.349467243740268e-06
2.80000000 , 1.631174640560687e-02 , 2.354876011691948e-06
2.93333333 , 1.629688174774615e-02 , 2.359891591316633e-06
3.06666667 , 1.628003849743876e-02 , 2.365766258611288e-06
3.20000000 , 1.626429170991862e-02 , 2.371907819246361e-06
3.33333333 , 1.624210004254422e-02 , 2.377118788659267e-06
3.46666667 , 1.622091683805232e-02 , 2.382990456515763e-06
3.60000000 , 1.619141580655895e-02 , 2.387840120006984e-06
3.73333333 , 1.616541758246893e-02 , 2.393714080254709e-06
3.86666667 , 1.613655268139294e-02 , 2.400006454620582e-06
4.00000000 , 1.610675498540889e-02 , 2.405737065581986e-06
4.13333333 , 1.607149497829290e-02 , 2.411107927057548e-06
4.26666667 , 1.603182703971810e-02 , 2.415769740953425e-06
4.40000000 , 1.599026545202749e-02 , 2.420769600178247e-06
4.53333333 , 1.594971414591492e-02 , 2.426504951669065e-06
4.66666667 , 1.590390028111232e-02 , 2.431068289134555e-06
4.80000000 , 1.586287851314564e-02 , 2.436193640955832e-06
4.93333333 , 1.581478260991273e-02 , 2.441188283774897e-06
5.06666667 , 1.576400000437902e-02 , 2.445378858969128e-06
5.20000000 , 1.571057151847123e-02 , 2.449620436682851e-06
5.33333333 , 1.566057043843839e-02 , 2.453761272510586e-06
5.46666667 , 1.560534047755988e-02 , 2.457844355768341e-06
5.60000000 , 1.554916482196227e-02 , 2.461816060501729e-06
5.73333333 , 1.548879114274988e-02 , 2.465700740639794e-06
5.86666667 , 1.542737661579734e-02 , 2.469175280000976e-06
6.00000000 , 1.536455996724769e-02 , 2.471949759887835e-06
6.13333333 , 1.530266527396579e-02 , 2.475294575109711e-06
6.26666667 , 1.523342730298231e-02 , 2.477607859283101e-06
6.40000000 , 1.517122280055300e-02 , 2.480489407229966e-06
6.53333333 , 1.509233126885000e-02 , 2.481867118505687e-06
6.66666667 , 1.501788477660276e-02 , 2.483348835615401e-06
6.80000000 , 1.493733260631415e-02 , 2.484113270018613e-06
6.93333333 , 1.486068993315192e-02 , 2.485752200677091e-06
7.06666667 , 1.477373314835683e-02 , 2.485757712865982e-06
7.20000000 , 1.468534012659269e-02 , 2.485278556839290e-06
7.33333333 , 1.459539773110309e-02 , 2.484622699489233e-06
7.46666667 , 1.449632728999973e-02 , 2.482801509928777e-06
7.60000000 , 1.439457109866807e-02 , 2.481019874965664e-06
7.73333333 , 1.428838461127379e-02 , 2.478398676835596e-06
7.86666667 , 1.416498271936262e-02 , 2.473867960218652e-06
8.00000000 , 1.403282483568863e-02 , 2.468493164275633e-06
8.13333333 , 1.390171683497872e-02 , 2.462172190485540e-06
8.26666667 , 1.376403174072735e-02 , 2.455272037568949e-06
8.40000000 , 1.362617224843980e-02 , 2.448839194359458e-06
8.53333333 , 1.347780999539322e-02 , 2.440506723683385e-06
8.66666667 , 1.333093177995616e-02 , 2.431813240722713e-06
8.80000000 , 1.318092595232290e-02 , 2.423054882725047e-06
8.93333333 , 1.302540093666922e-02 , 2.413134177491701e-06
9.06666667 , 1.287380622588879e-02 , 2.403668817109455e-06
9.20000000 , 1.271399301438282e-02 , 2.392985716010669e-06
9.33333333 , 1.255873996118140e-02 , 2.382771917446075e-06
9.46666667 , 1.239099365693772e-02 , 2.370531546897890e-06
9.60000000 , 1.223668280216186e-02 , 2.359704006888276e-06
9.73333333 , 1.206919471704554e-02 , 2.347027279443244e-06
9.86666667 , 1.190936443963773e-02 , 2.335264587106783e-06
10.00000000 , 1.173986489731534e-02 , 2.322009073649174e-06
10.13333333 , 1.157687976475794e-02 , 2.309099469161596e-06
10.26666667 , 1.140872425742416e-02 , 2.294476650736644e-06
10.40000000 , 1.124071060220130e-02 , 2.280911512746629e-06
10.53333333 , 1.106995017029849e-02 , 2.265893556911490e-06
10.66666667 , 1.089959659883443e-02 , 2.250991483372782e-06
10.80000000 , 1.072403362234690e-02 , 2.233985730578962e-06
10.93333333 , 1.055450011409014e-02 , 2.217909360759387e-06
11.06666667 , 1.037861536942361e-02 , 2.200896374261992e-06
11.20000000 , 1.020390574632885e-02 , 2.182986676586679e-06
11.33333333 , 1.003077152011328e-02 , 2.164814230914370e-06
11.46666667 , 9.854033006437883e-03 , 2.145256809773356e-06
11.60000000 , 9.683536612548489e-03 , 2.127150070253466e-06
11.73333333 , 9.518621719725465e-03 , 2.108711463754421e-06
11.86666667 , 9.352857038639435e-03 , 2.090153710090029e-06
12.00000000 , 9.200197120475371e-03 , 2.073269289435428e-06
12.13333333 , 9.044474916090898e-03 , 2.055580216642202e-06
12.26666667 , 8.892873761694092e-03 , 2.037840690141993e-06
12.40000000 , 8.743297289444630e-03 , 2.020450077740777e-06
12.53333333 , 8.600075409045983e-03 , 2.002843697104370e-06
12.66666667 , 8.461803474299449e-03 , 1.987922552421810e-06
12.80000000 , 8.323319659534657e-03 , 1.970661015160606e-06
12.93333333 , 8.186906118400051e-03 , 1.954168199445491e-06
13.06666667 , 8.056563541977467e-03 , 1.938645410920998e-06
13.20000000 , 7.928899071718551e-03 , 1.922799592574662e-06
13.33333333 , 7.801847437973751e-03 , 1.906435648023106e-06
13.46666667 , 7.679036212972623e-03 , 1.891283032733160e-06
13.60000000 , 7.560524336676202e-03 , 1.876927993281776e-06
13.73333333 , 7.442939685721793e-03 , 1.861560201522476e-06
13.86666667 , 7.328074538362100e-03 , 1.846620960335672e-06
14.00000000 , 7.218919563932486e-03 , 1.832740322866016e-06
14.13333333 , 7.113268392830933e-03 , 1.819868533795097e-06
14.26666667 , 7.001741438051857e-03 , 1.804946867912052e-06
14.40000000 , 6.892339360028958e-03 , 1.789817620967658e-06
14.53333333 , 6.789190996017642e-03 , 1.776081316929421e-06
14.66666667 , 6.692663260015549e-03 , 1.763444126675840e-06
14.80000000 , 6.589374704523431e-03 , 1.748800571065862e-06
14.93333333 , 6.496761849440300e-03 , 1.736651444327986e-06
15.06666667 , 6.399050343708733e-03 , 1.722929316835060e-06
15.20000000 , 6.304680893701470e-03 , 1.709771483101648e-06
15.33333333 , 6.215817602025721e-03 , 1.697371993159393e-06
15.46666667 , 6.127892395824589e-03 , 1.685102671254720e-06
15.60000000 , 6.041699261861885e-03 , 1.672583292922227e-06
15.73333333 , 5.950281333008451e-03 , 1.659401559919514e-06
15.86666667 , 5.864569213163461e-03 , 1.646216563229752e-06
16.00000000 , 5.784829661296839e-03 , 1.635448057490041e-06
16.13333333 , 5.704154528776445e-03 , 1.623336286498804e-06
16.26666667 , 5.626155189409199e-03 , 1.611847831111966e-06
16.40000000 , 5.547216579603662e-03 , 1.600117582270096e-06
16.53333333 , 5.467262831969852e-03 , 1.588059323434875e-06
16.66666667 , 5.393640749658372e-03 , 1.576395086249908e-06
16.80000000 , 5.319818781419972e-03 , 1.565038689711576e-06
16.93333333 , 5.247947140047633e-03 , 1.553816017699834e-06
17.06666667 , 5.176184868273316e-03 , 1.543238070956165e-06
17.20000000 , 5.105958116119072e-03 , 1.531938487198754e-06
17.33333333 , 5.038924072557368e-03 , 1.521496596959538e-06
17.46666667 , 4.971319136508738e-03 , 1.510904265158110e-06
17.60000000 , 4.905208058693327e-03 , 1.500159947663713e-06
17.73333333 , 4.842234498680765e-03 , 1.490043063917956e-06
17.86666667 , 4.778789245421694e-03 , 1.479886893952357e-06
18.00000000 , 4.714520905742493e-03 , 1.469226511121180e-06
18.13333333 , 4.652926525446152e-03 , 1.459006918022133e-06
18.26666667 , 4.590134087584370e-03 , 1.448422315424116e-06
18.40000000 , 4.533011805732061e-03 , 1.439455018051336e-06
18.53333333 , 4.472222348731343e-03 , 1.428912580835538e-06
18.66666667 , 4.413929180694795e-03 , 1.418916137140359e-06
18.80000000 , 4.358213209600953e-03 , 1.409642831487952e-06
18.93333333 , 4.308316115343772e-03 , 1.401380457012255e-06
19.06666667 , 4.249835398163032e-03 , 1.390781667376743e-06
19.20000000 , 4.194554085752627e-03 , 1.380962303345884e-06
19.33333333 , 4.142210436683975e-03 , 1.372409039306222e-06
19.46666667 , 4.089400943107615e-03 , 1.362400107675056e-06
19.60000000 , 4.034947906571082e-03 , 1.352463765014027e-06
19.73333333 , 3.988138048480517e-03 , 1.344462895971871e-06
19.86666667 , 3.938619177456016e-03 , 1.335741923282943e-06
20.00000000 , 3.886984771357739e-03 , 1.325884770869487e-06
20.13333333 , 3.840938562513682e-03 , 1.317544422068993e-06
20.26666667 , 3.792367340590940e-03 , 1.308581855897724e-06
20.40000000 , 3.746152766579921e-03 , 1.300155594789444e-06
20.53333333 , 3.702051369558437e-03 , 1.292204354943293e-06
20.66666667 , 3.655013023974472e-03 , 1.282540196425204e-06
20.80000000 , 3.612248280650068e-03 , 1.275025510936507e-06
20.93333333 , 3.567814067674683e-03 , 1.266471655166626e-06
21.06666667 , 3.524299101922786e-03 , 1.258309089145258e-06
21.20000000 , 3.482441603497157e-03 , 1.250657707613849e-06
21.33333333 , 3.441874508328579e-03 , 1.242534243206474e-06
21.46666667 , 3.397525764693346e-03 , 1.233542778698631e-06
21.60000000 , 3.358302927754647e-03 , 1.226256202929493e-06
21.73333333 , 3.317202768987516e-03 , 1.217476902476746e-06
21.86666667 , 3.279893206750427e-03 , 1.210433619720187e-06
22.00000000 , 3.239802922148674e-03 , 1.202098494134585e-06
22.13333333 , 3.203343338050558e-03 , 1.195133075159514e-06
22.26666667 , 3.163725722895375e-03 , 1.186842684032187e-06
22.40000000 , 3.126814028891419e-03 , 1.179379563972518e-06
22.53333333 , 3.091362388461198e-03 , 1.172063930817307e-06
22.66666667 , 3.054432556771821e-03 , 1.164633951878957e-06
22.80000000 , 3.020004974366932e-03 , 1.157282710384438e-06
22.93333333 , 2.984909351886542e-03 , 1.149928104371468e-06
23.06666667 , 2.949764622385523e-03 , 1.142544558241134e-06
23.20000000 , 2.914562782314771e-03 , 1.134739799681678e-06
23.33333333 , 2.882007287599256e-03 , 1.128089107778338e-06
23.46666667 , 2.848105600903625e-03 , 1.121037827245924e-06
23.60000000 , 2.815286012549527e-03 , 1.113896266158491e-06
23.73333333 , 2.783249315505159e-03 , 1.106856301651793e-06
23.86666667 , 2.751700037111827e-03 , 1.099600702910781e-06
24.00000000 , 2.721758701259991e-03 , 1.093585959054737e-06
24.13333333 , 2.689387815104941e-03 , 1.086330866402906e-06
24.26666667 , 2.660786263456681e-03 , 1.080276659990331e-06
24.40000000 , 2.629579487054022e-03 , 1.073238439076473e-06
24.53333333 , 2.597744657680727e-03 , 1.065723518519818e-06
24.66666667 , 2.571190039568870e-03 , 1.060107050035556e-06
24.80000000 , 2.541221068034004e-03 , 1.052857525070507e-06
24.93333333 , 2.512517051603568e-03 , 1.046136099756599e-06
25.06666667 , 2.485919827269189e-03 , 1.040384504027290e-06
25.20000000 , 2.456228649593383e-03 , 1.033996291742257e-06
25.33333333 , 2.429311795869549e-03 , 1.027484039358332e-06
25.46666667 , 2.402815239662382e-03 , 1.020575571839891e-06
25.60000000 , 2.374145752636459e-03 , 1.013930623239921e-06
25.73333333 , 2.349706701714828e-03 , 1.008384746571947e-06
25.86666667 , 2.323038676981264e-03 , 1.002042482505203e-06
26.00000000 , 2.298215888661137e-03 , 9.959850523288551e-07
26.13333333 , 2.274559104240465e-03 , 9.906910185509197e-07
26.26666667 , 2.248298453286243e-03 , 9.840589511911640e-07
26.40000000 , 2.224001533163112e-03 , 9.778643774567797e-07
26.53333333 , 2.199557520502368e-03 , 9.718126542696675e-07
26.66666667 , 2.172837149573299e-03 , 9.652692508769389e-07
26.80000000 , 2.151281298296190e-03 , 9.597272562489134e-07
26.93333333 , 2.126045341594322e-03 , 9.534603960733473e-07
27.06666667 , 2.104088883697697e-03 , 9.479154900875580e-07
27.20000000 , 2.082590871551370e-03 , 9.431076158678616e-07
27.33333333 , 2.057586389576788e-03 , 9.361809147019892e-07
27.46666667 , 2.036521704874363e-03 , 9.312574086043653e-07
27.60000000 , 2.014166112420328e-03 , 9.254299651072752e-07
27.73333333 , 1.992190029702734e-03 , 9.197383550363020e-07
27.86666667 , 1.971277628165620e-03 , 9.146731018025316e-07
28.00000000 , 1.949325053203874e-03 , 9.083475473135719e-07
28.13333333 , 1.929867326969047e-03 , 9.032232689977016e-07
28.26666667 , 1.906624748984041e-03 , 8.968528665326597e-07
28.40000000 , 1.886503574306180e-03 , 8.916328245171760e-07
28.53333333 , 1.867689153496126e-03 , 8.867740042532986e-07
28.66666667 , 1.847654842990402e-03 , 8.814839478323462e-07
28.80000000 , 1.828690151181086e-03 , 8.763845943876743e-07
28.93333333 , 1.807483165346291e-03 , 8.704147649163381e-07
29.06666667 , 1.789001645301969e-03 , 8.655364340228425e-07
29.20000000 , 1.769074136781973e-03 , 8.601506148886795e-07
29.33333333 , 1.750427561118762e-03 , 8.547554432744795e-07
29.46666667 , 1.732524967250512e-03 , 8.502975121760446e-07
29.60000000 , 1.714200262018242e-03 , 8.448690982621680e-07
29.73333333 , 1.695803109915387e-03 , 8.396165759938107e-07
29.86666667 , 1.678360028521386e-03 , 8.347664421875134e-07
30.00000000 , 1.659159326738805e-03 , 8.292399777884706e-07
30.13333333 , 1.643017920070098e-03 , 8.247712561822256e-07
30.26666667 , 1.625038301100704e-03 , 8.192483778381554e-07
30.40000000 , 1.607941216698994e-03 , 8.145417061597410e-07
30.53333333 , 1.591459175531135e-03 , 8.098549296318166e-07
30.66666667 , 1.574311060314875e-03 , 8.051590592905920e-07
30.80000000 , 1.557214036397209e-03 , 7.999499228624330e-07
30.93333333 , 1.540102904962112e-03 , 7.949794133057289e-07
31.06666667 , 1.523856233541832e-03 , 7.895108172748621e-07
31.20000000 , 1.509026849397737e-03 , 7.855452875098418e-07
31.33333333 , 1.492751209558133e-03 , 7.806508052491273e-07
31.46666667 , 1.478129321470961e-03 , 7.766506320884150e-07
31.60000000 , 1.462360010466516e-03 , 7.718602877728114e-07
31.73333333 , 1.446461502627722e-03 , 7.669787479863491e-07
31.86666667 , 1.431899545920218e-03 , 7.624022267199132e-07
32.00000000 , 1.415862485958131e-03 , 7.578331260364554e-07
32.13333333 , 1.401068510533571e-03 , 7.526723721587189e-07
32.26666667 , 1.385892610206334e-03 , 7.488896527912564e-07
32.40000000 , 1.372110182223897e-03 , 7.438872334072800e-07
32.53333333 , 1.358533348143253e-03 , 7.398084218474222e-07
32.66666667 , 1.344512223476642e-03 , 7.354303047344172e-07
32.80000000 , 1.330669724574930e-03 , 7.313463724714897e-07
32.93333333 , 1.315794953568847e-03 , 7.261697835000699e-07
33.06666667 , 1.301832379004730e-03 , 7.219818126133372e-07
33.20000000 , 1.289391905118906e-03 , 7.180750466222517e-07
33.33333333 , 1.275137171442837e-03 , 7.129633588611069e-07
33.46666667 , 1.261425431143391e-03 , 7.085659223614178e-07
33.60000000 , 1.248231070049712e-03 , 7.043036986228674e-07
33.73333333 , 1.235758139981315e-03 , 7.001263229845780e-07
33.86666667 , 1.222413408908484e-03 , 6.959944437817168e-07
34.00000000 , 1.209962499115280e-03 , 6.916730171915223e-07
34.13333333 , 1.198230362778817e-03 , 6.881504013784401e-07
34.26666667 , 1.185313463781432e-03 , 6.836623219625609e-07
34.40000000 , 1.173768363239809e-03 , 6.797796187575229e-07
34.53333333 , 1.161269852070268e-03 , 6.756498126447043e-07
34.66666667 , 1.149217175689129e-03 , 6.715925311099933e-07
34.80000000 , 1.137612232976831e-03 , 6.672107378608867e-07
34.93333333 , 1.126064315947094e-03 , 6.636841770778095e-07
35.06666667 , 1.113578464651981e-03 , 6.590275999202272e-07
35.20000000 , 1.103138986641873e-03 , 6.558229474359445e-07
35.33333333 , 1.090649825469992e-03 , 6.511063263766625e-07
35.46666667 , 1.078516309944803e-03 , 6.469503435412874e-07
35.60000000 , 1.067871921307299e-03 , 6.435325284064646e-07
35.73333333 , 1.056547258299708e-03 , 6.393189641312431e-07
35.86666667 , 1.046909643029972e-03 , 6.360038248759716e-07
36.00000000 , 1.035017993196326e-03 , 6.315503538847027e-07
36.13333333 , 1.022874921519872e-03 , 6.271368360023766e-07
36.26666667 , 1.014079188204329e-03 , 6.239649575773342e-07
36.40000000 , 1.003871711482674e-03 , 6.206115623707776e-07
36.53333333 , 9.921662314914170e-04 , 6.159777040406276e-07
36.66666667 , 9.822755410726111e-04 , 6.125083717804713e-07
36.80000000 , 9.729378690606337e-04 , 6.093626276043045e-07
36.93333333 , 9.619604680411015e-04 , 6.048386365796761e-07
37.06666667 , 9.524493486248527e-04 , 6.014806086433791e-07
37.20000000 , 9.420778012609741e-04 , 5.977704138440417e-07
37.33333333 , 9.323042197625090e-04 , 5.937308714842342e-07
37.46666667 , 9.229920071834001e-04 , 5.904351870396398e-07
37.60000000 , 9.136878632756475e-04 , 5.872452427176788e-07
37.73333333 , 9.040157484829396e-04 , 5.834857011724164e-07
37.86666667 , 8.948371020423240e-04 , 5.799172190851774e-07
38.00000000 , 8.848727575290460e-04 , 5.759193029580625e-07
38.13333333 , 8.751315763643030e-04 , 5.719811545265528e-07
38.26666667 , 8.672431106873118e-04 , 5.691086861781236e-07
38.40000000 , 8.565002034942563e-04 , 5.648946117349158e-07
38.53333333 , 8.496884395719459e-04 , 5.624868482955755e-07
38.66666667 , 8.399404917633713e-04 , 5.585287446054490e-07
38.80000000 , 8.321234124908268e-04 , 5.557024254041924e-07
38.93333333 , 8.234510214837217e-04 , 5.526423158141505e-07
39.06666667 , 8.140162631314232e-04 , 5.483951482128885e-07
39.20000000 , 8.052052831485473e-04 , 5.447248571072502e-07
39.33333333 , 7.979032530988888e-04 , 5.420847333305934e-07
39.46666667 , 7.885730743824547e-04 , 5.381813065189870e-07
39.60000000 , 7.807728898479745e-04 , 5.346759956939182e-07
39.73333333 , 7.736848529458241e-04 , 5.323669708186249e-07
39.86666667 , 7.650199601025698e-04 , 5.286434925606866e-07
40.00000000 , 7.553241167135586e-04 , 5.244400159305972e-07
40.13333333 , 7.484076690976136e-04 , 5.215713793286303e-07
40.26666667 , 7.403137758958254e-04 , 5.180894530806188e-07
40.40000000 , 7.336411977235437e-04 , 5.155177889414825e-07
40.53333333 , 7.250892014253852e-04 , 5.118830139399779e-07
40.66666667 , 7.187900035074054e-04 , 5.094741013565364e-07
40.80000000 , 7.104275099295438e-04 , 5.057994258568494e-07
40.93333333 , 7.028505069153942e-04 , 5.028635279624302e-07
41.06666667 , 6.952685961316189e-04 , 4.990372625456311e-07
41.20000000 , 6.882337643246421e-04 , 4.963340358350399e-07
41.33333333 , 6.813372970620705e-04 , 4.935997545487878e-07
41.46666667 , 6.735886266702189e-04 , 4.897301807394762e-07
41.60000000 , 6.678766391400786e-04 , 4.876110944655254e-07
41.73333333 , 6.600029849514695e-04 , 4.841935230835029e-07
41.86666667 , 6.530384002490470e-04 , 4.808070630726816e-07
42.00000000 , 6.450526225291618e-04 , 4.774788946427922e-07
42.13333333 , 6.391866446592695e-04 , 4.748894018569862e-07
42.26666667 , 6.329656006895189e-04 , 4.722423530959484e-07
42.40000000 , 6.259486589881281e-04 , 4.687505364078003e-07
42.53333333 , 6.189284876223354e-04 , 4.654456875019920e-07
42.66666667 , 6.119619938202472e-04 , 4.626555554587873e-07
42.80000000 , 6.054181976081509e-04 , 4.594246555048121e-07
42.93333333 , 5.999213457614492e-04 , 4.571863660578946e-07
43.06666667 , 5.935508809855471e-04 , 4.543184515979052e-07
43.20000000 , 5.867705814954395e-04 , 4.511972239981775e-07
43.33333333 , 5.805191058501731e-04 , 4.482464982804656e-07
43.46666667 , 5.746575011328230e-04 , 4.455861184134617e-07
43.60000000 , 5.688417198828041e-04 , 4.430386758630077e-07
43.73333333 , 5.620283607009727e-04 , 4.397495735783688e-07
43.86666667 , 5.564762884616546e-04 , 4.370762160746281e-07
44.00000000 , 5.514445710674292e-04 , 4.347987920506087e-07
44.13333333 , 5.447618948826376e-04 , 4.312880552406367e-07
44.26666667 , 5.395393149054500e-04 , 4.293149302206865e-07
44.40000000 , 5.336782318941400e-04 , 4.264084075315172e-07
44.53333333 , 5.282151708389733e-04 , 4.236742715995219e-07
44.66666667 , 5.220131511678295e-04 , 4.207929311328272e-07
44.80000000 , 5.161951383298175e-04 , 4.178361678161191e-07
44.93333333 , 5.113754890641662e-04 , 4.155563940300026e-07
45.06666667 , 5.059325380619876e-04 , 4.127504905049415e-07
45.20000000 , 5.013392532664408e-04 , 4.103703460757639e-07
45.33333333 , 4.953385486342606e-04 , 4.076183651743122e-07
45.46666667 , 4.899177719226877e-04 , 4.046768913144751e-07
45.60000000 , 4.847905081426027e-04 , 4.026170735400896e-07
45.73333333 , 4.796425158489427e-04 , 4.000060608864675e-07
45.86666667 , 4.743113632959305e-04 , 3.973458291587365e-07
46.00000000 , 4.697690161294558e-04 , 3.952351522843909e-07
46.13333333 , 4.646197688691820e-04 , 3.920113717169850e-07
46.26666667 , 4.592404709302382e-04 , 3.894198501675548e-07
46.40000000 , 4.537925013178954e-04 , 3.866438016401787e-07
46.53333333 , 4.492900645141499e-04 , 3.846180515666058e-07
46.66666667 , 4.441190016360097e-04 , 3.819150555833516e-07
46.80000000 , 4.401766207051128e-04 , 3.797774293742981e-07
46.93333333 , 4.352324661175594e-04 , 3.771186822664743e-07
47.06666667 , 4.298682913400543e-04 , 3.742125171191966e-07
47.20000000 , 4.261021383615502e-04 , 3.722670114116905e-07
47.33333333 , 4.215665636070305e-04 , 3.699293620784717e-07
47.46666667 , 4.172159365663971e-04 , 3.680608120005471e-07
47.60000000 , 4.129323375508460e-04 , 3.656231145930255e-07
47.73333333 , 4.084739497989211e-04 , 3.629756177121469e-07
47.86666667 , 4.038652397727089e-04 , 3.607149070695382e-07
48.00000000 , 3.996234634672145e-04 , 3.583707374210348e-07
48.13333333 , 3.951749872743907e-04 , 3.560833062362519e-07
48.26666667 , 3.910982290061421e-04 , 3.537636135672908e-07
