xl,xh,NLOFF1,dNLOFF1
316.0,317.01,1.8750425701174972e-05,3.79552952787121e-07
317.01,318.02,2.4001263899143108e-05,4.204480657012477e-07
318.02,319.03,2.497370602176966e-05,4.6116187424236196e-07
319.03,320.04,2.4373270170929044e-05,4.2795074518826183e-07
320.04,321.05,2.6081834644212312e-05,4.733107726813214e-07
321.05,322.06,2.55894255515885e-05,4.6587753918980246e-07
322.06,323.07,2.6240020444270005e-05,4.6633159069096953e-07
323.07,324.08,2.5907334907254894e-05,4.659867130005477e-07
324.08,325.09,2.6349355443552597e-05,4.811845514138438e-07
325.09,326.1,2.7049096696300802e-05,4.872568554718933e-07
326.1,327.11,2.6962841851755198e-05,4.841679918362244e-07
327.11,328.12,2.6523314869734195e-05,4.768681390566453e-07
328.12,329.13,2.700444891636183e-05,4.761978600757267e-07
329.13,330.14,2.8555987545443184e-05,5.118256175504212e-07
330.14,331.15,2.6461692538835865e-05,4.7225835966384545e-07
331.15,332.16,2.8749323458367338e-05,5.074479816104405e-07
332.16,333.17,2.870804306720731e-05,5.173815574559259e-07
333.17,334.18,2.8716042678565395e-05,5.119128419494668e-07
334.18,335.19,2.974243142708749e-05,5.307006632985808e-07
335.19,336.2,3.0185698057495034e-05,5.321090125675289e-07
336.2,337.21,3.0581360445112e-05,5.608751382956164e-07
337.21,338.22,3.074709172161246e-05,5.622492543470138e-07
338.22,339.23,3.130703586881196e-05,5.771599603239438e-07
339.23,340.24,3.0313870483265974e-05,5.465358992665548e-07
340.24,341.25,3.100307110143901e-05,5.478648600664288e-07
341.25,342.26,3.0729105929943674e-05,5.453365232938522e-07
342.26,343.27,3.262739113472339e-05,5.879697715728029e-07
343.27,344.28,3.199217064594378e-05,5.742241689663484e-07
344.28,345.29,3.251078672015428e-05,5.762916429931289e-07
345.29,346.3,3.206482331685692e-05,5.680389846128262e-07
346.3,347.31,3.172711791250132e-05,5.612351159626472e-07
347.31,348.32,3.395307008146015e-05,6.091610484507768e-07
348.32,349.33,3.401537389253608e-05,6.054207616939219e-07
349.33,350.34000000000003,3.338069952801659e-05,5.887355741542084e-07
350.34000000000003,351.35,3.2674826218215425e-05,5.83822371143033e-07
351.35,352.36,3.454009210877461e-05,6.099770671625696e-07
352.36,353.37,3.3982097137207275e-05,5.998356883016761e-07
353.37,354.38,3.4480324675925205e-05,6.184840536214459e-07
354.38,355.39,3.395920802574394e-05,5.898184433099174e-07
355.39,356.4,3.4658436652552975e-05,6.120960028411069e-07
356.4,357.41,3.466678580764437e-05,6.27296038878027e-07
357.41,358.42,3.502485234724298e-05,6.315809685889711e-07
358.42,359.43,3.657745612037064e-05,6.451148374560302e-07
359.43,360.44,3.523998471579968e-05,6.060891541465161e-07
360.44,361.45,3.517283429416867e-05,6.034356468551036e-07
361.45,362.46,3.586812791114668e-05,6.26323603468145e-07
362.46,363.47,3.627567339180773e-05,6.403444488842912e-07
363.47,364.48,3.681525235231656e-05,6.429293883340326e-07
364.48,365.49,3.669433569265408e-05,6.418627515089723e-07
365.49,366.5,3.72193083352855e-05,6.594590886354169e-07
366.5,367.51,3.888160414799049e-05,6.829996371034518e-07
367.51,368.52,3.884116554384668e-05,6.692038136206805e-07
368.52,369.53,3.783921348076358e-05,6.555535497143965e-07
369.53,370.54,3.814647625686094e-05,6.583627857252623e-07
370.54,371.55,3.8446804725156456e-05,6.57063066316669e-07
371.55,372.56,3.8594572723896374e-05,6.60723988087683e-07
372.56,373.57,3.837735192496611e-05,6.503244485598705e-07
373.57,374.58,3.845399475430381e-05,6.532251896287985e-07
374.58,375.59000000000003,4.0503065088171196e-05,6.926800790916453e-07
375.59000000000003,376.6,4.027363371409133e-05,6.827484212151752e-07
376.6,377.61,4.0663049661423716e-05,6.911161118070901e-07
377.61,378.62,4.081859485431685e-05,6.968635971152088e-07
378.62,379.63,3.976344012242491e-05,6.799706212655883e-07
379.63,380.64,4.120015018096455e-05,6.951365717562609e-07
380.64,381.65,4.034131026528427e-05,6.758935936245314e-07
381.65,382.65999999999997,4.1009979589181866e-05,6.946213230185254e-07
382.65999999999997,383.67,4.090955161989213e-05,6.873174574913482e-07
383.67,384.68,4.280980214745425e-05,7.138626413584713e-07
384.68,385.69,4.250714087596723e-05,7.147881142011968e-07
385.69,386.7,4.215910811971245e-05,7.052768264999019e-07
386.7,387.71,4.206773460647247e-05,7.06166090939987e-07
387.71,388.72,4.4251678725193846e-05,7.391494862302551e-07
388.72,389.73,4.320008894955465e-05,7.126856145415891e-07
389.73,390.74,4.276583544286827e-05,7.073796968233052e-07
390.74,391.75,4.3866206075265416e-05,7.262534718050445e-07
391.75,392.76,4.256950867508986e-05,6.936260015943826e-07
392.76,393.77,4.464940116754058e-05,7.348109688251176e-07
393.77,394.78,4.336988128446911e-05,6.957950282663534e-07
394.78,395.79,4.4957449344022376e-05,7.410386869926569e-07
395.79,396.8,4.465838493719489e-05,7.308653321342206e-07
396.8,397.81,4.518242716910945e-05,7.416776161530093e-07
397.81,398.82,4.5590866146434545e-05,7.538383550219283e-07
398.82,399.83,4.500993874090505e-05,7.219755802205997e-07
399.83,400.84000000000003,4.5228914212872825e-05,7.374840928816714e-07
400.84000000000003,401.85,4.583198189676627e-05,7.334528081164937e-07
401.85,402.86,4.487422469973568e-05,7.159086816684248e-07
402.86,403.87,4.4323238640208616e-05,7.035536383374955e-07
403.87,404.88,4.6310760248466755e-05,7.251666379581092e-07
404.88,405.89,4.772093753170173e-05,7.517269733034642e-07
405.89,406.9,4.655782827410047e-05,7.203342547835568e-07
406.9,407.90999999999997,4.758632314547815e-05,7.529870544137807e-07
407.90999999999997,408.92,4.6121404120642875e-05,7.33577317988708e-07
408.92,409.93,4.7396678051477695e-05,7.287230200323561e-07
409.93,410.94,4.8291550539071575e-05,7.416538724452619e-07
410.94,411.95,4.824747552913935e-05,7.533423200927541e-07
411.95,412.96000000000004,4.8511258929321584e-05,7.582487935651608e-07
412.96000000000004,413.97,4.872452855042799e-05,7.507840028924698e-07
413.97,414.98,4.845028626018063e-05,7.572832598229367e-07
414.98,415.99,4.838990567589312e-05,7.483191871423423e-07
415.99,417.0,4.944085406105335e-05,7.484392718518723e-07
417.0,418.01,5.0125287276412096e-05,7.749580375875548e-07
418.01,419.02,5.0969151228748836e-05,7.623414369627089e-07
419.02,420.03,5.0113947367960975e-05,7.577412017601038e-07
420.03,421.04,5.062800031106638e-05,7.535578832651677e-07
421.04,422.05,5.0126400436603805e-05,7.561399318985956e-07
422.05,423.06,4.9930611567554504e-05,7.520682671969304e-07
423.06,424.07,5.0180510174962284e-05,7.469293747607269e-07
424.07,425.08,5.245290848500495e-05,7.781102017247457e-07
425.08,426.09000000000003,5.1463848435059986e-05,7.641667740505466e-07
426.09000000000003,427.1,5.2522652509629e-05,7.78754310557338e-07
427.1,428.11,5.223826070162216e-05,7.731872816219764e-07
428.11,429.12,5.2692253053712306e-05,7.825669042617973e-07
429.12,430.13,5.237874568298953e-05,7.729090276837226e-07
430.13,431.14,5.312773209976085e-05,7.865068591196173e-07
431.14,432.15,5.540589418899064e-05,8.112939702832154e-07
432.15,433.15999999999997,5.3784555123575646e-05,7.853600651487075e-07
433.15999999999997,434.17,5.4095545108839736e-05,7.991523908828955e-07
434.17,435.18,5.443780112831651e-05,7.811914406374769e-07
435.18,436.19,5.3890162471314737e-05,7.745171316442498e-07
436.19,437.2,5.4744905113649696e-05,7.891607803299895e-07
437.2,438.21000000000004,5.544386195937859e-05,8.185912261530027e-07
438.21000000000004,439.22,5.631659247797014e-05,8.116950236610394e-07
439.22,440.23,5.5846149775543686e-05,7.889230764816121e-07
440.23,441.24,5.645958155404045e-05,8.111388018998902e-07
441.24,442.25,5.678248781531068e-05,7.917665862835139e-07
442.25,443.26,5.861563108908505e-05,8.241425874572591e-07
443.26,444.27,5.8035159786590435e-05,8.188932022943279e-07
444.27,445.28,5.751073377426501e-05,8.030852386905237e-07
445.28,446.28999999999996,5.9246607576997125e-05,8.302635999893672e-07
446.28999999999996,447.3,5.9382432182792044e-05,8.338728343598271e-07
447.3,448.31,5.926966167449171e-05,8.217676487772187e-07
448.31,449.32,6.004172194280819e-05,8.337273738570362e-07
449.32,450.33000000000004,5.992216168720538e-05,8.239129652545373e-07
450.33000000000004,451.34000000000003,6.019536876170307e-05,8.100100810572929e-07
451.34000000000003,452.35,6.0988469880658064e-05,8.32522581923745e-07
452.35,453.36,5.9908379205991765e-05,7.939420393319688e-07
453.36,454.37,6.127273402713937e-05,8.204784060610343e-07
454.37,455.38,6.21164389012957e-05,8.374669211625721e-07
455.38,456.39,6.327387301421017e-05,8.593752638760135e-07
456.39,457.4,6.262188892374207e-05,8.248401870977484e-07
457.4,458.40999999999997,6.219318157197097e-05,8.260722060358962e-07
458.40999999999997,459.41999999999996,6.251240407231646e-05,8.16486369523868e-07
459.41999999999996,460.43,6.281338703062942e-05,8.111689738634036e-07
460.43,461.44,6.288258363800227e-05,8.219920192343243e-07
461.44,462.45,6.3657153172296e-05,8.208102821071766e-07
462.45,463.46000000000004,6.509138040322627e-05,8.492274994580338e-07
463.46000000000004,464.47,6.428249287449555e-05,8.221605564151617e-07
464.47,465.48,6.524300093459296e-05,8.332541246121385e-07
465.48,466.49,6.582784711358616e-05,8.319960725836537e-07
466.49,467.5,6.714173964788711e-05,8.586697252498785e-07
467.5,468.51,6.771715646696143e-05,8.55874638116868e-07
468.51,469.52,6.742257566816893e-05,8.363826302347069e-07
469.52,470.53,6.870132488325367e-05,8.583353921727656e-07
470.53,471.53999999999996,6.837328317878898e-05,8.305852056615961e-07
471.53999999999996,472.55,7.026929252803588e-05,8.660310729702597e-07
472.55,473.56,6.969843058431946e-05,8.623904772530831e-07
473.56,474.57,6.936065486736201e-05,8.479020802305404e-07
474.57,475.58000000000004,6.91184562461921e-05,8.399757558557611e-07
475.58000000000004,476.59000000000003,7.156939933617776e-05,8.69843137492075e-07
476.59000000000003,477.6,7.13301855437784e-05,8.556976418041733e-07
477.6,478.61,7.31097482136489e-05,8.757742127607583e-07
478.61,479.62,7.17837587837708e-05,8.554584416390313e-07
479.62,480.63,7.402443716048409e-05,8.771376928515802e-07
480.63,481.64,7.380157354094875e-05,8.845029912586671e-07
481.64,482.65,7.483922470645222e-05,8.798932215277326e-07
482.65,483.65999999999997,7.400910181944153e-05,8.543995000862238e-07
483.65999999999997,484.66999999999996,7.579930206370303e-05,8.808036259805094e-07
484.66999999999996,485.68,7.694383677790971e-05,8.959473795879113e-07
485.68,486.69,7.529874110831928e-05,8.548791088000213e-07
486.69,487.7,7.868682499107591e-05,8.952844475749722e-07
487.7,488.71000000000004,7.807029311596332e-05,8.90172944476486e-07
488.71000000000004,489.72,7.853526907956898e-05,9.023755526617009e-07
489.72,490.73,7.791113851805222e-05,8.614211351931345e-07
490.73,491.74,8.082979194764996e-05,9.005211869954174e-07
491.74,492.75,8.226599378416538e-05,9.254226176178212e-07
492.75,493.76,8.14908865289885e-05,8.917756186595826e-07
493.76,494.77,7.906338972540509e-05,8.593998993890124e-07
494.77,495.78,8.179153072479684e-05,8.909350431938242e-07
495.78,496.78999999999996,8.086493122723685e-05,8.610519337228963e-07
496.78999999999996,497.8,8.413713368236537e-05,9.055949111729672e-07
497.8,498.81,8.327564120373353e-05,8.829635636028498e-07
498.81,499.82,8.505744615576116e-05,9.079190749303185e-07
499.82,500.83000000000004,8.626998207488276e-05,9.146911224508687e-07
500.83000000000004,501.84000000000003,8.565039782442279e-05,8.89769770170466e-07
501.84000000000003,502.85,8.772204689997479e-05,9.168525557014602e-07
502.85,503.86,8.577102137889918e-05,8.893126062727957e-07
503.86,504.87,8.844480102186368e-05,9.069060764701533e-07
504.87,505.88,8.938607370856463e-05,9.214030309556324e-07
505.88,506.89,9.044674599680329e-05,9.273246092447094e-07
506.89,507.9,9.067180304370579e-05,9.226912316770401e-07
507.9,508.90999999999997,9.179620994360178e-05,9.200888320631125e-07
508.90999999999997,509.92,9.162252623829067e-05,9.22899671398493e-07
509.92,510.93,9.234091874745413e-05,9.103172303032247e-07
510.93,511.94,9.409903117227497e-05,9.167966151026786e-07
511.94,512.95,9.490760020851225e-05,9.249090105744991e-07
512.95,513.96,9.604642129338895e-05,9.365210462662226e-07
513.96,514.97,9.56510184166931e-05,9.238306109173676e-07
514.97,515.98,9.692217428450109e-05,9.195537776997155e-07
515.98,516.99,9.916002560205943e-05,9.482079774514825e-07
516.99,518.0,9.958279895664884e-05,9.406855257867651e-07
518.0,519.01,9.991157613180185e-05,9.440691291282452e-07
519.01,520.02,9.939174514854436e-05,9.255679505604303e-07
520.02,521.03,0.00010092592720727454,9.356642006034932e-07
521.03,522.04,0.00010386052239604016,9.662218963341996e-07
522.04,523.05,0.00010386027280817134,9.554392843357626e-07
523.05,524.06,0.00010301191685549694,9.226946043231823e-07
524.06,525.0699999999999,0.00010504002978038643,9.282867864554638e-07
525.0699999999999,526.08,0.00010749733866422013,9.560144401489545e-07
526.08,527.09,0.00010730948251403895,9.530658752149714e-07
527.09,528.1,0.00010796441464716655,9.522408898680328e-07
528.1,529.11,0.00011048362772295613,9.675074979702776e-07
529.11,530.12,0.000111006334254142,9.745991613810975e-07
530.12,531.13,0.00011301873362543962,9.812895539430167e-07
531.13,532.14,0.00011355704826592157,9.709927194613946e-07
532.14,533.15,0.00011437500831021711,9.966608352565106e-07
533.15,534.16,0.00011240788039891761,9.462647725890334e-07
534.16,535.1700000000001,0.00011448030399346625,9.608153060468733e-07
535.1700000000001,536.1800000000001,0.0001145173835097595,9.481862543809285e-07
536.1800000000001,537.19,0.00011621942211825431,9.464780482266079e-07
537.19,538.2,0.00011818770264669075,9.809065586986265e-07
538.2,539.21,0.00011864222537771257,9.630774349603653e-07
539.21,540.22,0.00012024745392314441,9.691507065086218e-07
540.22,541.23,0.00012133790413505458,9.852870776586595e-07
541.23,542.24,0.00012224751139121472,9.83369202060587e-07
542.24,543.25,0.00012357426978202324,9.914200176487633e-07
543.25,544.26,0.00012428959506290181,9.801087513700969e-07
544.26,545.27,0.00012558259675422072,9.907862797209269e-07
545.27,546.28,0.00012799163464209136,1.0082975144137417e-06
546.28,547.29,0.00012888152060353724,9.974778832333806e-07
547.29,548.3,0.00013018989090662767,1.005893842702106e-06
548.3,549.31,0.00013037463149519353,1.0101710066271925e-06
549.31,550.3199999999999,0.00013218047595870203,1.0135405364229744e-06
550.3199999999999,551.33,0.0001316689633574693,9.833193128173526e-07
551.33,552.34,0.00013358165246697167,9.905191878247896e-07
552.34,553.35,0.00013320610428862052,9.860691564182783e-07
553.35,554.36,0.00013659045854430652,1.0061899266382983e-06
554.36,555.37,0.00013454951299307933,9.716165422185428e-07
555.37,556.38,0.00013859296878123038,1.0144838265487543e-06
556.38,557.39,0.00014116334926316082,1.0180774506016972e-06
557.39,558.4,0.00014166287602469788,1.0092737879530742e-06
558.4,559.41,0.0001436687750773718,1.0242986265947848e-06
559.41,560.4200000000001,0.0001442158518976474,1.0195819301891702e-06
560.4200000000001,561.4300000000001,0.000148180966892072,1.048269494785254e-06
561.4300000000001,562.44,0.0001490924676877848,1.043611801551091e-06
562.44,563.45,0.00014689921935273268,1.015461955601964e-06
563.45,564.46,0.00014810559880503512,1.015648860052683e-06
564.46,565.47,0.00015010868419199297,1.0330472941208275e-06
565.47,566.48,0.0001519010888135524,1.0259889759540568e-06
566.48,567.49,0.00015295005300828489,1.0270036540346072e-06
567.49,568.5,0.00015445038444380441,1.0209561052619555e-06
568.5,569.51,0.00015779158627093223,1.0397926247465354e-06
569.51,570.52,0.0001559531437080788,1.0298162947287186e-06
570.52,571.53,0.00015984644029354102,1.0474862476073573e-06
571.53,572.54,0.00016119373388519173,1.0417141251391406e-06
572.54,573.55,0.00016324112498625716,1.056372501602966e-06
573.55,574.56,0.00016526669456117625,1.0589362934948557e-06
574.56,575.5699999999999,0.00016737831788919054,1.0767025885774807e-06
575.5699999999999,576.5799999999999,0.00016677853311007623,1.0584502963146658e-06
576.5799999999999,577.5899999999999,0.00016733862144475655,1.0492103403239294e-06
577.5899999999999,578.6,0.00016927464468126252,1.04958967055563e-06
578.6,579.61,0.00016952500706391593,1.04380309114433e-06
579.61,580.62,0.00017202548305603185,1.0536683684183667e-06
580.62,581.63,0.0001742450247450577,1.0599452656076688e-06
581.63,582.64,0.00017584467922148215,1.0697262029759804e-06
582.64,583.65,0.0001785176144660116,1.0781939248596742e-06
583.65,584.6600000000001,0.000182632122377561,1.0892076397455048e-06
584.6600000000001,585.6700000000001,0.00018070302875886922,1.0650345982528752e-06
585.6700000000001,586.6800000000001,0.00018686232386807677,1.116930037816557e-06
586.6800000000001,587.69,0.00018681639586949034,1.097598581222944e-06
587.69,588.7,0.0001867469774876882,1.0712107660099921e-06
588.7,589.71,0.00018892593435200242,1.0923858428356313e-06
589.71,590.72,0.00018919639870626116,1.091605916614523e-06
590.72,591.73,0.00018983328646619035,1.0757145448921078e-06
591.73,592.74,0.0001932466051300587,1.095369674091151e-06
592.74,593.75,0.00019600906130684496,1.1046755844384934e-06
