xl,xh,NLOFF1,dNLOFF1
316.0,317.01,1.8218286998664503e-05,3.781426452842575e-07
317.01,318.02,2.3300738051892033e-05,4.188763531306083e-07
318.02,319.03,2.4239260093474305e-05,4.596054618917639e-07
319.03,320.04,2.3641999929698764e-05,4.2626078048543673e-07
320.04,321.05,2.5272892845694376e-05,4.714326432895017e-07
321.05,322.06,2.482907632795667e-05,4.641273719458335e-07
322.06,323.07,2.540059028608785e-05,4.64217694425379e-07
323.07,324.08,2.499479610982831e-05,4.636508379957844e-07
324.08,325.09,2.5554978208910974e-05,4.790918873429149e-07
325.09,326.1,2.62078522009504e-05,4.852502075164639e-07
326.1,327.11,2.6066689953508318e-05,4.817626877007617e-07
327.11,328.12,2.562775097901219e-05,4.745777848617464e-07
328.12,329.13,2.6102404650420788e-05,4.7373049231810177e-07
329.13,330.14,2.7648589141329807e-05,5.096886354137852e-07
330.14,331.15,2.5654829966530055e-05,4.7027343939648005e-07
331.15,332.16,2.779796415717868e-05,5.051949440472069e-07
332.16,333.17,2.778410711733336e-05,5.152672768887954e-07
333.17,334.18,2.772886249818089e-05,5.091352780276907e-07
334.18,335.19,2.8744965457283687e-05,5.280757406553731e-07
335.19,336.2,2.921068796566088e-05,5.296157212638099e-07
336.2,337.21,2.9574240771422112e-05,5.586752222896589e-07
337.21,338.22,2.9811987535756403e-05,5.602336964759303e-07
338.22,339.23,3.0238969298809593e-05,5.745288807846424e-07
339.23,340.24,2.920665063383243e-05,5.436939768230178e-07
340.24,341.25,3.0003410577386902e-05,5.453061828935681e-07
341.25,342.26,2.9684894361355058e-05,5.426165190943907e-07
342.26,343.27,3.148798854277381e-05,5.853543712584536e-07
343.27,344.28,3.0900666232517775e-05,5.71787850868159e-07
344.28,345.29,3.1328332566750094e-05,5.733813367437255e-07
345.29,346.3,3.0841656870903474e-05,5.647509095242166e-07
346.3,347.31,3.0589078282152775e-05,5.584033096724372e-07
347.31,348.32,3.274388470432366e-05,6.063843339422483e-07
348.32,349.33,3.284338581317238e-05,6.023172180873873e-07
349.33,350.34000000000003,3.223413756171924e-05,5.856759807721906e-07
