xl,xh,NLOFF1,dNLOFF1
270.0,271.25,0.0,0.0
271.25,272.5,0.0,0.0
272.5,273.75,0.0,0.0
273.75,275.0,0.0,0.0
275.0,276.25,0.0,0.0
276.25,277.5,0.0,0.0
277.5,278.75,0.0,0.0
278.75,280.0,0.0,0.0
280.0,281.25,0.0,0.0
281.25,282.5,0.0,0.0
282.5,283.75,0.0,0.0
283.75,285.0,0.0,0.0
285.0,286.25,0.0,0.0
286.25,287.5,0.0,0.0
287.5,288.75,0.0,0.0
288.75,290.0,0.0,0.0
290.0,291.25,0.0,0.0
291.25,292.5,0.0,0.0
292.5,293.75,0.0,0.0
293.75,295.0,0.0,0.0
295.0,296.25,0.0,0.0
296.25,297.5,0.0,0.0
297.5,298.75,0.0,0.0
298.75,300.0,0.0,0.0
300.0,301.25,0.0,0.0
301.25,302.5,0.0,0.0
302.5,303.75,0.0,0.0
303.75,305.0,0.0,0.0
305.0,306.25,0.0,0.0
306.25,307.5,0.0,0.0
307.5,308.75,0.0,0.0
308.75,310.0,0.0,0.0
310.0,311.25,0.0,0.0
311.25,312.5,0.0,0.0
312.5,313.75,0.0,0.0
313.75,315.0,0.0,0.0
315.0,316.25,0.0,0.0
316.25,317.5,0.0,0.0
317.5,318.75,0.0,0.0
318.75,320.0,0.0,0.0
320.0,321.25,0.0,0.0
321.25,322.5,0.0,0.0
322.5,323.75,0.0,0.0
323.75,325.0,0.0,0.0
325.0,326.25,0.0,0.0
326.25,327.5,0.0,0.0
327.5,328.75,0.0,0.0
328.75,330.0,0.0,0.0
330.0,331.25,0.0,0.0
331.25,332.5,0.0,0.0
332.5,333.75,0.0,0.0
333.75,335.0,0.0,0.0
335.0,336.25,0.0,0.0
336.25,337.5,0.0,0.0
337.5,338.75,0.0,0.0
338.75,340.0,0.0,0.0
340.0,341.25,0.0,0.0
341.25,342.5,0.0,0.0
342.5,343.75,0.0,0.0
343.75,345.0,0.0,0.0
345.0,346.25,0.0,0.0
346.25,347.5,9.66399382885641e-10,9.663993200127534e-10
347.5,348.75,2.2033598664667846e-09,2.2033597239959103e-09
348.75,350.0,0.0,0.0
350.0,351.25,2.57464650942331e-09,2.5746463442518844e-09
351.25,352.5,0.0,0.0
352.5,353.75,0.0,0.0
353.75,355.0,0.0,0.0
355.0,356.25,2.6851704861362568e-09,2.685170310651222e-09
356.25,357.5,4.22436125566287e-09,4.224360980373229e-09
357.5,358.75,0.0,0.0
358.75,360.0,0.0,0.0
360.0,361.25,0.0,0.0
361.25,362.5,4.674585173033192e-09,3.5070904215508015e-09
362.5,363.75,3.2599178794341896e-09,3.2599176686962953e-09
363.75,365.0,0.0,0.0
365.0,366.25,4.739585965553767e-09,4.739585657742023e-09
366.25,367.5,0.0,0.0
367.5,368.75,0.0,0.0
368.75,370.0,1.378497168009159e-09,1.378497079233491e-09
370.0,371.25,0.0,0.0
371.25,372.5,0.0,0.0
372.5,373.75,1.919006842294312e-09,1.919006717686694e-09
373.75,375.0,1.3786663499309958e-09,1.3786662610739776e-09
375.0,376.25,2.0165685492349917e-09,2.0165684168489615e-09
376.25,377.5,4.7107650370262895e-09,4.710764734385481e-09
377.5,378.75,0.0,0.0
378.75,380.0,0.0,0.0
380.0,381.25,5.905867295985683e-09,3.4522279297434684e-09
381.25,382.5,1.7009294654705146e-09,1.7009293551575342e-09
382.5,383.75,4.844711987236957e-09,3.5131392041515205e-09
383.75,385.0,2.712095566212488e-09,2.7120953890187373e-09
385.0,386.25,1.621742716384245e-08,8.431557732432715e-09
386.25,387.5,2.4507372269119214e-08,1.2443008934666424e-08
387.5,388.75,8.05272878908803e-09,6.620863133849993e-09
388.75,390.0,1.0008199636847712e-08,5.0340015817077e-09
390.0,391.25,1.303211542337934e-08,6.331558227146354e-09
391.25,392.5,2.2965348907556413e-09,2.296534743309521e-09
392.5,393.75,1.9865517488241764e-08,8.445162809105736e-09
393.75,395.0,1.6305913752904743e-08,7.900423216553175e-09
395.0,396.25,1.8475948451850043e-08,8.459941999364122e-09
396.25,397.5,8.707895316424287e-09,7.0299897055360576e-09
397.5,398.75,6.90788031219933e-09,4.06303334965619e-09
398.75,400.0,1.1600723571110076e-08,1.160072282480176e-08
400.0,401.25,1.1749893698919244e-08,6.441638091109255e-09
401.25,402.5,0.0,0.0
402.5,403.75,1.4970009392594762e-09,1.4970008428521263e-09
403.75,405.0,2.6041933888612793e-08,1.1714251488026702e-08
405.0,406.25,2.0541782924863965e-08,8.925651590168048e-09
406.25,407.5,2.0068091770146202e-08,9.692378436763672e-09
407.5,408.75,1.7216341024013536e-08,7.264743892965593e-09
408.75,410.0,9.796771943288898e-09,4.474077487788169e-09
410.0,411.25,1.5038495559858614e-08,8.022180441376086e-09
411.25,412.5,8.317441403766351e-09,4.281826764481268e-09
412.5,413.75,2.6183358447930907e-08,9.876490122657983e-09
413.75,415.0,2.566524033158232e-08,9.164907848629705e-09
415.0,416.25,1.1451486538549544e-08,8.348035653612937e-09
416.25,417.5,2.8977254020444957e-08,1.2569922246255064e-08
417.5,418.75,2.2874540939678615e-08,8.660267648542193e-09
418.75,420.0,3.171684834627757e-08,1.096458384264884e-08
420.0,421.25,2.937342478580446e-08,1.101065439987219e-08
421.25,422.5,1.1539232812783181e-08,5.555838088888519e-09
422.5,423.75,2.275573540572932e-08,9.087723838391341e-09
423.75,425.0,3.508366660077371e-08,1.5169562995844366e-08
425.0,426.25,2.0853778079430073e-08,1.156895785252003e-08
426.25,427.5,2.7199247628102453e-08,1.129926761013878e-08
427.5,428.75,3.1003231812802176e-08,1.1455958860332127e-08
428.75,430.0,2.7533265442134097e-08,9.68822148763243e-09
430.0,431.25,2.9467783934126298e-08,1.017710271722606e-08
431.25,432.5,1.151483368280382e-08,8.535120695052595e-09
432.5,433.75,3.687275142464349e-08,1.486692230316693e-08
433.75,435.0,2.8422113453530518e-08,1.0898847701904185e-08
435.0,436.25,2.263964125839786e-08,1.0550408179511364e-08
436.25,437.5,5.173699197275339e-08,1.788324557476498e-08
437.5,438.75,3.1378942951522846e-08,1.132687025563849e-08
438.75,440.0,2.6302891065908804e-08,1.1797207851361456e-08
440.0,441.25,5.492122261696745e-08,1.7523179304561765e-08
441.25,442.5,8.120822760878453e-08,2.0379866792325503e-08
442.5,443.75,4.158011979897389e-08,1.5318407634183794e-08
443.75,445.0,5.903600227422601e-08,1.8533933398497292e-08
445.0,446.25,5.251838329176467e-08,1.7470025774025617e-08
446.25,447.5,8.553966908045768e-08,2.1447499811654337e-08
447.5,448.75,7.217450206179929e-08,2.1359362105450327e-08
448.75,450.0,3.492372540646624e-08,1.0988941241633035e-08
450.0,451.25,8.063216935194451e-08,2.1376293048281205e-08
451.25,452.5,5.82886037747478e-08,1.8066193689259885e-08
452.5,453.75,6.128557246491203e-08,1.5603894706934308e-08
453.75,455.0,6.448677275694148e-08,1.873530263904562e-08
455.0,456.25,3.974898172793558e-08,1.3938916871390281e-08
456.25,457.5,1.0069554246837631e-07,2.2609221546272143e-08
457.5,458.75,5.2712663280259054e-08,1.5672985847518068e-08
458.75,460.0,6.949663619772786e-08,1.8919896451207906e-08
460.0,461.25,7.548955582146459e-08,1.837355710614007e-08
461.25,462.5,6.793037637573263e-08,1.7759050223165957e-08
462.5,463.75,6.912607850778745e-08,1.5960491019332134e-08
463.75,465.0,9.001695656226967e-08,1.9471753479225256e-08
465.0,466.25,7.424766128511108e-08,1.9168213676001155e-08
