xl,xh,NLOFF1,dNLOFF1
140.0,140.625,2.102272219458733e-07,4.419501282822956e-08
140.625,141.25,5.372553579788814e-07,7.083703122218779e-08
141.25,141.875,7.230286428355806e-07,8.229490947699519e-08
141.875,142.5,1.3507526460625597e-06,1.3593884529354793e-07
142.5,143.125,1.7557870858858438e-06,1.478887771955502e-07
143.125,143.75,2.2503494529048634e-06,1.553310466719047e-07
143.75,144.375,2.305268216006877e-06,1.7134741780825603e-07
144.375,145.0,2.7420970119863176e-06,1.8830278038489522e-07
145.0,145.625,2.9217030283158555e-06,1.8999017682624967e-07
145.625,146.25,3.027299267315721e-06,1.617611986730905e-07
146.25,146.875,3.495960037010095e-06,1.8162754948736867e-07
146.875,147.5,4.214826726940608e-06,2.3008504541205055e-07
147.5,148.125,4.565190850188027e-06,2.49714278206336e-07
148.125,148.75,4.761141792207009e-06,2.1957455237526013e-07
148.75,149.375,5.801727516119969e-06,2.9132566844502207e-07
149.375,150.0,5.60441788726137e-06,2.776804735669061e-07
150.0,150.625,6.832866168694497e-06,3.159018628219741e-07
150.625,151.25,6.742151314938361e-06,2.7239614396466895e-07
151.25,151.875,7.208625196421912e-06,3.049790303971333e-07
151.875,152.5,6.950240326614149e-06,2.7764121603837833e-07
152.5,153.125,7.874550787419559e-06,3.232961619527951e-07
153.125,153.75,8.36348533414507e-06,3.118509439547121e-07
153.75,154.375,9.227754092785716e-06,3.2827729294957216e-07
154.375,155.0,9.371198669476399e-06,3.5165789741126643e-07
155.0,155.625,9.675386219400152e-06,3.5121346128365586e-07
155.625,156.25,9.7562315603852e-06,3.307281025186579e-07
156.25,156.875,1.0862277435367425e-05,3.938137920253752e-07
156.875,157.5,1.131075048668827e-05,3.9212759888625833e-07
157.5,158.125,1.2026751758695889e-05,3.992534858972564e-07
158.125,158.75,1.1875125294052383e-05,3.9174156127945463e-07
158.75,159.375,1.2683856093816045e-05,3.9694235355292947e-07
159.375,160.0,1.2882023921134084e-05,4.03514275942268e-07
160.0,160.625,2.4198469561337713e-05,5.410688875564914e-07
160.625,161.25,3.370119269534871e-05,6.358157778918681e-07
161.25,161.875,4.0987688360213115e-05,7.152040101278763e-07
161.875,162.5,4.57725083343026e-05,7.336913510873488e-07
162.5,163.125,5.130123331299709e-05,8.010088828553163e-07
163.125,163.75,5.40566471016436e-05,7.827796223711028e-07
163.75,164.375,5.8797362590854544e-05,8.580675666772759e-07
164.375,165.0,6.419982353009928e-05,8.759990227662809e-07
