xl,xh,NLOFF1,dNLOFF1
106.0,106.6875,0.0,0.0
106.6875,107.375,1.0900481831705682e-08,1.0900481132406532e-08
107.375,108.0625,2.4899668798393853e-07,5.5809838182369234e-08
108.0625,108.75,5.241770977035558e-07,5.708445393450041e-08
108.75,109.4375,9.233396267877097e-07,8.874194502990685e-08
109.4375,110.125,1.5667480184249262e-06,1.3699938748344675e-07
110.125,110.8125,1.693779645523861e-06,1.3421258042803362e-07
110.8125,111.5,2.3856512906439098e-06,1.6971116596727112e-07
111.5,112.1875,2.836778147576059e-06,1.7317835338664267e-07
112.1875,112.875,3.1721802988508126e-06,1.7146669580583855e-07
112.875,113.5625,3.4061402825177414e-06,2.2140742044320608e-07
113.5625,114.25,4.085548522864221e-06,2.2899886831906214e-07
114.25,114.9375,4.309313881938042e-06,2.0938898654701086e-07
114.9375,115.625,4.894547104782339e-06,2.460107757052543e-07
115.625,116.3125,5.45115107239927e-06,2.6364670071690656e-07
116.3125,117.0,5.640452534140698e-06,2.448517462714386e-07
117.0,117.6875,6.401504485777127e-06,2.8494663783463064e-07
117.6875,118.375,6.438995035619358e-06,2.5513919926694296e-07
118.375,119.0625,7.222673234617313e-06,2.768608141883168e-07
119.0625,119.75,7.533616616729916e-06,3.050374235425331e-07
119.75,120.4375,8.628918284223658e-06,3.1731891072819846e-07
120.4375,121.125,8.470079591414648e-06,3.046777355879727e-07
121.125,121.8125,8.990809955964705e-06,3.1371677581353124e-07
121.8125,122.5,9.722425990335848e-06,3.4108713516728575e-07
122.5,123.1875,1.0281476799895005e-05,3.4254953072405784e-07
123.1875,123.875,1.0614218915096183e-05,3.645015430164747e-07
123.875,124.5625,1.1753023769211252e-05,3.8076425629294725e-07
124.5625,125.25,1.2011565588426278e-05,3.8960474257300915e-07
125.25,125.9375,1.2665346532332545e-05,3.872101906619262e-07
125.9375,126.625,1.3371936710296446e-05,3.987183377598557e-07
126.625,127.3125,1.2905152266269655e-05,3.8119246672149545e-07
127.3125,128.0,1.3672127610378394e-05,4.0241130821836737e-07
128.0,128.6875,1.488478208649914e-05,4.018066984474773e-07
128.6875,129.375,1.5169762812029923e-05,4.19410812938162e-07
129.375,130.0625,1.563338055462829e-05,4.256562568404578e-07
130.0625,130.75,1.6082674921740914e-05,4.332487338716032e-07
130.75,131.4375,1.6089441557897794e-05,4.1169587450529907e-07
131.4375,132.125,1.686287512202645e-05,4.253890198784155e-07
132.125,132.8125,1.7599745393362514e-05,4.484226756167217e-07
132.8125,133.5,1.9201982680220028e-05,4.699874181435071e-07
133.5,134.1875,1.9062506968019643e-05,4.5725453990772915e-07
134.1875,134.875,1.9131401192987157e-05,4.4550698749378866e-07
134.875,135.5625,2.0618374012853875e-05,4.7080019106515903e-07
135.5625,136.25,2.10826959513137e-05,4.834794595923644e-07
136.25,136.9375,2.0625762655342037e-05,4.512258197175587e-07
136.9375,137.625,2.2497265540024497e-05,4.926236146896537e-07
137.625,138.3125,2.3464158745298137e-05,5.327495450066159e-07
138.3125,139.0,2.2637803077141127e-05,4.918344806350906e-07
139.0,139.6875,2.476875673348067e-05,5.392130677606771e-07
139.6875,140.375,2.4847025267798258e-05,5.363042423793904e-07
140.375,141.0625,2.559411859964737e-05,5.236027837042698e-07
141.0625,141.75,2.5940453797252528e-05,5.375073081563706e-07
141.75,142.4375,2.6589828012013127e-05,5.272553389773094e-07
142.4375,143.125,2.8210534585720562e-05,5.914745760614983e-07
143.125,143.8125,2.8662398343975553e-05,5.87590292526805e-07
143.8125,144.5,2.913034440763362e-05,5.765110191744893e-07
144.5,145.1875,2.962458859399353e-05,5.642678719634827e-07
145.1875,145.875,3.167346439294723e-05,6.275547286696953e-07
145.875,146.5625,3.131894971263411e-05,6.23421991420503e-07
146.5625,147.25,3.192435369071289e-05,5.979212295459249e-07
147.25,147.9375,3.179312200934499e-05,5.823208219435467e-07
147.9375,148.625,3.350907040148919e-05,5.871888321048217e-07
148.625,149.3125,3.3674516794777446e-05,6.009180524689216e-07
149.3125,150.0,3.467254103504175e-05,6.364886507979639e-07
150.0,150.6875,3.4844787861501734e-05,6.0940101578508e-07
150.6875,151.375,3.657761797855932e-05,6.307706442507457e-07
151.375,152.0625,3.586939500517818e-05,6.062009216891045e-07
152.0625,152.75,3.802870357314484e-05,6.561302802613152e-07
152.75,153.4375,3.915755060378864e-05,6.679744067361283e-07
153.4375,154.125,3.973146309472268e-05,6.672457215620402e-07
154.125,154.8125,3.9788579939211846e-05,6.500239642902629e-07
154.8125,155.5,4.1869210396256036e-05,6.661553544553789e-07
155.5,156.1875,4.222044268476096e-05,6.810861050234819e-07
156.1875,156.875,4.289039640100541e-05,6.824595871898922e-07
156.875,157.5625,4.315523984214359e-05,7.136945160802193e-07
157.5625,158.25,4.472554975596232e-05,7.081754172419532e-07
158.25,158.9375,4.387575929688826e-05,6.779186411758904e-07
158.9375,159.625,4.546941214723305e-05,6.910901024713283e-07
159.625,160.3125,9.263614701103647e-05,9.897877732959305e-07
160.3125,161.0,0.0001509047477742452,1.2408205603607893e-06
161.0,161.6875,0.00015228072965405403,1.2799531313181946e-06
161.6875,162.375,0.0001559367847186454,1.3121784025278196e-06
162.375,163.0625,0.0001552383368805762,1.301914644140023e-06
163.0625,163.75,0.00015764556858587683,1.3023702903584536e-06
163.75,164.4375,0.00015742206910827474,1.287049931354041e-06
164.4375,165.125,0.00015884938259212082,1.278709136918457e-06
165.125,165.8125,0.00016242735353529192,1.3355184758064458e-06
165.8125,166.5,0.00016138440643427655,1.2924630390428253e-06
166.5,167.1875,0.00016220437499644318,1.3058144145523672e-06
167.1875,167.875,0.00016526439745652525,1.3349226194506869e-06
167.875,168.5625,0.0001678337723106014,1.344026188581507e-06
168.5625,169.25,0.00016555708710379495,1.321637496222843e-06
169.25,169.9375,0.00016852433424656638,1.3331344404860923e-06
169.9375,170.625,0.00017194909544813983,1.3335984326905818e-06
170.625,171.3125,0.00017542960445399364,1.3619945232439527e-06
171.3125,172.0,0.00017433096380293632,1.3672611148982443e-06
172.0,172.6875,0.00017666926633187407,1.3663569641434795e-06
172.6875,173.375,0.00017857546056967432,1.367084900258295e-06
173.375,174.0625,0.00018167664581837285,1.3708196344143282e-06
174.0625,174.75,0.00018070357441782653,1.368364679755333e-06
174.75,175.4375,0.00018673632111932217,1.417794465685798e-06
175.4375,176.125,0.00018501198030126728,1.412183880352965e-06
176.125,176.8125,0.00018475600723512177,1.3739734037281035e-06
176.8125,177.5,0.00018867834348749803,1.4053246251742192e-06
177.5,178.1875,0.00018835593811842834,1.391939370249129e-06
178.1875,178.875,0.00019089217415363662,1.4134720282552678e-06
178.875,179.5625,0.00019251262226863814,1.414447494643508e-06
179.5625,180.25,0.0001936788886801186,1.4172420955853316e-06
180.25,180.9375,0.00019535860099548135,1.4227419975499208e-06
180.9375,181.625,0.00019849239666131364,1.4239638238869737e-06
181.625,182.3125,0.00020025428785554417,1.446822856733969e-06
182.3125,183.0,0.00020040928046321792,1.4165700597209835e-06
183.0,183.6875,0.0002059369635389847,1.4710681790025486e-06
