xl,xh,NLOFF1,dNLOFF1
106.0,106.6875,0.0,0.0
106.6875,107.375,7.348740764691577e-09,5.494662508239061e-09
107.375,108.0625,3.3951302401004736e-07,5.4702766778073614e-08
108.0625,108.75,5.832093554609386e-07,6.404338551232125e-08
108.75,109.4375,1.050256378494635e-06,1.2146856345756245e-07
109.4375,110.125,1.464877132160799e-06,1.0901589640089567e-07
110.125,110.8125,2.0013337721184287e-06,1.4668975054661833e-07
110.8125,111.5,2.519962240845772e-06,1.7862488777323858e-07
111.5,112.1875,2.454454540792453e-06,1.4977037461921208e-07
112.1875,112.875,2.9314479997231956e-06,1.704481212533694e-07
112.875,113.5625,3.6042596330448834e-06,2.1094580795016305e-07
113.5625,114.25,3.5233470716491965e-06,1.942938598203206e-07
114.25,114.9375,4.486166864490261e-06,2.1559205946405276e-07
114.9375,115.625,4.485719061846725e-06,2.0757430978899384e-07
115.625,116.3125,5.496948643704413e-06,2.6443359080332625e-07
116.3125,117.0,5.938046720429438e-06,2.585568602645584e-07
117.0,117.6875,6.14969490896244e-06,2.6902889599936577e-07
117.6875,118.375,6.1321357627629506e-06,2.6298358691929664e-07
118.375,119.0625,7.032098068150957e-06,2.6295142810283086e-07
119.0625,119.75,7.114908480378117e-06,2.6500595826248e-07
119.75,120.4375,8.620451639313686e-06,3.239819096280243e-07
120.4375,121.125,8.578278735534523e-06,3.031397410308832e-07
121.125,121.8125,9.296184885753798e-06,3.122950601540259e-07
121.8125,122.5,1.0135569344373739e-05,3.570335396386009e-07
122.5,123.1875,1.019622575325942e-05,3.3665775184902977e-07
123.1875,123.875,1.0744733830094015e-05,3.471306000553544e-07
123.875,124.5625,1.1557834382488936e-05,3.777831552670798e-07
124.5625,125.25,1.2690260048684106e-05,4.056125650861126e-07
125.25,125.9375,1.2391738761859479e-05,3.8237583330846355e-07
125.9375,126.625,1.3070496932423237e-05,4.1893850756695716e-07
126.625,127.3125,1.2833720365211791e-05,4.030081674709102e-07
127.3125,128.0,1.3879598374199737e-05,3.978040120517015e-07
128.0,128.6875,1.4736158260256141e-05,4.0546684644117503e-07
128.6875,129.375,1.4747891476272227e-05,4.0932839649559054e-07
129.375,130.0625,1.5699925355008693e-05,4.4200088090766614e-07
130.0625,130.75,1.5247137127705077e-05,4.015323793698849e-07
130.75,131.4375,1.6179533966880042e-05,4.244207194203677e-07
131.4375,132.125,1.672076551997968e-05,4.122515780266243e-07
132.125,132.8125,1.7905190954253422e-05,4.5421968762920405e-07
