xl,xh,NLOFF1,dNLOFF1
316.0,317.01,1.0846857562841107e-05,5.925552783689063e-06
317.01,318.02,1.3622875245018566e-05,6.029222909915284e-06
318.02,319.03,1.3893342858438586e-05,6.960061833422259e-06
319.03,320.04,1.606009327035669e-05,8.187561397436527e-06
320.04,321.05,9.277789156215799e-06,5.41778089078128e-06
321.05,322.06,3.2475086908268115e-05,1.2082575820089581e-05
322.06,323.07,2.4307067519469958e-05,9.583203368419011e-06
323.07,324.08,3.14038454211035e-05,1.1905334414013042e-05
324.08,325.09,2.1996815255028935e-05,9.628071323350351e-06
325.09,326.1,1.0614466684127524e-05,5.723479462492868e-06
326.1,327.11,1.6320961637295584e-05,8.132036374028893e-06
327.11,328.12,2.887707539827038e-05,1.0111247087478865e-05
328.12,329.13,6.126102077766886e-05,5.962701228577859e-05
329.13,330.14,9.902526681499263e-06,6.17669365366454e-06
330.14,331.15,1.7652406352395715e-05,8.098381592532305e-06
331.15,332.16,2.1009410507867887e-05,8.819300808256914e-06
332.16,333.17,1.7472116391173614e-05,8.848723080891936e-06
333.17,334.18,1.9600099019382705e-05,8.966629114524163e-06
334.18,335.19,0.00013550189259597478,0.0001226542872852296
335.19,336.2,1.966358539396785e-05,9.313289111190167e-06
336.2,337.21,1.6986501747779707e-05,8.857972996276192e-06
337.21,338.22,1.906915092937687e-05,9.015614321211128e-06
338.22,339.23,2.6890591316943515e-05,1.1518214374404608e-05
339.23,340.24,3.526633858175541e-05,1.5630265053814594e-05
340.24,341.25,3.920133655137302e-05,1.3309630224306822e-05
341.25,342.26,1.6391190085346368e-05,9.492915852980914e-06
342.26,343.27,2.114284082811564e-05,1.002676005231835e-05
343.27,344.28,2.2378071523618772e-05,1.1298287251981266e-05
344.28,345.29,0.0001377153247255173,8.048205210212629e-05
345.29,346.3,2.7449828524247488e-05,1.2468864873403785e-05
346.3,347.31,2.90550130160966e-05,1.2118910656752053e-05
347.31,348.32,2.09311435659025e-05,9.585187693742785e-06
348.32,349.33,1.780307890364892e-05,1.0582470774184325e-05
349.33,350.34000000000003,1.2733026402110224e-05,6.677505592201456e-06
350.34000000000003,351.35,8.305278327701583e-05,6.397501299528455e-05
351.35,352.36,2.910907514785284e-05,1.2290459680942612e-05
352.36,353.37,1.3462624535368297e-05,7.877420740882272e-06
353.37,354.38,2.3279800804436525e-05,9.903883174440822e-06
354.38,355.39,1.710702131909437e-05,9.769635146208762e-06
355.39,356.4,1.9237865277788147e-05,9.521279829077325e-06
356.4,357.41,1.0995487688114909e-05,7.226887637695863e-06
357.41,358.42,2.340418473979591e-05,1.0392943987705265e-05
