xl,xh,NLOFF1,dNLOFF1
316.0,317.01,7.964406020110494e-06,5.177227653415915e-06
317.01,318.02,1.1192856667060342e-05,5.5178477960077886e-06
318.02,319.03,1.2338280214769292e-05,6.7841173825655424e-06
319.03,320.04,1.606009327035669e-05,8.187561397436527e-06
320.04,321.05,9.277789156215799e-06,5.41778089078128e-06
321.05,322.06,3.2475086908268115e-05,1.2082575820089581e-05
322.06,323.07,2.4307067519469958e-05,9.583203368419011e-06
323.07,324.08,3.14038454211035e-05,1.1905334414013042e-05
324.08,325.09,2.1996815255028935e-05,9.628071323350351e-06
325.09,326.1,1.0614466684127524e-05,5.723479462492868e-06
326.1,327.11,1.6320961637295584e-05,8.132036374028893e-06
327.11,328.12,2.493676583454159e-05,9.311897761170496e-06
328.12,329.13,6.126102077766886e-05,5.962701228577859e-05
329.13,330.14,9.902526681499263e-06,6.17669365366454e-06
330.14,331.15,1.7652406352395715e-05,8.098381592532305e-06
331.15,332.16,2.1009410507867887e-05,8.819300808256914e-06
332.16,333.17,1.7472116391173614e-05,8.848723080891936e-06
333.17,334.18,1.9600099019382705e-05,8.966629114524163e-06
334.18,335.19,0.00013550189259597478,0.0001226542872852296
335.19,336.2,1.966358539396785e-05,9.313289111190167e-06
336.2,337.21,1.6986501747779707e-05,8.857972996276192e-06
337.21,338.22,1.906915092937687e-05,9.015614321211128e-06
338.22,339.23,2.0369687893172608e-05,1.0256877635036105e-05
339.23,340.24,3.526633858175541e-05,1.5630265053814594e-05
340.24,341.25,3.456142913697887e-05,1.2474687372506832e-05
341.25,342.26,1.6391190085346368e-05,9.492915852980914e-06
342.26,343.27,1.627014260343236e-05,8.763153245721354e-06
343.27,344.28,2.2378071523618772e-05,1.1298287251981266e-05
344.28,345.29,0.00013393519824177395,8.039323110946891e-05
345.29,346.3,2.7449828524247488e-05,1.2468864873403785e-05
346.3,347.31,2.90550130160966e-05,1.2118910656752053e-05
347.31,348.32,2.09311435659025e-05,9.585187693742785e-06
348.32,349.33,1.780307890364892e-05,1.0582470774184325e-05
349.33,350.34000000000003,9.506835616022942e-06,5.846435424532432e-06
350.34000000000003,351.35,8.305278327701583e-05,6.397501299528455e-05
351.35,352.36,2.5233594202492366e-05,1.1663452951218208e-05
352.36,353.37,1.3462624535368297e-05,7.877420740882272e-06
353.37,354.38,2.2170586031793347e-05,9.841575375606851e-06
354.38,355.39,1.710702131909437e-05,9.769635146208762e-06
355.39,356.4,1.9237865277788147e-05,9.521279829077325e-06
356.4,357.41,1.0995487688114909e-05,7.226887637695863e-06
357.41,358.42,1.9697275133076395e-05,9.709391074280367e-06
358.42,359.43,2.4152545989174945e-05,1.2827250733456935e-05
359.43,360.44,3.806758677337815e-05,1.5345684347530866e-05
360.44,361.45,1.1630605604396372e-05,7.571237531951293e-06
361.45,362.46,3.792023116981855e-05,2.8803994160643703e-05
362.46,363.47,5.1104480004971515e-06,5.1104397825922115e-06
363.47,364.48,2.0889021205972863e-05,1.061855978807291e-05
364.48,365.49,3.837948565592866e-05,1.5942325766761173e-05
365.49,366.5,6.163412627653422e-05,2.391963348128701e-05
366.5,367.51,5.5330998715282235e-05,1.7165344222436297e-05
367.51,368.52,0.000246932007470586,0.000166449093583562
368.52,369.53,4.970973555881867e-05,1.8825742607622236e-05
369.53,370.54,2.7264187195222775e-05,1.1649787719257318e-05
370.54,371.55,1.2843496139741977e-05,8.336166425639206e-06
371.55,372.56,3.4870882550382476e-05,1.3629137894789037e-05
372.56,373.57,2.7060196502962602e-05,1.1844106731551605e-05
373.57,374.58,4.945622800943855e-06,4.834892193858436e-06
374.58,375.59000000000003,3.06613178867802e-05,1.2790932800145585e-05
375.59000000000003,376.6,4.226051231597748e-05,1.5538108710041795e-05
376.6,377.61,2.028720079592612e-05,9.919364308500538e-06
377.61,378.62,3.8627206616805054e-05,1.4910667872894018e-05
378.62,379.63,1.8189647959343714e-05,9.513744757166725e-06
379.63,380.64,2.105852439871226e-05,9.79848876733556e-06
380.64,381.65,2.9998129415936816e-05,1.3427170603285612e-05
381.65,382.65999999999997,9.31881632722513e-05,7.35915313742331e-05
382.65999999999997,383.67,0.00017109535016812338,0.00010867984619055002
383.67,384.68,3.58897986278927e-05,1.357768429345984e-05
384.68,385.69,0.00029013199964400587,0.00017681641289421027
385.69,386.7,2.4418018413157733e-05,1.0516108488795617e-05
386.7,387.71,0.00014150374949877206,9.458217464524199e-05
387.71,388.72,3.388630387569695e-05,1.9835070758421406e-05
388.72,389.73,1.1058277784660847e-05,7.11822334305221e-06
389.73,390.74,0.0001460746823090389,0.00010727219491829561
390.74,391.75,2.002098899366076e-05,1.062730595943371e-05
391.75,392.76,1.744010952502691e-05,8.936667775379644e-06
392.76,393.77,1.901988038385464e-05,8.382540305169861e-06
393.77,394.78,2.0473926052484897e-05,1.1375154991107153e-05
394.78,395.79,5.218128590316312e-05,3.3312742908140125e-05
395.79,396.8,2.6457942535903083e-05,1.2192968115409458e-05
396.8,397.81,1.6109924957482078e-05,9.32145466444602e-06
397.81,398.82,3.5692530856415504e-05,1.4027010873181122e-05
398.82,399.83,2.004403213750644e-05,1.1625807096123366e-05
399.83,400.84000000000003,5.5749744121479046e-05,1.997884069490439e-05
400.84000000000003,401.85,1.702198244152332e-05,1.0028076370489158e-05
401.85,402.86,3.9962741182864386e-05,1.6872738365588337e-05
402.86,403.87,1.6029836875448977e-05,9.364254319926635e-06
403.87,404.88,1.3511767300232517e-05,8.902828894947123e-06
404.88,405.89,2.473691038504811e-05,1.1465024655942316e-05
405.89,406.9,0.00011174887005973376,8.801916916786767e-05
406.9,407.90999999999997,5.748807595427136e-05,1.935449605253626e-05
407.90999999999997,408.92,1.2532768307833285e-05,7.295386681758579e-06
408.92,409.93,5.721362538732843e-06,5.248175870471085e-06
409.93,410.94,2.4778244263824173e-05,1.3781961717040333e-05
410.94,411.95,0.00014363503913611183,0.00011969046239869593
411.95,412.96000000000004,7.72816988360024e-05,2.150594032891934e-05
412.96000000000004,413.97,5.0805826202396644e-05,2.1056136670544534e-05
413.97,414.98,4.387266089370436e-05,1.5326561181613246e-05
414.98,415.99,2.8863767704165577e-05,1.2031712222418219e-05
415.99,417.0,4.964771629540451e-05,1.9203499968253917e-05
417.0,418.01,4.0831228455009165e-05,2.096954057457962e-05
418.01,419.02,2.255120514706464e-05,1.0180891262644686e-05
419.02,420.03,4.701051885642506e-05,1.80198810236067e-05
420.03,421.04,1.0699942414131495e-05,6.580724512045284e-06
421.04,422.05,2.5597711728901034e-05,1.0799826102390998e-05
422.05,423.06,0.0001030868652932943,6.320240691328663e-05
423.06,424.07,3.5423474190015504e-05,1.4673716080534924e-05
424.07,425.08,3.8825149724516255e-05,1.6809168016825253e-05
425.08,426.09000000000003,4.039596052630882e-05,1.4776747351611129e-05
426.09000000000003,427.1,0.00016011802252989318,0.00013365698971163617
427.1,428.11,1.6637801111668204e-05,9.638213822992154e-06
428.11,429.12,2.7070745995931054e-05,1.2691160465972208e-05
429.12,430.13,3.9702693982236485e-05,1.7581914615193186e-05
430.13,431.14,3.858227284433754e-05,1.655347760903106e-05
431.14,432.15,1.7545227846250157e-05,9.354335780075217e-06
432.15,433.15999999999997,3.6945492944646e-05,1.5102958630480308e-05
433.15999999999997,434.17,8.500331224065599e-05,6.267694992140627e-05
434.17,435.18,0.00025412507627044136,0.00014161732629082628
435.18,436.19,4.967311021028641e-05,2.0919067181704702e-05
436.19,437.2,4.990953695908513e-05,1.8476139246415827e-05
437.2,438.21000000000004,3.3847343881205266e-05,1.4177233016442713e-05
438.21000000000004,439.22,3.9009444728540946e-05,1.5049782160053935e-05
439.22,440.23,4.7511672783915967e-05,1.5858936902988855e-05
440.23,441.24,6.644285787973359e-05,2.1050365588757536e-05
441.24,442.25,2.423077504209634e-05,1.0953312149465386e-05
442.25,443.26,3.0498760066582293e-05,1.2248155352298714e-05
443.26,444.27,4.4905112773726465e-05,1.611121855345544e-05
444.27,445.28,3.4377513957765235e-05,1.3644587774815893e-05
445.28,446.28999999999996,8.37253231628418e-05,6.596743832978809e-05
446.28999999999996,447.3,2.533196426559897e-05,1.0714775859834603e-05
447.3,448.31,3.309565411345346e-05,1.2538209410879341e-05
448.31,449.32,2.6714626809893976e-05,1.2911092446594956e-05
449.32,450.33000000000004,2.2892628272836558e-05,1.3376002338272256e-05
450.33000000000004,451.34000000000003,2.5569308936201784e-05,1.107364617054728e-05
451.34000000000003,452.35,2.5835671218838786e-05,1.095302084409323e-05
452.35,453.36,1.6253214564072742e-05,8.91636547786235e-06
453.36,454.37,5.9287590514558506e-05,2.3716110217671217e-05
454.37,455.38,2.1322844734671976e-05,1.0199646778618874e-05
455.38,456.39,6.249620145716122e-05,2.6008000025494217e-05
456.39,457.4,0.00012819747108052935,8.851965430912306e-05
457.4,458.40999999999997,0.00017519756798562615,0.00013805932718410696
458.40999999999997,459.41999999999996,3.27831842880995e-05,1.3208844025153057e-05
459.41999999999996,460.43,6.766115425894325e-05,2.0310331971600397e-05
460.43,461.44,0.00015840440457811047,0.00011604822635511928
461.44,462.45,0.0001233440646751622,7.668800933285661e-05
462.45,463.46000000000004,1.8775711676129323e-05,9.831075527445505e-06
