xl,xh,NLOFF1,dNLOFF1
140.0,140.625,0.0,0.0
140.625,141.25,0.0,0.0
141.25,141.875,0.0,0.0
141.875,142.5,1.9703764591692055e-06,1.9703733140422087e-06
142.5,143.125,0.0,0.0
143.125,143.75,1.3333830497030541e-06,1.3333809055436474e-06
143.75,144.375,0.0,0.0
144.375,145.0,0.0,0.0
145.0,145.625,1.137561736611215e-05,1.1375599255806287e-05
145.625,146.25,0.0,0.0
146.25,146.875,1.562116658104216e-05,1.1162383720054406e-05
146.875,147.5,1.160470691217216e-05,1.1604688289921478e-05
147.5,148.125,6.153586077017985e-06,4.7004257961807245e-06
148.125,148.75,1.6796341720782625e-05,1.238231840039509e-05
148.75,149.375,0.0,0.0
149.375,150.0,0.0,0.0
150.0,150.625,1.1854149646537284e-06,1.1854130774394443e-06
150.625,151.25,4.031326544726711e-06,2.988252419088174e-06
151.25,151.875,9.089192460546392e-06,9.089177952321602e-06
151.875,152.5,7.291939292218108e-07,7.291927590731591e-07
152.5,153.125,0.00019485355543985485,0.00018281804175667002
153.125,153.75,1.6236520191871842e-05,1.2208964327998832e-05
153.75,154.375,0.00015774374312841006,0.00015636957642569695
154.375,155.0,0.0,0.0
155.0,155.625,8.656260126436726e-06,7.3506906209396645e-06
155.625,156.25,7.666236681191077e-07,7.666224379063817e-07
156.25,156.875,1.0870891927234079e-05,7.752290332583805e-06
156.875,157.5,3.675576575456954e-05,2.0463140245331618e-05
157.5,158.125,0.00019738957055592997,0.00019737251819785262
158.125,158.75,9.76910979380334e-06,9.769094200290329e-06
158.75,159.375,0.0,0.0
159.375,160.0,1.9690211303470153e-05,1.9690179706286906e-05
160.0,160.625,1.2501225337536399e-05,1.0047321888644403e-05
160.625,161.25,2.7496636789950938e-05,1.5682759563148045e-05
161.25,161.875,2.0180056422404953e-05,1.0190034067191712e-05
161.875,162.5,2.702100307751086e-05,1.5994100639350047e-05
162.5,163.125,4.251395449159577e-05,2.1439630952182736e-05
163.125,163.75,4.3962484837763304e-05,1.782234903274713e-05
163.75,164.375,1.7548416885521725e-05,8.432328169906338e-06
164.375,165.0,1.6159762673938305e-05,1.0431173699217331e-05
165.0,165.625,3.458119451469144e-05,1.722995894997964e-05
165.625,166.25,3.4917037863387465e-05,1.717381955441783e-05
166.25,166.875,4.2911273148684873e-05,1.679583556020817e-05
166.875,167.5,0.00013318172705066366,0.00011102375565016702
167.5,168.125,2.7971890691128654e-05,1.3885701928360278e-05
168.125,168.75,0.00010929600623764571,4.092900317515149e-05
168.75,169.375,4.769512973955059e-05,1.8409337586674082e-05
169.375,170.0,6.476891243926636e-05,2.137194469124611e-05
170.0,170.625,4.762792826367317e-05,1.6964521706342944e-05
170.625,171.25,0.00018396478607008465,0.000103435781564807
171.25,171.875,6.72902704392378e-05,2.0321441192853787e-05
171.875,172.5,8.226316474999473e-05,2.642773396098315e-05
172.5,173.125,0.00010312183567066623,2.9563648390776574e-05
173.125,173.75,7.059885925074466e-05,2.1131280067088232e-05
173.75,174.375,6.739380799971273e-05,2.526623929902306e-05
174.375,175.0,0.0002251440401034689,0.00011357671749947353
175.0,175.625,0.00019164210474243698,4.8149295313511955e-05
175.625,176.25,7.398408954415042e-05,2.2813002198025023e-05
176.25,176.875,9.688098748254567e-05,4.62883117509682e-05
176.875,177.5,0.00011449538856420079,5.5084027492459484e-05
177.5,178.125,8.140587030253993e-05,4.4554229529776215e-05
178.125,178.75,0.00014003762945592887,5.630238217059259e-05
178.75,179.375,0.0001455882051715443,4.97357987773677e-05
179.375,180.0,0.00032733933280633333,0.00015844722413771572
180.0,180.625,0.0002392718931711366,0.00011131377600902704
180.625,181.25,0.00014667902562867023,5.365844424936125e-05
181.25,181.875,0.00013571429019217622,4.9147755590256394e-05
181.875,182.5,0.0003152291045163944,0.00014877340295251401
182.5,183.125,0.00011071701852239654,3.089440456258974e-05
183.125,183.75,0.00010401239499593133,2.4959629209633035e-05
183.75,184.375,0.00011699475484693111,2.7243291836638426e-05
184.375,185.0,8.21383231784654e-05,4.006964995408224e-05
185.0,185.625,0.00014663888888177205,7.82738566583405e-05
185.625,186.25,7.361084549002193e-05,1.8625907165206468e-05
186.25,186.875,0.00015331293189796338,3.970263475296902e-05
186.875,187.5,0.00013439158742931315,6.455667400772871e-05
