xl,xh,NLOFF1,dNLOFF1
106.0,106.6875,0.0,0.0
106.6875,107.375,0.0,0.0
107.375,108.0625,0.0,0.0
108.0625,108.75,0.0,0.0
108.75,109.4375,0.0,0.0
109.4375,110.125,3.0034177353384176e-06,2.1628485265329336e-06
110.125,110.8125,0.0,0.0
110.8125,111.5,0.0,0.0
111.5,112.1875,0.0,0.0
112.1875,112.875,1.8476285741551362e-05,1.3157512813149273e-05
112.875,113.5625,1.6541672378553864e-06,1.6540678974212302e-06
113.5625,114.25,9.32355500281856e-06,6.6712904506302694e-06
114.25,114.9375,0.0,0.0
114.9375,115.625,2.650182716061749e-05,1.5678808585294334e-05
115.625,116.3125,1.0776499678670258e-06,1.0776482522176766e-06
116.3125,117.0,0.0,0.0
117.0,117.6875,0.0,0.0
117.6875,118.375,0.00016582709994016987,0.00016581277424363412
118.375,119.0625,0.0,0.0
119.0625,119.75,0.0,0.0
119.75,120.4375,0.00014582207767052728,0.00014217465408798105
120.4375,121.125,0.0,0.0
121.125,121.8125,9.509069723730131e-06,8.356330763157213e-06
121.8125,122.5,1.8563095666083604e-05,1.791243177846402e-05
122.5,123.1875,2.6183895811537813e-05,1.8685020363740264e-05
123.1875,123.875,3.5772405146032184e-05,1.639088490018288e-05
123.875,124.5625,0.0,0.0
124.5625,125.25,0.0001855423224993347,0.00017949803589178376
125.25,125.9375,0.0,0.0
125.9375,126.625,5.587420784185866e-06,5.587411865510519e-06
126.625,127.3125,8.88100890345758e-06,8.880994727536663e-06
127.3125,128.0,1.3490313096915261e-05,8.05306620297834e-06
128.0,128.6875,0.0,0.0
128.6875,129.375,3.0609114323969024e-06,2.1661159606813438e-06
129.375,130.0625,1.0829513827556245e-05,1.082949654141981e-05
130.0625,130.75,1.3035769801082855e-05,6.957915926618288e-06
130.75,131.4375,4.515618909892877e-06,3.5948759241976246e-06
131.4375,132.125,1.632460903195531e-05,1.0456636735000801e-05
132.125,132.8125,1.4358312868339172e-05,9.004174696184299e-06
132.8125,133.5,2.470504423944691e-06,2.4705004512263483e-06
133.5,134.1875,3.6346141262656135e-05,2.878099702613567e-05
134.1875,134.875,4.020968719781422e-05,2.0613713764014944e-05
134.875,135.5625,1.0655960746946572e-05,1.0064958231184586e-05
135.5625,136.25,9.574827165759581e-06,8.86482482056479e-06
136.25,136.9375,5.389297607454793e-06,5.3892890050248766e-06
136.9375,137.625,9.461834348592741e-06,4.834088616234875e-06
137.625,138.3125,2.1898802568282624e-05,1.9592075258365378e-05
138.3125,139.0,1.2850117827959516e-05,8.843782459016045e-06
139.0,139.6875,5.469492417041929e-05,3.723755127312267e-05
139.6875,140.375,5.166918202363001e-06,4.696034625060956e-06
140.375,141.0625,1.7831980197995832e-05,9.343220604276402e-06
141.0625,141.75,4.2978517700814734e-05,2.2542273658540522e-05
141.75,142.4375,2.9215431392413698e-05,2.0790156860644898e-05
142.4375,143.125,8.78044112682276e-06,8.780427148111162e-06
143.125,143.8125,1.581310289045717e-05,9.133808351977534e-06
143.8125,144.5,0.00010137726075416986,4.587090044017887e-05
144.5,145.1875,0.00010101303724378858,8.512161962068999e-05
145.1875,145.875,0.00020039620796923904,0.00015065392679247978
145.875,146.5625,7.208994950832649e-05,4.0798011393997506e-05
146.5625,147.25,2.7831711757116324e-05,1.7616121876995572e-05
147.25,147.9375,2.554835141592817e-05,1.5239087473549538e-05
147.9375,148.625,1.7494847585257082e-05,8.940345671828717e-06
148.625,149.3125,4.1420075720870044e-05,2.1144151827978327e-05
149.3125,150.0,4.8527234338500974e-06,2.9590962684292193e-06
150.0,150.6875,2.287237323791055e-05,1.1534533127649091e-05
150.6875,151.375,6.315511294604168e-05,2.930421521560019e-05
151.375,152.0625,7.455493957733173e-05,4.7621564615971954e-05
152.0625,152.75,2.273041845322453e-05,1.0471279249013775e-05
152.75,153.4375,5.94157643557659e-05,2.2592309921208536e-05
153.4375,154.125,2.334161473975644e-05,1.194147219857859e-05
154.125,154.8125,7.947333158044461e-05,2.8353703615749982e-05
154.8125,155.5,7.422089077405279e-06,6.805311574048369e-06
155.5,156.1875,0.00019354569603889424,0.00013919549644765376
156.1875,156.875,4.4432958308265245e-05,1.8914023311682617e-05
156.875,157.5625,0.00013861666564833763,8.269794776171476e-05
157.5625,158.25,9.293142515571329e-06,9.29312768180021e-06
158.25,158.9375,3.602938847420247e-05,1.653106200461526e-05
158.9375,159.625,2.7865131020474297e-05,1.2454634761386074e-05
159.625,160.3125,6.368152240493135e-05,2.105141848140057e-05
160.3125,161.0,9.430830993508216e-05,2.8584517783332326e-05
161.0,161.6875,0.00015270374724143964,3.44801864200144e-05
161.6875,162.375,6.738533198215403e-05,2.0979951742597995e-05
162.375,163.0625,0.00017467617612728568,6.243869520868386e-05
163.0625,163.75,0.00023069770312422213,0.00014475185976318018
163.75,164.4375,7.06062927904957e-05,2.126804119366171e-05
164.4375,165.125,0.00018269559386160299,4.192660441694329e-05
165.125,165.8125,0.00010679136482593684,2.7067489851096565e-05
165.8125,166.5,0.00010748311408876327,3.099523745915114e-05
166.5,167.1875,0.0002978753250575702,0.00013043411076595087
167.1875,167.875,0.00014760336971682674,4.026019342358791e-05
167.875,168.5625,0.00011715112672591914,2.7380210262397285e-05
168.5625,169.25,0.00025812460382384605,0.00013003906341153685
169.25,169.9375,0.00010587270293355052,2.6871514361159246e-05
169.9375,170.625,0.0004896324173281565,0.0002098300814322543
170.625,171.3125,0.0001543086609228731,4.695737029735742e-05
171.3125,172.0,0.000209203102808132,7.481414623447427e-05
172.0,172.6875,0.00015811195643070656,3.3984627550233694e-05
172.6875,173.375,0.00012132412868918576,2.8696767012484143e-05
173.375,174.0625,0.0001572621132083282,4.831694487925374e-05
174.0625,174.75,0.00011649130599025289,2.882064139796682e-05
174.75,175.4375,0.00012928626752465447,3.303078808605115e-05
175.4375,176.125,0.00019348012857310957,4.844378907325711e-05
176.125,176.8125,0.00014063393608943885,3.113908063844938e-05
176.8125,177.5,0.00012776445488408883,2.67684338703439e-05
