xl,xh,NLOFF1,dNLOFF1
106.0,106.6875,0.0,0.0
106.6875,107.375,0.0,0.0
107.375,108.0625,0.0,0.0
108.0625,108.75,0.0,0.0
108.75,109.4375,0.0,0.0
109.4375,110.125,0.0,0.0
110.125,110.8125,0.0,0.0
110.8125,111.5,5.261392298429994e-06,4.4208400108256676e-06
111.5,112.1875,0.0,0.0
112.1875,112.875,1.8809589133651476e-05,1.3359792674003129e-05
112.875,113.5625,0.0,0.0
113.5625,114.25,1.4409451821205976e-06,1.4409428820750545e-06
114.25,114.9375,0.0,0.0
114.9375,115.625,0.0,0.0
115.625,116.3125,0.0,0.0
116.3125,117.0,0.0,0.0
117.0,117.6875,2.6146358852695314e-06,2.6146316807792094e-06
117.6875,118.375,3.296224211736726e-06,2.424599261129998e-06
118.375,119.0625,0.0,0.0
119.0625,119.75,1.188356534466182e-05,1.1883546425688352e-05
119.75,120.4375,0.0,0.0
120.4375,121.125,0.0,0.0
121.125,121.8125,0.0,0.0
121.8125,122.5,0.0,0.0
122.5,123.1875,4.531773655675354e-06,4.531766422030432e-06
123.1875,123.875,3.189029111906269e-05,1.931553809565815e-05
123.875,124.5625,0.0,0.0
124.5625,125.25,1.8549080617144436e-06,1.8549050851151056e-06
125.25,125.9375,2.8652718186201475e-06,2.8652672450556856e-06
125.9375,126.625,1.2183312621290808e-05,1.2183293174212429e-05
126.625,127.3125,0.00021913637531670893,0.00021107119112793096
127.3125,128.0,1.7140411602975263e-06,1.7140384314953283e-06
128.0,128.6875,2.6361115905569624e-05,1.4127164757273063e-05
128.6875,129.375,8.513139136331103e-06,6.966721140535476e-06
129.375,130.0625,5.111086996266291e-06,5.111078777333807e-06
130.0625,130.75,1.2701814150043778e-05,8.835050798166957e-06
130.75,131.4375,6.372347634589886e-06,5.043474282427662e-06
131.4375,132.125,2.507535143543044e-05,1.6681925632126352e-05
132.125,132.8125,8.855681674277383e-06,8.8556674338135e-06
132.8125,133.5,1.191381237739786e-05,1.0437948931871967e-05
133.5,134.1875,1.0345859788731014e-05,1.0345843317828454e-05
134.1875,134.875,6.641602827893214e-06,3.9858894801251375e-06
134.875,135.5625,0.00011778091373238874,0.00011544212595952608
135.5625,136.25,1.027810560262264e-05,8.762868541865528e-06
136.25,136.9375,6.784999597925411e-06,6.784988767667412e-06
136.9375,137.625,3.255344854861591e-05,1.6745038299229412e-05
137.625,138.3125,1.0500096565519223e-05,8.811102574290649e-06
138.3125,139.0,3.9623489873401714e-05,1.749398770729747e-05
139.0,139.6875,2.035443948926699e-05,1.1629030990081132e-05
139.6875,140.375,1.0145230410469313e-05,9.096544631896354e-06
140.375,141.0625,4.0308298848565436e-05,1.687076756862178e-05
141.0625,141.75,0.0,0.0
141.75,142.4375,3.960023477458217e-05,2.0058338301647424e-05
142.4375,143.125,1.3437019655485966e-05,9.079559986657977e-06
143.125,143.8125,1.2940839842826327e-05,7.72895366391906e-06
143.8125,144.5,1.0561211680296744e-05,1.056119469723897e-05
144.5,145.1875,2.1141523991950774e-05,9.600128583767006e-06
145.1875,145.875,2.641539507246312e-05,1.2018206388139208e-05
145.875,146.5625,9.136660554145441e-06,6.139546204303082e-06
146.5625,147.25,7.515373108051351e-05,3.450889979402943e-05
147.25,147.9375,3.0266932646346797e-05,2.8494410993469226e-05
147.9375,148.625,2.6261788102191788e-05,1.1204812048583837e-05
148.625,149.3125,6.683268852775488e-05,2.9984508949623883e-05
149.3125,150.0,4.326606145496692e-05,2.1908721172797706e-05
150.0,150.6875,9.205715044360188e-06,4.829848724188477e-06
150.6875,151.375,1.6639173726782452e-05,8.385922446404999e-06
151.375,152.0625,-5.907063860734879e-06,4.3577169475664527e-05
152.0625,152.75,2.9964256113164154e-05,1.7647780114758056e-05
152.75,153.4375,3.22975857198653e-05,2.273822669539443e-05
153.4375,154.125,5.8632821761130575e-05,2.1372701326958684e-05
154.125,154.8125,3.3947687495823094e-05,1.4945896898704418e-05
154.8125,155.5,3.859387211460416e-05,1.6415185678958406e-05
155.5,156.1875,4.961835139601664e-05,1.9445475637905754e-05
156.1875,156.875,6.517884081887911e-05,2.2935871946985467e-05
156.875,157.5625,2.168306719584496e-05,9.681388150816804e-06
157.5625,158.25,8.443886042971829e-05,3.0010229887561843e-05
158.25,158.9375,6.310757338757978e-05,1.9968784319169327e-05
158.9375,159.625,4.588886039997005e-06,4.323323006339154e-05
159.625,160.3125,7.697752189447145e-05,2.8903247948737762e-05
160.3125,161.0,0.0001209959164821745,2.7280584186662725e-05
161.0,161.6875,0.0002643994132469535,0.00015877587435442816
161.6875,162.375,0.00012476314448696635,3.1972274954799005e-05
162.375,163.0625,0.00010314427861877322,2.638931168404219e-05
163.0625,163.75,0.0001134470381187288,2.6696261676861725e-05
163.75,164.4375,0.0001146452253429255,2.743625950361571e-05
164.4375,165.125,0.00019619026063214426,8.924615070814057e-05
165.125,165.8125,0.00018226120305560886,8.71428674692224e-05
165.8125,166.5,0.00017839184759288262,3.2995095311905075e-05
166.5,167.1875,0.00011632690732520676,2.8954864509077685e-05
167.1875,167.875,0.0001831366114760389,3.885396506263569e-05
167.875,168.5625,9.959841908327292e-05,2.7698998351975557e-05
168.5625,169.25,0.0001188189326925499,2.6470699163475873e-05
169.25,169.9375,0.00026337727703212426,0.0001211559393609123
169.9375,170.625,0.00010176966677032417,2.4584606627064313e-05
170.625,171.3125,0.00014264681085353906,3.9996755868859184e-05
171.3125,172.0,6.772803705527313e-05,3.153500546231353e-05
172.0,172.6875,0.00022521793863277073,5.89438403414943e-05
172.6875,173.375,0.00010605676943925821,2.4160743873721758e-05
173.375,174.0625,8.662568186117845e-05,2.2061153167653163e-05
174.0625,174.75,0.00025518079953580804,5.643760089797961e-05
174.75,175.4375,0.00024327779122068258,9.985566204568398e-05
175.4375,176.125,0.0001951097110100848,5.422889772384328e-05
176.125,176.8125,0.0003302425566402072,0.00015432498149675012
176.8125,177.5,0.00024723679023621497,0.0001505039257446331
177.5,178.1875,0.00017423635941566702,3.651483406556087e-05
