xl,xh,NLOFF1,dNLOFF1
316.0,317.01,1.837255148655125e-05,1.9165470509081646e-07
317.01,318.02,2.3937504956582622e-05,2.2023660207823048e-07
318.02,319.03,2.4115705029705578e-05,2.2250509223169295e-07
319.03,320.04,2.485761432747192e-05,2.3168346664407106e-07
320.04,321.05,2.4953055381837533e-05,2.2773737498882124e-07
321.05,322.06,2.544221061954746e-05,2.3385539457930447e-07
322.06,323.07,2.5980861952311008e-05,2.3974390898910514e-07
323.07,324.08,2.6064100424406516e-05,2.3968411578834906e-07
324.08,325.09,2.6459085523618527e-05,2.4532956643940867e-07
325.09,326.1,2.6519738057060642e-05,2.4436925054095393e-07
326.1,327.11,2.718696397461461e-05,2.4998360208501506e-07
327.11,328.12,2.771453563323772e-05,2.5463287781392196e-07
328.12,329.13,2.7674918347157864e-05,2.515490315166614e-07
329.13,330.14,2.8102944407765867e-05,2.603057681529597e-07
330.14,331.15,2.776187468116656e-05,2.5195963082564846e-07
331.15,332.16,2.887779057155937e-05,2.63652198933389e-07
332.16,333.17,2.8514825874165346e-05,2.584261769570178e-07
333.17,334.18,2.9247956359578352e-05,2.6560415159294844e-07
334.18,335.19,2.926937727782722e-05,2.673350777045028e-07
335.19,336.2,2.950446326040104e-05,2.7000344952729715e-07
336.2,337.21,3.0252655684929892e-05,2.7583836226381106e-07
337.21,338.22,3.052700091682045e-05,2.7790187233403293e-07
338.22,339.23,3.075045836498855e-05,2.7980895235653403e-07
339.23,340.24,3.069830010983732e-05,2.771098201569876e-07
340.24,341.25,3.1023891565951665e-05,2.7861649926325545e-07
341.25,342.26,3.1290476823794465e-05,2.8287214540275934e-07
342.26,343.27,3.120897205634406e-05,2.8280066731239433e-07
343.27,344.28,3.133195697148928e-05,2.8125977637695237e-07
344.28,345.29,3.205048961600369e-05,2.8950790375180767e-07
345.29,346.3,3.272111018492055e-05,2.96071128092626e-07
346.3,347.31,3.239173906446726e-05,2.873782132733347e-07
347.31,348.32,3.300942746619882e-05,2.9326295379056045e-07
348.32,349.33,3.382726578769985e-05,3.05854047004455e-07
