xl,xh,NLOFF1,dNLOFF1
316.0,317.01,1.7802498594658453e-05,1.9120785770474302e-07
317.01,318.02,2.3180862181588458e-05,2.1966039024869002e-07
318.02,319.03,2.3359049098357366e-05,2.21967786534428e-07
319.03,320.04,2.4092220621845763e-05,2.3109283762185086e-07
320.04,321.05,2.4177407975654215e-05,2.271922786271058e-07
321.05,322.06,2.4662594498239284e-05,2.3328201088944565e-07
322.06,323.07,2.5138864214500288e-05,2.3911602545782863e-07
323.07,324.08,2.5236988319701845e-05,2.3907952970550256e-07
324.08,325.09,2.5633719435146094e-05,2.447150287707494e-07
325.09,326.1,2.5666946590212292e-05,2.437525205705598e-07
326.1,327.11,2.634014143273853e-05,2.4937119136047466e-07
327.11,328.12,2.6793635521280697e-05,2.5396259519414156e-07
328.12,329.13,2.680778269186593e-05,2.5091419838423765e-07
329.13,330.14,2.7195266245128036e-05,2.596720333217502e-07
330.14,331.15,2.6855389303083134e-05,2.5128146064745305e-07
331.15,332.16,2.790759783020988e-05,2.6291384515867245e-07
332.16,333.17,2.7560892417928127e-05,2.5771497136722126e-07
333.17,334.18,2.8278163741875364e-05,2.648998122788921e-07
334.18,335.19,2.8282685750625902e-05,2.666012964504174e-07
335.19,336.2,2.8470036083545474e-05,2.6923598858595616e-07
336.2,337.21,2.9244192825310928e-05,2.7509278957678964e-07
337.21,338.22,2.9476499134543264e-05,2.77091318668826e-07
338.22,339.23,2.967915456789153e-05,2.7900295846244937e-07
339.23,340.24,2.961582783986785e-05,2.762855525201464e-07
340.24,341.25,2.9932677633038302e-05,2.7776959403136684e-07
341.25,342.26,3.0170714281970215e-05,2.8202840228946665e-07
342.26,343.27,3.0035909352547245e-05,2.8187240100851993e-07
343.27,344.28,3.0176143933691687e-05,2.803298707207658e-07
344.28,345.29,3.088465739515036e-05,2.8862967979418403e-07
345.29,346.3,3.157133472199157e-05,2.952027221162927e-07
346.3,347.31,3.1208024907067914e-05,2.8645729228300536e-07
347.31,348.32,3.17880074087372e-05,2.922285711004031e-07
348.32,349.33,3.2580200707281886e-05,3.048881218557931e-07
349.33,350.34000000000003,3.234948449228769e-05,2.9789088216886846e-07
350.34000000000003,351.35,3.239073806840906e-05,3.001261231983959e-07
351.35,352.36,3.2589880348798386e-05,2.998658652988194e-07
352.36,353.37,3.3231742121485196e-05,3.0546075679889487e-07
353.37,354.38,3.2826342086278074e-05,3.008337009206421e-07
354.38,355.39,3.3256751925159474e-05,3.0333415817100875e-07
355.39,356.4,3.354151447794582e-05,3.092146577496861e-07
356.4,357.41,3.413361039943478e-05,3.1170382032941297e-07
357.41,358.42,3.4074132313201695e-05,3.0605694908301195e-07
358.42,359.43,3.399637122495132e-05,3.0838525560494025e-07
359.43,360.44,3.500454699500125e-05,3.1807791011031184e-07
360.44,361.45,3.470758214417349e-05,3.146389396003351e-07
361.45,362.46,3.445781451375185e-05,3.0617843892596266e-07
362.46,363.47,3.57229618495777e-05,3.1888404561105197e-07
363.47,364.48,3.5764251788426885e-05,3.207873731960936e-07
364.48,365.49,3.519338269910668e-05,3.1327498699403735e-07
365.49,366.5,3.567166548018239e-05,3.1640422925910054e-07
366.5,367.51,3.635789241514546e-05,3.2611835710201763e-07
367.51,368.52,3.654319964520874e-05,3.247051659015104e-07
368.52,369.53,3.659723989069269e-05,3.2536649613355735e-07
369.53,370.54,3.668222554485565e-05,3.240147389055981e-07
370.54,371.55,3.665975517599866e-05,3.246403508115486e-07
371.55,372.56,3.7591973747391076e-05,3.324773861211125e-07
372.56,373.57,3.762455207100159e-05,3.305123531913822e-07
373.57,374.58,3.697719697978312e-05,3.2134494129862255e-07
374.58,375.59,3.7875524506422275e-05,3.300726200266802e-07
375.59,376.6,3.7895570549648104e-05,3.3298161439745913e-07
376.6,377.61,3.7941061917072714e-05,3.297144126534333e-07
377.61,378.62,3.8428346814947995e-05,3.3214307406969894e-07
378.62,379.63,3.8864000296684524e-05,3.37656972125568e-07
379.63,380.64,3.820582387933698e-05,3.2692428989819237e-07
380.64,381.65,3.8689039317737124e-05,3.329942938019233e-07
381.65,382.66,3.917342040159655e-05,3.3595540862253466e-07
382.66,383.67,3.9069165000401026e-05,3.324695441654487e-07
383.67,384.68,3.911943095178263e-05,3.308023983210233e-07
384.68,385.69,4.0492340831288456e-05,3.496447680023503e-07
385.69,386.7,4.087539164853141e-05,3.5027660315517225e-07
386.7,387.71,4.021366023457826e-05,3.409672483392661e-07
387.71,388.72,4.001183268880858e-05,3.334735290480247e-07
388.72,389.73,4.089926337349742e-05,3.455136881776309e-07
389.73,390.74,4.096152062772849e-05,3.43426870061432e-07
390.74,391.75,4.168833591660606e-05,3.501178595387782e-07
391.75,392.76,4.166020536251389e-05,3.497865313500219e-07
392.76,393.77,4.2053800445357917e-05,3.5153961766781726e-07
393.77,394.78,4.161071407656191e-05,3.461623966856873e-07
394.78,395.79,4.1859969927560415e-05,3.4962240168930276e-07
395.79,396.8,4.261278732463549e-05,3.5217688773257334e-07
396.8,397.81,4.234029385030099e-05,3.457681833911506e-07
397.81,398.82,4.2676184584913377e-05,3.502069179784349e-07
398.82,399.83,4.2942130910002094e-05,3.526954648806547e-07
399.83,400.84,4.391192873074304e-05,3.6206354669027934e-07
400.84,401.85,4.325986926938495e-05,3.5161375552559593e-07
401.85,402.86,4.341704029754168e-05,3.508126764104905e-07
402.86,403.87,4.45425214994698e-05,3.6240846910767444e-07
403.87,404.88,4.3178670514906794e-05,3.4766059704251684e-07
404.88,405.89,4.435505997685945e-05,3.562714981128611e-07
405.89,406.9,4.4011832868445126e-05,3.525092534558612e-07
406.9,407.91,4.505791506517856e-05,3.6037455174933064e-07
407.91,408.92,4.464118773160395e-05,3.565773130963797e-07
408.92,409.93,4.512162822711147e-05,3.5388654338406735e-07
409.93,410.94,4.5293756331407376e-05,3.570681439145583e-07
410.94,411.95,4.542913201794838e-05,3.57476979549431e-07
411.95,412.96,4.650608252970449e-05,3.6942534193523256e-07
412.96,413.97,4.541781813039974e-05,3.5601236273315214e-07
413.97,414.98,4.580140002752436e-05,3.59343182885377e-07
414.98,415.99,4.598462513194971e-05,3.590847903044442e-07
415.99,417.0,4.723810546092914e-05,3.7063316023286916e-07
417.0,418.01,4.715701494291605e-05,3.660553072898097e-07
418.01,419.02,4.757506273434547e-05,3.690568264369769e-07
419.02,420.03,4.7302814471170814e-05,3.674987351894552e-07
420.03,421.04,4.770016826239178e-05,3.644212350020309e-07
421.04,422.05,4.854147861101243e-05,3.718953109421818e-07
422.05,423.06,4.802629819286547e-05,3.6560699348245763e-07
423.06,424.07,4.8538863970234224e-05,3.694754786920416e-07
424.07,425.08,4.901108337590002e-05,3.719613767519763e-07
425.08,426.09,4.8916289262530924e-05,3.711043683807739e-07
426.09,427.1,4.8943562120899546e-05,3.694113328369241e-07
427.1,428.11,4.9122125462923343e-05,3.6549396397604374e-07
428.11,429.12,4.962022594782047e-05,3.7524024612073757e-07
429.12,430.13,4.9974360827236064e-05,3.7120284535801773e-07
430.13,431.14,5.003862564296641e-05,3.74593884052732e-07
431.14,432.15,4.968166501366856e-05,3.6933399708100444e-07
432.15,433.16,5.059460402859077e-05,3.746552711328066e-07
433.16,434.17,5.0318926960772336e-05,3.699924422988888e-07
434.17,435.18,5.106906473743113e-05,3.755113904538076e-07
435.18,436.19,5.1110145137162444e-05,3.7084208274236645e-07
436.19,437.2,5.057691826311484e-05,3.660627335941796e-07
437.2,438.21,5.134846708793444e-05,3.7249213548861735e-07
438.21,439.22,5.1964284750013986e-05,3.7498975198973057e-07
439.22,440.23,5.2338013015941765e-05,3.8083680460637857e-07
440.23,441.24,5.2239216416906056e-05,3.74664824864415e-07
441.24,442.25,5.3151679309440425e-05,3.806929709164628e-07
442.25,443.26,5.345674458786116e-05,3.8408846057688266e-07
443.26,444.27,5.3144873451854855e-05,3.7513579903192993e-07
444.27,445.28,5.4042236722919636e-05,3.821951723018826e-07
445.28,446.29,5.348745943665945e-05,3.744332204635886e-07
446.29,447.3,5.4402555434251203e-05,3.835009162420431e-07
447.3,448.31,5.522896018512999e-05,3.889915917916038e-07
448.31,449.32,5.534983934816615e-05,3.867582827165312e-07
449.32,450.33,5.545986412024898e-05,3.878153037329918e-07
450.33,451.34,5.621642138426824e-05,3.910569102938696e-07
451.34,452.35,5.6131395484342285e-05,3.904011389119645e-07
452.35,453.36,5.55236758566134e-05,3.787077911434788e-07
453.36,454.37,5.5789315819045534e-05,3.80812741079513e-07
454.37,455.38,5.645098978298059e-05,3.82851607780499e-07
455.38,456.39,5.7300253904808023e-05,3.912451781818581e-07
456.39,457.4,5.7455476699001593e-05,3.89439743826704e-07
457.4,458.41,5.7450746011833065e-05,3.8304282571445254e-07
458.41,459.42,5.8539492673593914e-05,3.935619257233962e-07
459.42,460.43,5.79275359293544e-05,3.8267751287306964e-07
460.43,461.44,5.860346551254798e-05,3.886556901571515e-07
461.44,462.45,5.9102727512533266e-05,3.9278344705866355e-07
462.45,463.46,5.9298257474591134e-05,3.912599925715412e-07
463.46,464.47,5.996937692626436e-05,3.932203114319076e-07
464.47,465.48,6.029016577561375e-05,3.9332274278764744e-07
465.48,466.49,6.078941136751496e-05,3.967535899293639e-07
466.49,467.5,6.0935068910985566e-05,3.930122412670258e-07
467.5,468.51,6.09206064205117e-05,3.908519972071964e-07
468.51,469.52,6.161287030721893e-05,3.9570089522282133e-07
469.52,470.53,6.208954281297337e-05,3.959590695780382e-07
470.53,471.54,6.251871366766758e-05,3.987470552281981e-07
471.54,472.55,6.243440644809257e-05,3.95871493451046e-07
472.55,473.56,6.334324076364274e-05,3.9910221194700607e-07
473.56,474.57,6.348825545641142e-05,3.9465977444707123e-07
474.57,475.58,6.412436161964287e-05,4.021740254091458e-07
475.58,476.59,6.520460323774453e-05,4.0596747309521393e-07
476.59,477.6,6.523622777257966e-05,4.016039305482835e-07
477.6,478.61,6.554291279351971e-05,4.0321284061363027e-07
478.61,479.62,6.589908105181196e-05,4.01652946329556e-07
479.62,480.63,6.660799256040211e-05,4.0738682021176274e-07
480.63,481.64,6.612388037021753e-05,4.010701634272754e-07
481.64,482.65,6.700237620345472e-05,4.0384636150961106e-07
482.65,483.66,6.797311143337637e-05,4.068368956983134e-07
483.66,484.67,6.76175968517468e-05,4.0163120929361097e-07
484.67,485.68,6.84377471760679e-05,4.065071805352851e-07
485.68,486.69,6.875258436922449e-05,4.0442687844292563e-07
486.69,487.7,6.946806192966584e-05,4.096362656747234e-07
487.7,488.71,6.945521948969852e-05,4.0317993994120525e-07
488.71,489.72,7.038164376198738e-05,4.074713918500884e-07
489.72,490.73,7.138129565476322e-05,4.109835234279232e-07
490.73,491.74,7.13618591210099e-05,4.122356362905541e-07
491.74,492.75,7.170275019506987e-05,4.0910125907817594e-07
492.75,493.76,7.210713273054297e-05,4.1117390712500516e-07
493.76,494.77,7.272842294299593e-05,4.1394665357677105e-07
494.77,495.78,7.338832180288899e-05,4.128316416112438e-07
495.78,496.79,7.431022633828087e-05,4.1855368616660283e-07
496.79,497.8,7.376620684363374e-05,4.0872147018924866e-07
497.8,498.81,7.497832731139465e-05,4.149279737687888e-07
498.81,499.82,7.552585462136972e-05,4.1657238505972143e-07
499.82,500.83,7.59911821569995e-05,4.153576627765546e-07
500.83,501.84,7.602310130604581e-05,4.149896513993689e-07
501.84,502.85,7.769626988081692e-05,4.1908583063431364e-07
502.85,503.86,7.823380154903611e-05,4.216200285410651e-07
503.86,504.87,7.794152583100404e-05,4.164312253046518e-07
504.87,505.88,7.861859645957333e-05,4.1760523134903835e-07
505.88,506.89,7.956870271160273e-05,4.1957726983732536e-07
506.89,507.9,8.022920873731298e-05,4.234537388069995e-07
507.9,508.91,8.07326230525501e-05,4.2223360470696677e-07
508.91,509.92,8.135793800716912e-05,4.244234024315379e-07
509.92,510.93,8.144031248354304e-05,4.1916495249344425e-07
510.93,511.94,8.25440289203421e-05,4.239509500830014e-07
511.94,512.95,8.32349859883683e-05,4.235038679513334e-07
512.95,513.96,8.326670994825098e-05,4.178066640440423e-07
513.96,514.97,8.4976832095482e-05,4.275926115297177e-07
514.97,515.98,8.510825240800533e-05,4.259592575462646e-07
515.98,516.99,8.63056816284959e-05,4.3210640563406187e-07
516.99,518.0,8.655690578385935e-05,4.290458870984692e-07
518.0,519.01,8.686675180755385e-05,4.2370102589348236e-07
519.01,520.02,8.752173966030764e-05,4.266848025042228e-07
520.02,521.03,8.950646093878007e-05,4.355404106217097e-07
521.03,522.04,9.012357308801048e-05,4.3253471919720636e-07
522.04,523.05,8.988898196525571e-05,4.295675754138982e-07
523.05,524.06,9.102911830488276e-05,4.34043784868033e-07
524.06,525.0699999999999,9.244199972278085e-05,4.3641573467556825e-07
525.0699999999999,526.08,9.344489242472423e-05,4.387376150772685e-07
526.08,527.09,9.309663205975423e-05,4.337365234244363e-07
527.09,528.1,9.465370942383038e-05,4.369574885723357e-07
528.1,529.11,9.58019327349587e-05,4.390971601354944e-07
529.11,530.12,9.504102403790605e-05,4.311068394947423e-07
530.12,531.13,9.674096403378944e-05,4.3921734019122597e-07
531.13,532.14,9.74453935727239e-05,4.3778107416631563e-07
532.14,533.15,9.868927454375657e-05,4.436204100284886e-07
533.15,534.16,9.881661015537564e-05,4.3598331726568536e-07
534.16,535.1700000000001,9.972879418979e-05,4.401296611970992e-07
535.1700000000001,536.1800000000001,0.00010137856454454241,4.44948344486764e-07
536.1800000000001,537.19,0.00010224521906031334,4.436249121268463e-07
537.19,538.2,0.00010317524609309657,4.467566346589056e-07
538.2,539.21,0.00010433089602757061,4.468545280314188e-07
539.21,540.22,0.00010521197162086872,4.472632979861414e-07
540.22,541.23,0.00010528510161807526,4.4856734817134594e-07
541.23,542.24,0.00010642481838824648,4.4537839406718864e-07
542.24,543.25,0.0001072631931397172,4.462443960947486e-07
543.25,544.26,0.00010821651357934384,4.496287546509122e-07
544.26,545.27,0.00010975573236572561,4.534700176635362e-07
545.27,546.28,0.00011016031730393339,4.513628254119674e-07
546.28,547.29,0.00011104868209402457,4.5240592419818437e-07
547.29,548.3,0.00011219451061206678,4.5283468119734576e-07
548.3,549.31,0.00011294036367050587,4.537823910334578e-07
549.31,550.3199999999999,0.0001151100980284474,4.62924399215707e-07
550.3199999999999,551.33,0.00011502826991024578,4.551020850832135e-07
551.33,552.34,0.0001169653923166698,4.6003192759059655e-07
552.34,553.35,0.00011817576602041856,4.651754481936576e-07
553.35,554.36,0.0001184677819730184,4.591341536286482e-07
554.36,555.37,0.00011969808364320756,4.6147687549883773e-07
555.37,556.38,0.0001211153568260127,4.64792154419619e-07
556.38,557.39,0.00012256759844504286,4.6935417283593215e-07
557.39,558.4,0.0001223931401251216,4.613620993073682e-07
558.4,559.41,0.00012310043979283793,4.6246909484839157e-07
559.41,560.4200000000001,0.0001250453320107449,4.660529799387297e-07
560.4200000000001,561.4300000000001,0.00012636470648202898,4.6472044560243394e-07
561.4300000000001,562.44,0.00012756706801761843,4.714010162163614e-07
562.44,563.45,0.0001288703480778453,4.7253051834202527e-07
563.45,564.46,0.0001288418576242487,4.661064778037485e-07
564.46,565.47,0.0001315906968943082,4.7520718111482704e-07
565.47,566.48,0.00013231032624082728,4.7453098502215317e-07
566.48,567.49,0.0001339361596243608,4.788552230973057e-07
