xl,xh,NLOFF1,dNLOFF1
270.0,271.25,0.0,0.0
271.25,272.5,0.0,0.0
272.5,273.75,0.0,0.0
273.75,275.0,0.0,0.0
275.0,276.25,0.0,0.0
276.25,277.5,0.0,0.0
277.5,278.75,0.0,0.0
278.75,280.0,0.0,0.0
280.0,281.25,0.0,0.0
281.25,282.5,0.0,0.0
282.5,283.75,0.0,0.0
283.75,285.0,0.0,0.0
285.0,286.25,0.0,0.0
286.25,287.5,0.0,0.0
287.5,288.75,0.0,0.0
288.75,290.0,0.0,0.0
290.0,291.25,0.0,0.0
291.25,292.5,0.0,0.0
292.5,293.75,0.0,0.0
293.75,295.0,0.0,0.0
295.0,296.25,0.0,0.0
296.25,297.5,0.0,0.0
297.5,298.75,0.0,0.0
298.75,300.0,0.0,0.0
300.0,301.25,0.0,0.0
301.25,302.5,0.0,0.0
302.5,303.75,0.0,0.0
303.75,305.0,0.0,0.0
305.0,306.25,0.0,0.0
306.25,307.5,0.0,0.0
307.5,308.75,0.0,0.0
308.75,310.0,0.0,0.0
310.0,311.25,0.0,0.0
311.25,312.5,0.0,0.0
312.5,313.75,0.0,0.0
313.75,315.0,0.0,0.0
315.0,316.25,0.0,0.0
316.25,317.5,0.0,0.0
317.5,318.75,0.0,0.0
318.75,320.0,0.0,0.0
320.0,321.25,0.0,0.0
321.25,322.5,0.0,0.0
322.5,323.75,0.0,0.0
323.75,325.0,0.0,0.0
325.0,326.25,0.0,0.0
326.25,327.5,0.0,0.0
327.5,328.75,0.0,0.0
328.75,330.0,0.0,0.0
330.0,331.25,0.0,0.0
331.25,332.5,0.0,0.0
332.5,333.75,0.0,0.0
333.75,335.0,0.0,0.0
335.0,336.25,0.0,0.0
336.25,337.5,0.0,0.0
337.5,338.75,2.7310360921651776e-10,2.7310360047941747e-10
338.75,340.0,0.0,0.0
340.0,341.25,0.0,0.0
341.25,342.5,0.0,0.0
342.5,343.75,0.0,0.0
343.75,345.0,2.553465490473588e-10,2.5534654088381363e-10
345.0,346.25,2.9249541252941135e-10,2.924954031922731e-10
346.25,347.5,9.84029577353315e-10,9.840295459880088e-10
347.5,348.75,3.6590794130267955e-10,3.659079296249247e-10
348.75,350.0,0.0,0.0
350.0,351.25,0.0,0.0
351.25,352.5,9.450464436056474e-10,9.450464134182913e-10
352.5,353.75,0.0,0.0
353.75,355.0,2.4927682652746827e-10,2.4927681857866743e-10
355.0,356.25,1.1122698800868724e-09,6.816152263064308e-10
356.25,357.5,1.534180252265421e-09,8.487090081306024e-10
357.5,358.75,1.1611978864924727e-09,7.139860753106783e-10
358.75,360.0,9.25381590305992e-10,5.807090818322645e-10
360.0,361.25,9.903886333991929e-10,5.84984190710479e-10
361.25,362.5,8.792148346372285e-10,6.881541611608298e-10
362.5,363.75,2.097224469704481e-09,9.591842056365695e-10
363.75,365.0,2.363729542607083e-09,9.680485334016207e-10
365.0,366.25,1.8408975327698257e-09,1.2197579237428491e-09
366.25,367.5,3.6520717314233663e-09,1.4932399742283365e-09
367.5,368.75,4.179057936071189e-09,1.5259865712804748e-09
368.75,370.0,3.812325056528597e-09,1.8689981088840412e-09
370.0,371.25,2.5989862837877447e-09,1.0331662119282872e-09
371.25,372.5,3.786845016610149e-09,1.4115133555259564e-09
372.5,373.75,4.25465510602541e-09,1.6092776936903975e-09
373.75,375.0,3.790941881682948e-09,1.3786431288058434e-09
375.0,376.25,1.1763239907383597e-09,6.884765768884287e-10
376.25,377.5,3.760651940479399e-09,1.4828190511012964e-09
377.5,378.75,4.4094763526571924e-09,1.6117612544668018e-09
378.75,380.0,3.6452339370614545e-09,1.4188342161358118e-09
380.0,381.25,2.583381039929632e-09,1.062961438018499e-09
381.25,382.5,7.41478730614638e-09,2.1260308120812915e-09
382.5,383.75,7.38417797779191e-09,2.1971072484395015e-09
383.75,385.0,8.366464144993786e-09,2.6426186255016202e-09
385.0,386.25,6.543265240151781e-09,1.6772329008951125e-09
386.25,387.5,3.3839059086939384e-09,1.3083017353139358e-09
387.5,388.75,5.3783491964841655e-09,1.3458781949520281e-09
388.75,390.0,3.3094738936551485e-09,1.3263068406054771e-09
390.0,391.25,1.2029963750323363e-08,2.9858974468229488e-09
391.25,392.5,8.484169463911388e-09,2.4481835224975247e-09
392.5,393.75,9.087928010573648e-09,2.2942627368281707e-09
393.75,395.0,9.085995428973195e-09,2.329020912190999e-09
395.0,396.25,7.757399443656888e-09,2.2467424850056805e-09
396.25,397.5,8.983416645620745e-09,2.5209069399819813e-09
397.5,398.75,6.287223553217922e-09,1.8207875131651077e-09
398.75,400.0,7.0808014119485696e-09,2.0146775902000955e-09
400.0,401.25,8.102675038221403e-09,2.6164618845462744e-09
401.25,402.5,1.4852554834306275e-08,3.5582954138773455e-09
402.5,403.75,1.2542156626358864e-08,2.7004284582836297e-09
403.75,405.0,1.4294300576839446e-08,3.094117566873135e-09
405.0,406.25,1.1146837490869182e-08,2.8040414045119375e-09
406.25,407.5,8.697902716397143e-09,2.3465243632156095e-09
407.5,408.75,8.876936169098544e-09,2.3094699851569064e-09
408.75,410.0,1.3322829543468374e-08,2.751194086344659e-09
410.0,411.25,1.40556371301927e-08,3.0120612609345684e-09
411.25,412.5,1.504023329837995e-08,3.426716446160566e-09
412.5,413.75,1.8983828584987295e-08,3.815540196818003e-09
413.75,415.0,1.7325374631102585e-08,3.793697329222058e-09
415.0,416.25,1.3076677076133121e-08,2.8833013697296644e-09
416.25,417.5,2.1783956770389106e-08,4.094038615862724e-09
417.5,418.75,1.56669908969696e-08,2.978554715258079e-09
418.75,420.0,1.8185006058408592e-08,3.6247896221613057e-09
420.0,421.25,2.308405046492732e-08,4.0017115242590764e-09
421.25,422.5,1.9162657692018613e-08,3.681479950990875e-09
422.5,423.75,1.860684072339871e-08,3.4793333420767314e-09
423.75,425.0,2.8406631888121446e-08,4.7227640435156795e-09
425.0,426.25,2.6101554719810284e-08,4.30250633624134e-09
426.25,427.5,1.543547310560369e-08,2.9324443291112576e-09
427.5,428.75,3.657501538932292e-08,5.250060671089498e-09
428.75,430.0,3.648558815151013e-08,5.310314254490488e-09
430.0,431.25,3.401291097055505e-08,5.006763663650083e-09
431.25,432.5,4.134177107439382e-08,5.949293241881193e-09
432.5,433.75,3.931103108012541e-08,5.319789383803162e-09
433.75,435.0,3.3842501095948415e-08,5.043188184355568e-09
435.0,436.25,2.071728021389679e-08,3.5015066825540487e-09
436.25,437.5,4.543417921540145e-08,6.04947394986528e-09
437.5,438.75,3.260381879637587e-08,4.824477896102031e-09
438.75,440.0,3.6589924177442246e-08,5.164697818414518e-09
440.0,441.25,3.8136242736893355e-08,5.130617268946347e-09
441.25,442.5,4.9819820903514534e-08,5.944119841239529e-09
442.5,443.75,5.606768641244561e-08,6.514677908438857e-09
443.75,445.0,5.3204982584769034e-08,6.0189266315709625e-09
445.0,446.25,4.5935191279395696e-08,5.641253425207018e-09
446.25,447.5,4.14398192393862e-08,5.192847903243254e-09
447.5,448.75,4.687087894817318e-08,5.716341181720387e-09
448.75,450.0,5.6195389979548614e-08,6.716239915843866e-09
450.0,451.25,6.331132615381632e-08,7.21418253746528e-09
451.25,452.5,4.233748584962677e-08,5.333711564672223e-09
452.5,453.75,5.833129623582698e-08,6.295383642806567e-09
453.75,455.0,6.53753068233851e-08,7.014735741724511e-09
455.0,456.25,5.591963360928927e-08,6.1239462052916755e-09
456.25,457.5,5.955260426066324e-08,6.381084006769498e-09
