xl,xh,NLOFF1,dNLOFF1
140.0,140.625,1.7960906303039315e-07,2.8515222412554387e-08
140.625,141.25,5.451575401694531e-07,4.4518803594741256e-08
141.25,141.875,1.0120189717932414e-06,6.961781090337882e-08
141.875,142.5,1.2186115144444824e-06,6.015734259512376e-08
142.5,143.125,1.6118389775867651e-06,6.954863534425942e-08
143.125,143.75,2.1187084227591706e-06,8.641371248516355e-08
143.75,144.375,2.2603637762589633e-06,8.179609646979856e-08
144.375,145.0,2.657871328879889e-06,9.30898424096168e-08
145.0,145.625,3.0865199703182928e-06,1.0305556943537498e-07
145.625,146.25,3.3073119218041176e-06,1.034388738169485e-07
146.25,146.875,3.9715848036854905e-06,1.1686182280249263e-07
146.875,147.5,4.230773080210433e-06,1.1718340064549353e-07
147.5,148.125,4.560021241220232e-06,1.174842116059951e-07
148.125,148.75,5.213060837662409e-06,1.4059072673727762e-07
148.75,149.375,5.9065244489474935e-06,1.581691086292646e-07
149.375,150.0,5.781754602014533e-06,1.3674913539804377e-07
150.0,150.625,5.9578745418090164e-06,1.367378774824691e-07
150.625,151.25,7.047956388798523e-06,1.65462601181806e-07
151.25,151.875,7.188413168337664e-06,1.608328354432444e-07
151.875,152.5,7.598318334574845e-06,1.6494828117333885e-07
152.5,153.125,7.852992524280918e-06,1.5934766047871133e-07
153.125,153.75,8.7056109451081e-06,1.7565808510492588e-07
153.75,154.375,8.793794406837852e-06,1.72541884267382e-07
154.375,155.0,9.342508463252227e-06,1.8345361989674438e-07
155.0,155.625,9.672696584013668e-06,1.7691099448826914e-07
155.625,156.25,1.0145557108144912e-05,1.8598844554167446e-07
156.25,156.875,1.0899214827724681e-05,1.9187304694606676e-07
156.875,157.5,1.1033151846625757e-05,1.9238112878956398e-07
157.5,158.125,1.1728932342359309e-05,2.0076581952788111e-07
158.125,158.75,1.215293913608738e-05,2.0604138405330257e-07
158.75,159.375,1.2647037006268155e-05,2.092099415903466e-07
159.375,160.0,1.3064519212535351e-05,2.0980072333490985e-07
160.0,160.625,2.4693186586646082e-05,2.755481340739066e-07
160.625,161.25,3.4165588264372404e-05,3.193028295012669e-07
161.25,161.875,4.14037986880715e-05,3.5152365734510154e-07
161.875,162.5,4.643967711178955e-05,3.7143888813218864e-07
162.5,163.125,5.139618804796929e-05,3.9037100327774026e-07
163.125,163.75,5.5772201620543687e-05,4.030655398900707e-07
163.75,164.375,5.99534581787327e-05,4.164485638747573e-07
164.375,165.0,6.324224207423258e-05,4.2296105504789043e-07
165.0,165.625,6.694600926973361e-05,4.34155600961842e-07
165.625,166.25,7.10147692880038e-05,4.5243488666011186e-07
166.25,166.875,7.505529460790314e-05,4.744342212834994e-07
166.875,167.5,7.844193197273744e-05,4.776135675569332e-07
167.5,168.125,8.09946922855676e-05,4.828131665528965e-07
168.125,168.75,8.47331691524853e-05,4.95958588851747e-07
168.75,169.375,8.75637217508945e-05,4.959551128121999e-07
169.375,170.0,9.043649548523915e-05,5.107536939004689e-07
170.0,170.625,9.424334954841198e-05,5.220260238266937e-07
170.625,171.25,9.740875469342813e-05,5.337637155102938e-07
171.25,171.875,9.936043644214682e-05,5.304495516692805e-07
171.875,172.5,0.00010361774156540009,5.495730984357252e-07
172.5,173.125,0.00010688713839643373,5.575821848122554e-07
173.125,173.75,0.00010940858858625174,5.674674105118998e-07
173.75,174.375,0.00011190287669359082,5.675952907934691e-07
174.375,175.0,0.00011471821198870371,5.751933712418284e-07
175.0,175.625,0.00011853943246688698,5.849955033355318e-07
175.625,176.25,0.00012172171820239993,6.007320771255772e-07
176.25,176.875,0.00012299495819874197,5.954929424013797e-07
176.875,177.5,0.00012671816429963352,6.091050113226825e-07
177.5,178.125,0.00013018491694480455,6.157779214203697e-07
178.125,178.75,0.000132547381653817,6.164946138455346e-07
178.75,179.375,0.00013525645614681118,6.310891743491554e-07
179.375,180.0,0.00013866162670704495,6.380865943586292e-07
180.0,180.625,0.00014073639728257948,6.342444902273502e-07
180.625,181.25,0.00014303894652069516,6.397590042577147e-07
181.25,181.875,0.00014745368598713214,6.552585373089287e-07
181.875,182.5,0.0001511801814528103,6.718629380042792e-07
182.5,183.125,0.00015195847250949103,6.604982822876487e-07
183.125,183.75,0.00015567553054765646,6.74222091604674e-07
183.75,184.375,0.0001560972959185639,6.726742112929716e-07
184.375,185.0,0.000157832414729083,6.776082415354266e-07
185.0,185.625,0.00015933382999481002,6.808216828283888e-07
185.625,186.25,0.00016029508101025346,6.764117426655682e-07
186.25,186.875,0.00016205968937170825,6.877903028931113e-07
186.875,187.5,0.0001622397666088831,6.802586762790008e-07
187.5,188.125,0.00016404609181476436,6.854580569365798e-07
188.125,188.75,0.0001647177614972347,6.894740035563639e-07
188.75,189.375,0.00016854476732791474,7.021618532183354e-07
189.375,190.0,0.00016816008617034057,6.971454272612148e-07
190.0,190.625,0.00016944182739357137,6.995141793849377e-07
190.625,191.25,0.00016905697391787788,6.890846298728153e-07
191.25,191.875,0.0001709697394637704,6.944512707061294e-07
191.875,192.5,0.0001727992409105434,7.073070595605805e-07
192.5,193.125,0.0001750069474207514,7.109381548274853e-07
193.125,193.75,0.00017552268317152378,7.101883549817519e-07
193.75,194.375,0.00017740216774993632,7.141479578543924e-07
194.375,195.0,0.00017940579493978446,7.187163538792599e-07
195.0,195.625,0.0001795180418370815,7.080398294316124e-07
195.625,196.25,0.0001807975134611962,7.149931973713268e-07
196.25,196.875,0.00018146584710673026,7.128446844270751e-07
196.875,197.5,0.00018341397273494522,7.175051720586956e-07
197.5,198.125,0.00018541387979626521,7.237261950636446e-07
198.125,198.75,0.00018677151615521982,7.289438794744993e-07
198.75,199.375,0.00018680463290580429,7.222917960413304e-07
199.375,200.0,0.00018981290336410057,7.30001247630765e-07
200.0,200.625,0.0001897477806130859,7.240805322251484e-07
200.625,201.25,0.00019155383598127903,7.325462839735087e-07
201.25,201.875,0.0001924440132960639,7.284858653714412e-07
201.875,202.5,0.00019495333040487885,7.365306164906871e-07
202.5,203.125,0.00019597838107264555,7.423753232168662e-07
203.125,203.75,0.00019660131279656138,7.31760169320684e-07
203.75,204.375,0.00019944180919438987,7.4435288886814e-07
204.375,205.0,0.0002008432203073613,7.472694865577284e-07
205.0,205.625,0.0002014361874161688,7.466386678105526e-07
205.625,206.25,0.00020227605860240812,7.435575621622221e-07
206.25,206.875,0.00020411794054539948,7.478788694106888e-07
206.875,207.5,0.00020636832369189185,7.547917167876105e-07
207.5,208.125,0.00020709337540829626,7.48501642556484e-07
208.125,208.75,0.0002089122074644396,7.551778381753828e-07
208.75,209.375,0.00021020166525350544,7.537830584165573e-07
209.375,210.0,0.00021072881216802468,7.494274846542814e-07
210.0,210.625,0.00021282274102468786,7.574460188093857e-07
210.625,211.25,0.00021389269520019229,7.565948783181734e-07
211.25,211.875,0.00021786603568916415,7.683544868384785e-07
211.875,212.5,0.00021788105061522974,7.610069660396291e-07
212.5,213.125,0.00021884715336892624,7.589398371883333e-07
213.125,213.75,0.00022203663864928542,7.741392312608586e-07
213.75,214.375,0.00022196424718955114,7.654291034057446e-07
214.375,215.0,0.00022437138851243794,7.753306630164679e-07
215.0,215.625,0.00022525273116497243,7.728276966597984e-07
215.625,216.25,0.00022754845977342522,7.784170035115924e-07
216.25,216.875,0.00022737964908866185,7.713229287547954e-07
216.875,217.5,0.0002289478753326803,7.682217340255613e-07
217.5,218.125,0.0002320342834462547,7.794474130965954e-07
218.125,218.75,0.00023304449515852536,7.822631059428122e-07
218.75,219.375,0.00023512179222722423,7.81883967437351e-07
