xl,xh,NLOFF1,dNLOFF1
140.0,140.625,2.3095080810278224e-07,3.292929404361728e-08
140.625,141.25,5.473193236131524e-07,4.4065505962007793e-08
141.25,141.875,9.654552303816073e-07,6.420759316295698e-08
141.875,142.5,1.285972003230734e-06,6.776290453941678e-08
142.5,143.125,1.6626945865178895e-06,8.018295457743659e-08
143.125,143.75,1.9432683774166805e-06,7.853416810728139e-08
143.75,144.375,2.3726750829606508e-06,8.65513391871149e-08
144.375,145.0,2.62182390840062e-06,9.141868418262353e-08
145.0,145.625,3.196182118224612e-06,1.0981927972933723e-07
145.625,146.25,3.448824483049143e-06,1.0508058069849547e-07
146.25,146.875,3.9065047681957715e-06,1.1644891268279532e-07
146.875,147.5,4.1828433180000676e-06,1.1784584409580361e-07
147.5,148.125,4.732439096140072e-06,1.3278144685423567e-07
148.125,148.75,4.9735257794835266e-06,1.2544615557289908e-07
148.75,149.375,5.272070160894707e-06,1.2586709356031244e-07
149.375,150.0,5.809695977326674e-06,1.3656703890885085e-07
150.0,150.625,6.2240700060600835e-06,1.4560363758009164e-07
150.625,151.25,6.688578831833306e-06,1.4729424665866284e-07
151.25,151.875,7.079491556278647e-06,1.5404426613993094e-07
151.875,152.5,7.504711497364331e-06,1.5488887418336712e-07
152.5,153.125,7.6173268904555265e-06,1.476349852578398e-07
153.125,153.75,8.340388596269954e-06,1.6588169130626273e-07
153.75,154.375,8.44460516256923e-06,1.5401945865009026e-07
154.375,155.0,9.371121295254025e-06,1.761318101934655e-07
155.0,155.625,9.839432504335587e-06,1.8180466052520327e-07
155.625,156.25,1.0307670293069133e-05,1.8662440546711827e-07
156.25,156.875,1.058243986641451e-05,1.8600213623452504e-07
156.875,157.5,1.09491509622415e-05,1.8671728624928007e-07
157.5,158.125,1.1663167739848021e-05,2.0259265848425937e-07
158.125,158.75,1.1961068036387374e-05,1.9989679832688281e-07
158.75,159.375,1.2682886858722407e-05,2.1299048244105022e-07
159.375,160.0,1.2635036914267814e-05,2.0200749157659587e-07
160.0,160.625,2.421142622607309e-05,2.723010129904175e-07
160.625,161.25,3.381551985242308e-05,3.1396232747016487e-07
161.25,161.875,4.131514074911099e-05,3.517015022895467e-07
161.875,162.5,4.675183279414487e-05,3.688010854179376e-07
162.5,163.125,5.101912433640738e-05,3.8645529825335494e-07
163.125,163.75,5.595474762839754e-05,4.0444324100207416e-07
163.75,164.375,6.006009987687285e-05,4.210897903592421e-07
164.375,165.0,6.45374811108951e-05,4.342533680888651e-07
165.0,165.625,6.677549580804918e-05,4.365800066681347e-07
165.625,166.25,7.108129850168892e-05,4.526583975843611e-07
166.25,166.875,7.442297503747985e-05,4.65926019027454e-07
166.875,167.5,7.824764601776572e-05,4.79782324419178e-07
167.5,168.125,8.191570969698677e-05,4.929247406350468e-07
168.125,168.75,8.433904094351187e-05,4.941622669774593e-07
168.75,169.375,8.882708971214713e-05,5.139096289959716e-07
169.375,170.0,9.128536240206129e-05,5.15591573279101e-07
170.0,170.625,9.406812753660624e-05,5.19073694774523e-07
170.625,171.25,9.741718923638071e-05,5.323054219659111e-07
171.25,171.875,0.00010029086044654556,5.394833249591515e-07
171.875,172.5,0.0001029496958208476,5.416226742569008e-07
172.5,173.125,0.00010613512374792812,5.559372431482779e-07
173.125,173.75,0.00010829743968430563,5.623134462393105e-07
173.75,174.375,0.00011230442816186743,5.720514928412784e-07
174.375,175.0,0.0001153172991252178,5.782712375094122e-07
175.0,175.625,0.00011829724231471506,5.868720792310475e-07
175.625,176.25,0.00012153104222257587,6.019600120548727e-07
176.25,176.875,0.0001233059070600233,5.95641179569362e-07
176.875,177.5,0.00012634665968191912,6.047840095207843e-07
177.5,178.125,0.00012953224989767964,6.137188413178272e-07
178.125,178.75,0.0001321163633815577,6.195054474371324e-07
178.75,179.375,0.00013538352315365263,6.265430106425192e-07
179.375,180.0,0.00013736210026224748,6.25801672365793e-07
180.0,180.625,0.0001411092549541562,6.399099030770991e-07
180.625,181.25,0.0001436453292848612,6.458426303258359e-07
181.25,181.875,0.00014683034065038,6.513564067505096e-07
181.875,182.5,0.00015008189598814524,6.621538010570918e-07
182.5,183.125,0.00015208178393741852,6.617200556625354e-07
183.125,183.75,0.00015474819143904665,6.647966870417075e-07
183.75,184.375,0.000156860319398277,6.748286395185079e-07
184.375,185.0,0.0001579526135666213,6.805023744998495e-07
185.0,185.625,0.00015915835344652675,6.805502165352126e-07
185.625,186.25,0.00015975704413001416,6.806798196914199e-07
186.25,186.875,0.0001620468172233541,6.866213339172809e-07
186.875,187.5,0.00016182575257940162,6.763023387060755e-07
187.5,188.125,0.00016355163699719762,6.864155334389205e-07
188.125,188.75,0.0001653692796067306,6.92115059388377e-07
188.75,189.375,0.000164996009769635,6.811414688549383e-07
189.375,190.0,0.00016820333366262527,6.973043740508312e-07
190.0,190.625,0.00016917306352576652,6.971076426161993e-07
190.625,191.25,0.00016963397894156074,6.944961593406668e-07
191.25,191.875,0.00017094406406389833,6.943343502122355e-07
191.875,192.5,0.00017238851994237427,7.001078466531358e-07
192.5,193.125,0.0001737201401719346,7.017285022451947e-07
193.125,193.75,0.00017555907642137717,7.044884835536993e-07
193.75,194.375,0.00017766015970588377,7.106375588691173e-07
194.375,195.0,0.0001780399521008711,7.112093229449855e-07
195.0,195.625,0.0001788855420543543,7.052231514691216e-07
195.625,196.25,0.00018050122515768095,7.127538483259433e-07
196.25,196.875,0.00018180915102906743,7.145327236506289e-07
196.875,197.5,0.00018441432729760524,7.241902998319832e-07
197.5,198.125,0.0001835030770611272,7.179095277304706e-07
198.125,198.75,0.00018651546847984194,7.297953794420325e-07
198.75,199.375,0.00018732845827520802,7.242417472259853e-07
199.375,200.0,0.00018881924270338737,7.28782567126816e-07
200.0,200.625,0.00018948531730402413,7.230110629798304e-07
200.625,201.25,0.00019105892520895212,7.329269707463298e-07
201.25,201.875,0.00019425447343929852,7.411330713412986e-07
201.875,202.5,0.00019418906247350008,7.382872943456683e-07
202.5,203.125,0.0001962071038669287,7.412493778125563e-07
203.125,203.75,0.00019787572812930956,7.410148555308212e-07
203.75,204.375,0.0001996123663227938,7.473250717703206e-07
204.375,205.0,0.00019974015648916126,7.408585153697054e-07
205.0,205.625,0.000201817607930851,7.463846268106648e-07
205.625,206.25,0.00020232206612621844,7.416304375955544e-07
206.25,206.875,0.000204683490086577,7.522191742218528e-07
206.875,207.5,0.00020504188171401676,7.472483401550036e-07
207.5,208.125,0.00020759669145867766,7.523909681834446e-07
208.125,208.75,0.00020920842566063682,7.583018950913773e-07
208.75,209.375,0.0002089915184335088,7.474093562623078e-07
209.375,210.0,0.0002102961362291153,7.49223438645444e-07
210.0,210.625,0.00021388138427570107,7.63148012018645e-07
210.625,211.25,0.0002145754852336986,7.590397226583395e-07
211.25,211.875,0.0002150299687703126,7.550479680208166e-07
211.875,212.5,0.00021738904860676725,7.673550518521562e-07
212.5,213.125,0.00022024823609051894,7.736465374041538e-07
213.125,213.75,0.00022098124195499362,7.675099380312969e-07
213.75,214.375,0.0002235236516505563,7.770924196706146e-07
214.375,215.0,0.00022472002369866613,7.779546266502239e-07
215.0,215.625,0.0002251800046864517,7.684460877478906e-07
215.625,216.25,0.00022667374464133824,7.753662639614076e-07
216.25,216.875,0.00022938058555443266,7.771054174106436e-07
216.875,217.5,0.00022992431308227062,7.719338768082874e-07
217.5,218.125,0.0002322637184591323,7.810015152480214e-07
