xl,xh,NLOFF1,dNLOFF1
106.0,106.6875,0.0,0.0
106.6875,107.375,1.9273558765592724e-08,1.44197746281548e-08
107.375,108.0625,2.3826500917300773e-07,2.596375970269141e-08
108.0625,108.75,8.053761239093629e-07,6.043039977399348e-08
108.75,109.4375,1.0335621651574857e-06,5.705934028242274e-08
109.4375,110.125,1.333357687686614e-06,5.428679008491397e-08
110.125,110.8125,1.9839339426745693e-06,7.75843211469138e-08
110.8125,111.5,2.357451015286949e-06,8.53293951550736e-08
111.5,112.1875,2.5548637330701694e-06,8.13920500588575e-08
112.1875,112.875,3.0915808396332577e-06,9.871471782279712e-08
112.875,113.5625,3.5102127862358892e-06,1.0386384885263076e-07
113.5625,114.25,4.108141576611143e-06,1.1595909863733464e-07
114.25,114.9375,4.485457962237164e-06,1.2244618326583646e-07
114.9375,115.625,4.994252261168419e-06,1.2528240096302542e-07
115.625,116.3125,5.1911589323879615e-06,1.240996522820122e-07
116.3125,117.0,5.591714327720468e-06,1.2671863158382293e-07
117.0,117.6875,6.411299425950014e-06,1.4687778450484652e-07
117.6875,118.375,6.889902605991845e-06,1.5000930176773712e-07
118.375,119.0625,7.423151650574814e-06,1.5897602042175907e-07
119.0625,119.75,7.691843991096317e-06,1.558898753232453e-07
119.75,120.4375,8.169004301744915e-06,1.5763956460154896e-07
120.4375,121.125,8.994254811648714e-06,1.7638086791207432e-07
121.125,121.8125,9.032882245543125e-06,1.6405656000236525e-07
121.8125,122.5,9.761785326182084e-06,1.7465009310859062e-07
122.5,123.1875,1.0502419231337876e-05,1.8560645477273173e-07
123.1875,123.875,1.075168132647254e-05,1.82075804646024e-07
123.875,124.5625,1.1417920900991102e-05,1.902672620987037e-07
124.5625,125.25,1.2043150473695109e-05,1.9811196980037254e-07
125.25,125.9375,1.2290534605967904e-05,1.9280708353171254e-07
125.9375,126.625,1.2900376210431257e-05,1.952976556712645e-07
126.625,127.3125,1.3838897537014095e-05,2.168947265545432e-07
127.3125,128.0,1.3873214021673918e-05,2.0491130450532775e-07
128.0,128.6875,1.4783111983842832e-05,2.1655592869674416e-07
128.6875,129.375,1.4743683543248082e-05,2.1043325294952785e-07
129.375,130.0625,1.563267385677639e-05,2.1479871213601806e-07
130.0625,130.75,1.623728239341917e-05,2.163424381000205e-07
130.75,131.4375,1.6518416230207493e-05,2.1640136604143088e-07
131.4375,132.125,1.7528303197514376e-05,2.3153681983327583e-07
132.125,132.8125,1.8135349640610604e-05,2.35015324272216e-07
132.8125,133.5,1.8567634065074998e-05,2.377095846218591e-07
133.5,134.1875,1.9369469617958677e-05,2.458492114604084e-07
134.1875,134.875,1.9410875197136895e-05,2.3630072385770037e-07
134.875,135.5625,2.0353924152260312e-05,2.477759700596142e-07
