xl,xh,NLOFF1,dNLOFF1
106.0,106.6875,0.0,0.0
106.6875,107.375,1.3421231509852203e-08,8.510189611710746e-09
107.375,108.0625,3.0920878647681146e-07,3.313683623780076e-08
108.0625,108.75,7.312508411780736e-07,5.30810200671737e-08
108.75,109.4375,1.0757369624639404e-06,6.150789139683389e-08
109.4375,110.125,1.4738796722982561e-06,6.86163829969779e-08
110.125,110.8125,1.982175323369201e-06,8.243916064141092e-08
110.8125,111.5,2.192504415932227e-06,7.808103722523563e-08
111.5,112.1875,2.6686231592727226e-06,9.132437082986138e-08
112.1875,112.875,3.3315477510276182e-06,1.0692602928791538e-07
112.875,113.5625,3.481587830805527e-06,9.926148442357353e-08
113.5625,114.25,3.9287678384783085e-06,1.0935443556953491e-07
114.25,114.9375,4.245245044740844e-06,1.1205949768797959e-07
114.9375,115.625,4.868868245372822e-06,1.2220277392736152e-07
115.625,116.3125,5.310096231001346e-06,1.3173524785848245e-07
116.3125,117.0,5.689518345755649e-06,1.2964801923987914e-07
117.0,117.6875,6.160115627102128e-06,1.3087664413645862e-07
117.6875,118.375,6.67504428780554e-06,1.3731213542697802e-07
118.375,119.0625,7.1326082821134155e-06,1.4297902032815024e-07
119.0625,119.75,7.633694901425259e-06,1.4741667224107336e-07
119.75,120.4375,7.966212862927998e-06,1.476749671255177e-07
120.4375,121.125,8.578982732347091e-06,1.5692225212649605e-07
121.125,121.8125,9.407458104442225e-06,1.7465684988609904e-07
121.8125,122.5,9.596865066415715e-06,1.7054704340617538e-07
122.5,123.1875,1.0493235851213708e-05,1.8889497261283123e-07
123.1875,123.875,1.0403569943229624e-05,1.741925419993484e-07
123.875,124.5625,1.1595910239727584e-05,1.8985313519574814e-07
124.5625,125.25,1.1631353554500329e-05,1.8505335386087862e-07
125.25,125.9375,1.2271403747087988e-05,1.9498099509221706e-07
125.9375,126.625,1.2815262563737601e-05,1.9933413319642785e-07
126.625,127.3125,1.3215797380536031e-05,1.9664952179968694e-07
127.3125,128.0,1.3956364497190014e-05,2.045518492844788e-07
128.0,128.6875,1.4362452152901523e-05,2.075849637295027e-07
128.6875,129.375,1.5160167961841882e-05,2.1491800797830253e-07
129.375,130.0625,1.6314159095139003e-05,2.351940619580911e-07
130.0625,130.75,1.6355527877489843e-05,2.2298516391795239e-07
130.75,131.4375,1.632486643827497e-05,2.173912956219636e-07
131.4375,132.125,1.738069177925006e-05,2.3230793311044774e-07
132.125,132.8125,1.7773512196462493e-05,2.360439857330448e-07
132.8125,133.5,1.9042507006839458e-05,2.430538845013782e-07
133.5,134.1875,1.9377941611715663e-05,2.4899339242813585e-07
134.1875,134.875,1.9948321525384875e-05,2.482978372517949e-07
134.875,135.5625,2.0447444956291714e-05,2.4803980578705965e-07
135.5625,136.25,2.090752475839158e-05,2.51602213994052e-07
136.25,136.9375,2.1678348301549476e-05,2.5454011868376216e-07
136.9375,137.625,2.2394747896987565e-05,2.6305944100894637e-07
137.625,138.3125,2.294427092194742e-05,2.623405801285835e-07
138.3125,139.0,2.3636291830625602e-05,2.6776926156575267e-07
139.0,139.6875,2.440399360065812e-05,2.721800949608699e-07
139.6875,140.375,2.4614816329157987e-05,2.7195909955451575e-07
140.375,141.0625,2.5364286564735798e-05,2.711153697566465e-07
141.0625,141.75,2.603832814249938e-05,2.7753202834441204e-07
141.75,142.4375,2.662383765089052e-05,2.790687500309875e-07
142.4375,143.125,2.7033395019441257e-05,2.782442674672835e-07
143.125,143.8125,2.7823507727929867e-05,2.8664889161760475e-07
143.8125,144.5,2.8766476950233423e-05,2.8410186835009286e-07
144.5,145.1875,3.000270378712125e-05,3.002402166203259e-07
145.1875,145.875,3.01534073480978e-05,2.9590239430630834e-07
145.875,146.5625,3.042426704733917e-05,2.884831515848314e-07
146.5625,147.25,3.1547671077484606e-05,3.002040416412808e-07
147.25,147.9375,3.177942304780667e-05,3.010034984419469e-07
147.9375,148.625,3.355108549041691e-05,3.1745094804668885e-07
148.625,149.3125,3.317898476940765e-05,3.0310791772028747e-07
149.3125,150.0,3.4835136112092084e-05,3.163521712255928e-07
150.0,150.6875,3.550569429525451e-05,3.2207582914576457e-07
