xl,xh,NLOnovp,dNLOnovp
270.0,271.25,0.0,0.0
271.25,272.5,0.0,0.0
272.5,273.75,0.0,0.0
273.75,275.0,0.0,0.0
275.0,276.25,0.0,0.0
276.25,277.5,0.0,0.0
277.5,278.75,0.0,0.0
278.75,280.0,0.0,0.0
280.0,281.25,0.0,0.0
281.25,282.5,0.0,0.0
282.5,283.75,0.0,0.0
283.75,285.0,0.0,0.0
285.0,286.25,0.0,0.0
286.25,287.5,0.0,0.0
287.5,288.75,0.0,0.0
288.75,290.0,0.0,0.0
290.0,291.25,0.0,0.0
291.25,292.5,0.0,0.0
292.5,293.75,0.0,0.0
293.75,295.0,0.0,0.0
295.0,296.25,0.0,0.0
296.25,297.5,0.0,0.0
297.5,298.75,0.0,0.0
298.75,300.0,0.0,0.0
300.0,301.25,0.0,0.0
301.25,302.5,0.0,0.0
302.5,303.75,0.0,0.0
303.75,305.0,0.0,0.0
305.0,306.25,0.0,0.0
306.25,307.5,0.0,0.0
307.5,308.75,0.0,0.0
308.75,310.0,0.0,0.0
310.0,311.25,0.0,0.0
311.25,312.5,0.0,0.0
312.5,313.75,0.0,0.0
313.75,315.0,0.0,0.0
315.0,316.25,0.0,0.0
316.25,317.5,0.0,0.0
317.5,318.75,0.0,0.0
318.75,320.0,0.0,0.0
320.0,321.25,0.0,0.0
321.25,322.5,0.0,0.0
322.5,323.75,9.20398680006586e-11,6.508378626851842e-11
323.75,325.0,7.152466251092611e-10,1.925991994945348e-10
325.0,326.25,1.8839609022308867e-09,3.0147816949186067e-10
326.25,327.5,3.302190928037115e-09,3.8424564457267646e-10
327.5,328.75,5.249764719346932e-09,4.840855248313983e-10
328.75,330.0,5.388646067361624e-09,4.789386034299519e-10
330.0,331.25,7.839971618545674e-09,5.831960668945514e-10
331.25,332.5,9.026226191723952e-09,6.127430957595033e-10
332.5,333.75,9.704414996934615e-09,6.156830396650141e-10
333.75,335.0,1.1471682319144023e-08,6.802730601649934e-10
335.0,336.25,1.4513246034373245e-08,7.463071104890508e-10
336.25,337.5,1.5725221351698414e-08,7.794929429530949e-10
337.5,338.75,1.7122813127093992e-08,8.037248328264294e-10
338.75,340.0,1.7930661742513305e-08,8.070867524383502e-10
340.0,341.25,2.091499700462875e-08,8.675964580956234e-10
341.25,342.5,2.3698781703124828e-08,9.261196547771983e-10
342.5,343.75,2.4240802861516014e-08,9.359298903251682e-10
343.75,345.0,2.7046811880577427e-08,9.787785834364225e-10
345.0,346.25,2.908386566627685e-08,1.0160005871529264e-09
346.25,347.5,3.1646460110433607e-08,1.0337058169772663e-09
347.5,348.75,3.1802351589967294e-08,1.0401187441024443e-09
348.75,350.0,3.555821799378761e-08,1.1012821120045765e-09
350.0,351.25,3.9677215942526275e-08,1.156189809641112e-09
351.25,352.5,4.223323045563191e-08,1.1794580124658382e-09
352.5,353.75,4.402247511592079e-08,1.194346768871496e-09
353.75,355.0,4.820369594489905e-08,1.2541008463635338e-09
355.0,356.25,4.789345215512392e-08,1.2249891473432312e-09
356.25,357.5,5.2748801155337125e-08,1.2923671947372123e-09
357.5,358.75,5.54077219581883e-08,1.32372813736034e-09
358.75,360.0,5.84468961582403e-08,1.3530394773932293e-09
360.0,361.25,6.361920260829007e-08,1.3980295701652896e-09
361.25,362.5,6.470919292769236e-08,1.3893886598707532e-09
362.5,363.75,6.897589592718411e-08,1.4401107573889434e-09
363.75,365.0,7.657021262708205e-08,1.521790103524797e-09
365.0,366.25,7.714650568886667e-08,1.5045564634736161e-09
366.25,367.5,8.268625254712009e-08,1.558680528689876e-09
367.5,368.75,8.695139583291463e-08,1.5962330772926923e-09
368.75,370.0,8.899205739078326e-08,1.5971966038180947e-09
370.0,371.25,9.546413535923841e-08,1.6669896357079353e-09
371.25,372.5,1.005301425459483e-07,1.7188419184150038e-09
372.5,373.75,1.0291608698025769e-07,1.7343348376877256e-09
373.75,375.0,1.1094638900292478e-07,1.788774526387318e-09
375.0,376.25,1.1309020985227634e-07,1.7803885188993646e-09
376.25,377.5,1.1706079566215958e-07,1.807156521752911e-09
377.5,378.75,1.2330226926710853e-07,1.8623592236847716e-09
378.75,380.0,1.3012072349007675e-07,1.9054290247506297e-09
380.0,381.25,1.292262918649475e-07,1.890511829542598e-09
381.25,382.5,1.3915947287012428e-07,1.9662363021613966e-09
382.5,383.75,1.4382376362063694e-07,1.993460095431715e-09
383.75,385.0,1.4889158940598623e-07,2.0135155817366186e-09
385.0,386.25,1.5672544509781568e-07,2.070185138646388e-09
386.25,387.5,1.5577118418781768e-07,2.0518015196058936e-09
387.5,388.75,1.6824928269802855e-07,2.1513670535381187e-09
388.75,390.0,1.7469324638609525e-07,2.180789280981125e-09
390.0,391.25,1.781310632361222e-07,2.1989074786154177e-09
391.25,392.5,1.8437889844232517e-07,2.2357271239377582e-09
392.5,393.75,1.927843976972973e-07,2.281869041191499e-09
393.75,395.0,1.9612176092412125e-07,2.323111846614704e-09
395.0,396.25,2.05388753853732e-07,2.3532506917680968e-09
396.25,397.5,2.1269573655106273e-07,2.3986085552942436e-09
397.5,398.75,2.2302027781033376e-07,2.456719028906271e-09
398.75,400.0,2.2338332096754464e-07,2.4465271474393943e-09
400.0,401.25,2.2999694846419133e-07,2.4859766562248653e-09
401.25,402.5,2.420864779108253e-07,2.5676051364111965e-09
402.5,403.75,2.4992220995695837e-07,2.5999421994731756e-09
403.75,405.0,2.583163421150265e-07,2.648688826569477e-09
405.0,406.25,2.682793387315451e-07,2.692434926876188e-09
406.25,407.5,2.7202583695852145e-07,2.727021282405189e-09
407.5,408.75,2.836936456691506e-07,2.784147191907362e-09
408.75,410.0,2.86281275958027e-07,2.7731425892334103e-09
410.0,411.25,3.0268222725323203e-07,2.875296270410868e-09
411.25,412.5,3.060886790875097e-07,2.8885086069839558e-09
412.5,413.75,3.209559174021224e-07,2.9614985873922576e-09
413.75,415.0,3.286544630855766e-07,2.9915919498016965e-09
415.0,416.25,3.369116024643927e-07,3.035913022953718e-09
416.25,417.5,3.569208875253396e-07,3.147150689080752e-09
417.5,418.75,3.608352026630578e-07,3.1492855283193126e-09
418.75,420.0,3.683996912051145e-07,3.168898325362292e-09
420.0,421.25,3.8155585169479563e-07,3.2404186600973336e-09
421.25,422.5,3.913593349598933e-07,3.2737369149718956e-09
422.5,423.75,3.9491814250229745e-07,3.28790204972234e-09
423.75,425.0,4.125654531209054e-07,3.379024156185083e-09
425.0,426.25,4.2674445228121973e-07,3.427966764228839e-09
426.25,427.5,4.382193236227356e-07,3.4750168110692926e-09
427.5,428.75,4.4787442648028347e-07,3.5197131784927067e-09
428.75,430.0,4.611869199975929e-07,3.5742384809393576e-09
430.0,431.25,4.746123231838554e-07,3.6234425860903203e-09
431.25,432.5,4.877739119700711e-07,3.6853038590549415e-09
432.5,433.75,5.010757001417309e-07,3.7390934675878935e-09
433.75,435.0,5.179467901509098e-07,3.804808115288978e-09
435.0,436.25,5.322102269716738e-07,3.8495680866755615e-09
436.25,437.5,5.529404553970059e-07,3.941033598609494e-09
437.5,438.75,5.633507203627928e-07,3.97400040496419e-09
438.75,440.0,5.812735413712607e-07,4.051189392314467e-09
440.0,441.25,5.915038942879027e-07,4.081031877002214e-09
441.25,442.5,6.130175012405356e-07,4.164898053272062e-09
442.5,443.75,6.267074712120434e-07,4.217676556412631e-09
443.75,445.0,6.414469015076642e-07,4.273803654928859e-09
445.0,446.25,6.691906350165081e-07,4.38259531541625e-09
