xl,xh,NLOnovp,dNLOnovp
140.0,140.625,1.2246498881043354e-06,3.2823710350332546e-08
140.625,141.25,3.725419488919101e-06,5.30063366346864e-08
141.25,141.875,6.277237243056119e-06,6.90619203631953e-08
141.875,142.5,8.710824375978517e-06,7.854590756273701e-08
142.5,143.125,1.1284341750551693e-05,9.092001757103654e-08
143.125,143.75,1.376133573582757e-05,9.988284961918564e-08
143.75,144.375,1.6405760650034915e-05,1.1021298191049152e-07
144.375,145.0,1.880078939813596e-05,1.1592618492852179e-07
145.0,145.625,2.15838300361523e-05,1.2670760881466306e-07
145.625,146.25,2.410155970390571e-05,1.3325942566624077e-07
146.25,146.875,2.642195833180766e-05,1.3809310362650106e-07
146.875,147.5,2.9398625982143727e-05,1.482365077011768e-07
147.5,148.125,3.16608243797374e-05,1.5156807756133528e-07
148.125,148.75,3.436492703481788e-05,1.5902426983531086e-07
148.75,149.375,3.6590644868560475e-05,1.6264238544923832e-07
149.375,150.0,3.921980553531277e-05,1.6768479366634025e-07
150.0,150.625,4.168957254892514e-05,1.7013595022819948e-07
150.625,151.25,4.465953329260836e-05,1.7981547475511486e-07
151.25,151.875,4.7208259117695236e-05,1.8541573611748206e-07
151.875,152.5,4.980223257172901e-05,1.9000500574573281e-07
152.5,153.125,5.2345636400264004e-05,1.9477513105478624e-07
153.125,153.75,5.5415093383140004e-05,2.033993960224655e-07
153.75,154.375,5.807063293893807e-05,2.0884621651731826e-07
154.375,155.0,6.026466559032728e-05,2.0869157887590778e-07
155.0,155.625,6.340488200736282e-05,2.1760544100211158e-07
155.625,156.25,6.54395978623175e-05,2.171966317041288e-07
156.25,156.875,6.800668787824192e-05,2.2141599030719547e-07
156.875,157.5,7.078361942510496e-05,2.2674358648605158e-07
157.5,158.125,7.315920791993333e-05,2.2825631075992325e-07
158.125,158.75,7.61513530792879e-05,2.3374151917171963e-07
158.75,159.375,7.889129739269359e-05,2.3932951476360867e-07
159.375,160.0,8.172462450194157e-05,2.4455442999199774e-07
160.0,160.625,0.00014302289286122674,3.324404842476819e-07
160.625,161.25,0.00019524446400001204,3.937574549714838e-07
161.25,161.875,0.0002306074935329318,4.3069863279897396e-07
161.875,162.5,0.0002585868509039635,4.540190190576059e-07
162.5,163.125,0.00028459921179261835,4.784516063809725e-07
163.125,163.75,0.000306982806263333,4.936413767616752e-07
163.75,164.375,0.00032885776853056335,5.128310495738398e-07
