xl,xh,NLOnovp,dNLOnovp
140.0,140.625,1.1485247613153536e-06,2.7216976094043878e-08
140.625,141.25,3.65173987982928e-06,4.970250986601693e-08
141.25,141.875,6.40460579028536e-06,7.100076129386372e-08
141.875,142.5,8.856521035882423e-06,8.143230892250139e-08
142.5,143.125,1.1460823136494121e-05,9.459235834366273e-08
143.125,143.75,1.377316659724946e-05,9.94141099273978e-08
143.75,144.375,1.648584064414366e-05,1.1129280149674206e-07
144.375,145.0,1.9057573745141187e-05,1.2031830136571517e-07
145.0,145.625,2.1743577215156835e-05,1.2837563299712838e-07
145.625,146.25,2.416682288336283e-05,1.3458251327216184e-07
146.25,146.875,2.6479988438945444e-05,1.3818814600883738e-07
146.875,147.5,2.922808873082799e-05,1.467560403482372e-07
147.5,148.125,3.159817112019309e-05,1.5079616727795433e-07
148.125,148.75,3.420103293063552e-05,1.579849747657354e-07
148.75,149.375,3.701602776602923e-05,1.658865613508218e-07
149.375,150.0,3.969938823683577e-05,1.7083138738460233e-07
150.0,150.625,4.2113629408137136e-05,1.747824901953233e-07
150.625,151.25,4.490907873845341e-05,1.8309996112909445e-07
151.25,151.875,4.718591716655695e-05,1.852741695020913e-07
151.875,152.5,4.988020883398695e-05,1.9143245005228034e-07
152.5,153.125,5.253484045217566e-05,1.9666290905000311e-07
153.125,153.75,5.5187543743012454e-05,2.0060876133003482e-07
153.75,154.375,5.765743949456093e-05,2.041241892896351e-07
154.375,155.0,6.014805707026833e-05,2.075216182875589e-07
155.0,155.625,6.282195879438156e-05,2.1286439401722825e-07
155.625,156.25,6.562048808444192e-05,2.183716415027567e-07
156.25,156.875,6.84672664553131e-05,2.2359471434742817e-07
156.875,157.5,7.078901410571099e-05,2.2498415385549216e-07
157.5,158.125,7.35893286649486e-05,2.313442028634231e-07
158.125,158.75,7.645406587549192e-05,2.3718047921542893e-07
158.75,159.375,7.897104475802457e-05,2.3995240573875473e-07
159.375,160.0,8.203685722541614e-05,2.4614149898050193e-07
160.0,160.625,0.00014327498662433457,3.3325705580912385e-07
160.625,161.25,0.00019563083405082533,3.9526808037410495e-07
161.25,161.875,0.00023001310489518997,4.2777050406148056e-07
161.875,162.5,0.0002588729146956162,4.550978157673977e-07
162.5,163.125,0.00028402401433516583,4.76145282723776e-07
163.125,163.75,0.0003074927917980257,4.95596156456817e-07
163.75,164.375,0.00032917687594220287,5.134839862397718e-07
164.375,165.0,0.0003487778279488617,5.275917578841913e-07
165.0,165.625,0.00036876648819205934,5.441987734707792e-07
165.625,166.25,0.00038666049313123023,5.550626834080836e-07
166.25,166.875,0.00040508790238663427,5.701678733433067e-07
166.875,167.5,0.0004224235659828635,5.810661363932245e-07
167.5,168.125,0.00043942486449110896,5.946473430958069e-07
168.125,168.75,0.0004546041566766921,6.029844079005555e-07
168.75,169.375,0.00047059847620804427,6.114169678654297e-07
169.375,170.0,0.00048706488176684416,6.246143073087574e-07
170.0,170.625,0.0005017780812413725,6.323439204744985e-07
170.625,171.25,0.000515823790085589,6.399106125576364e-07
171.25,171.875,0.0005305084565963125,6.478196185828706e-07
171.875,172.5,0.0005442478021661216,6.563136478555819e-07
172.5,173.125,0.0005586868570443514,6.63724980874814e-07
173.125,173.75,0.0005748053911674639,6.766840857790106e-07
173.75,174.375,0.0005880317510394815,6.828373100923411e-07
174.375,175.0,0.0006019282186011271,6.91729474197299e-07
175.0,175.625,0.0006146788068557387,6.979081672746304e-07
175.625,176.25,0.0006288792354453353,7.049682522586146e-07
176.25,176.875,0.0006422475827053869,7.128442127825564e-07
176.875,177.5,0.000655728828822039,7.22001242090643e-07
177.5,178.125,0.0006679217161702507,7.260124168308127e-07
178.125,178.75,0.0006818591529895025,7.3396382373943e-07
178.75,179.375,0.0006935615481299145,7.383540302112181e-07
179.375,180.0,0.0007064296044898749,7.454626713179842e-07
180.0,180.625,0.0007189790400321973,7.507846513484733e-07
180.625,181.25,0.0007312239859077804,7.572531110280544e-07
181.25,181.875,0.0007454537915551177,7.657897052123865e-07
181.875,182.5,0.0007560377580275612,7.683418121285563e-07
182.5,183.125,0.0007674608449628329,7.720239562239758e-07
183.125,183.75,0.0007809334503589625,7.812852496311714e-07
183.75,184.375,0.0007860001129741148,7.822423724906542e-07
184.375,185.0,0.000790790569135644,7.851535812550145e-07
185.0,185.625,0.0007944834146369498,7.876246110401506e-07
185.625,186.25,0.0007970960018414421,7.873556764691942e-07
186.25,186.875,0.0008014890403087248,7.892932517664089e-07
186.875,187.5,0.0008042491860083438,7.890645224370606e-07
187.5,188.125,0.0008075322978051713,7.894360432892465e-07
188.125,188.75,0.0008132079102804497,7.952439727274935e-07
188.75,189.375,0.0008177062810666364,7.985972980749234e-07
189.375,190.0,0.0008194268135532006,7.960598484063895e-07
190.0,190.625,0.0008230659461263333,7.967662022741957e-07
190.625,191.25,0.0008277852200040695,8.002017957287461e-07
191.25,191.875,0.0008310667352893024,8.013712250825125e-07
191.875,192.5,0.0008354677515192165,8.03631045666855e-07
192.5,193.125,0.0008381170482877224,8.032859102763905e-07
193.125,193.75,0.0008432323648784903,8.076371723439564e-07
193.75,194.375,0.0008473710244482774,8.092826121697298e-07
194.375,195.0,0.0008508703767101909,8.100032577293244e-07
195.0,195.625,0.000855046805475653,8.127254294234955e-07
195.625,196.25,0.0008582028207575728,8.124104065634808e-07
196.25,196.875,0.000862314417025854,8.138882400736375e-07
196.875,197.5,0.0008674176959894202,8.19817401075584e-07
