xl,xh,NLOnovp,dNLOnovp
106.0,106.6875,0.0,0.0
106.6875,107.375,3.22590606479025e-08,1.9820856378671654e-09
107.375,108.0625,1.8117183408540582e-06,3.341935245591616e-08
108.0625,108.75,4.6885738261480444e-06,5.586873198856386e-08
108.75,109.4375,7.466884521173416e-06,7.063713813086356e-08
109.4375,110.125,1.0284208370949217e-05,8.357553567325957e-08
110.125,110.8125,1.3205952820743727e-05,9.572675607163807e-08
110.8125,111.5,1.5963444397604117e-05,1.0410378239424305e-07
111.5,112.1875,1.895198652228077e-05,1.1464123604158803e-07
112.1875,112.875,2.1677870987793315e-05,1.209332078761154e-07
112.875,113.5625,2.439023358523672e-05,1.2675729259510304e-07
113.5625,114.25,2.7397458337308674e-05,1.3604790940763383e-07
114.25,114.9375,3.044949466164429e-05,1.4434342774538817e-07
114.9375,115.625,3.320493335173168e-05,1.484846105002239e-07
115.625,116.3125,3.628964650559265e-05,1.5587399005338108e-07
116.3125,117.0,3.9074844677826096e-05,1.6110993518849378e-07
117.0,117.6875,4.193720926617715e-05,1.6650285038038257e-07
117.6875,118.375,4.490455575206256e-05,1.720900093891232e-07
118.375,119.0625,4.8041648235324e-05,1.789049259350657e-07
119.0625,119.75,5.0752846829136305e-05,1.8343537567002488e-07
119.75,120.4375,5.4205741445199644e-05,1.911326169923343e-07
120.4375,121.125,5.690303283887785e-05,1.9370979239429978e-07
121.125,121.8125,5.950650451327504e-05,1.9604716413257812e-07
121.8125,122.5,6.296353198438353e-05,2.0408311048752116e-07
122.5,123.1875,6.600397551538452e-05,2.0901852183388102e-07
123.1875,123.875,6.927690136023851e-05,2.1394595394942106e-07
123.875,124.5625,7.198688687787538e-05,2.17831033178658e-07
124.5625,125.25,7.540533984145026e-05,2.235792397743861e-07
125.25,125.9375,7.852503704005479e-05,2.2853471367087259e-07
125.9375,126.625,8.141909541448491e-05,2.3165540066566743e-07
126.625,127.3125,8.416913900485099e-05,2.3319771372799127e-07
127.3125,128.0,8.820339672302257e-05,2.4334478285591503e-07
128.0,128.6875,9.086278455261792e-05,2.449238156354158e-07
128.6875,129.375,9.409832497142614e-05,2.4891978229540437e-07
129.375,130.0625,9.716181246207535e-05,2.5343446624665034e-07
130.0625,130.75,9.99721030889329e-05,2.5397539839257683e-07
130.75,131.4375,0.00010367404384068339,2.6118535515428653e-07
131.4375,132.125,0.00010660243972620725,2.632377172123224e-07
132.125,132.8125,0.0001101584844155885,2.6923924553472815e-07
132.8125,133.5,0.00011338057150683884,2.730175715822726e-07
133.5,134.1875,0.00011631302345613499,2.7572511566474845e-07
134.1875,134.875,0.00011996236390189453,2.8129075446358715e-07
134.875,135.5625,0.0001227316903991433,2.822460114176388e-07
135.5625,136.25,0.00012579982535541068,2.8423010668757154e-07
136.25,136.9375,0.0001294610461079272,2.8958595460610705e-07
136.9375,137.625,0.00013241778774027675,2.9315342086212476e-07
137.625,138.3125,0.00013601416632549716,2.9637279597128863e-07
138.3125,139.0,0.00013920629111619274,3.006536486524474e-07
139.0,139.6875,0.00014314962970414166,3.071332539171712e-07
139.6875,140.375,0.00014636918540633257,3.0862608586559257e-07
140.375,141.0625,0.00014959524699882749,3.1250596732833815e-07
141.0625,141.75,0.00015269778966660693,3.1455958013136787e-07
141.75,142.4375,0.00015575810604317528,3.158104483839534e-07
142.4375,143.125,0.00015981365416507548,3.2261607150178407e-07
143.125,143.8125,0.00016223420489717397,3.217179975746957e-07
143.8125,144.5,0.0001663385262101806,3.2787693944672127e-07
144.5,145.1875,0.00017030442693613957,3.3282837994730534e-07
145.1875,145.875,0.00017323378996463165,3.3374502224890717e-07
145.875,146.5625,0.00017727924711177564,3.402900220928314e-07
146.5625,147.25,0.000180054721136095,3.3968877540867137e-07
147.25,147.9375,0.0001838613263926096,3.4510978479609033e-07
147.9375,148.625,0.00018759039518200345,3.4846007525959796e-07
148.625,149.3125,0.00019059428197399953,3.487652084798141e-07
