xl,xh,NLOFF1,dNLOFF1
316.0,317.01,1.160623002121501e-05,1.6238510116713544e-06
317.01,318.02,2.5190179880075127e-05,2.864327413851617e-06
318.02,319.03,2.3337763425752306e-05,2.9540859769278058e-06
319.03,320.04,2.256402925766142e-05,2.7103049003084764e-06
320.04,321.05,2.760694288936041e-05,3.0654008409973487e-06
321.05,322.06,2.0366095894379237e-05,2.7797301864279937e-06
322.06,323.07,2.7988011082569924e-05,3.4431543063216082e-06
323.07,324.08,3.0138439570517252e-05,3.5279770751333424e-06
324.08,325.09,1.8238123826453967e-05,2.0015364248241336e-06
325.09,326.1,2.5177850444052125e-05,3.0500412610921585e-06
326.1,327.11,2.3489590177078064e-05,2.5801271471148695e-06
327.11,328.12,3.2249125698855624e-05,3.6799537663560695e-06
328.12,329.13,2.999599234489608e-05,3.4866949252931697e-06
329.13,330.14,3.0161397844723397e-05,3.705189981600958e-06
330.14,331.15,3.03886219285856e-05,3.522853677605352e-06
331.15,332.16,2.4258680815102967e-05,3.1413128571504392e-06
332.16,333.17,2.7821820744998396e-05,3.970541393709503e-06
333.17,334.18,2.5739849545106665e-05,3.047788025083444e-06
334.18,335.19,2.8200821502749755e-05,3.2632553592550447e-06
335.19,336.2,3.300351766279952e-05,3.839855386158779e-06
336.2,337.21,2.2152493241499762e-05,2.5608515622980948e-06
337.21,338.22,3.197322960867046e-05,3.5980193274565033e-06
338.22,339.23,2.4145961317864183e-05,2.5631414392179985e-06
339.23,340.24,3.8069018538446444e-05,4.88512265644005e-06
340.24,341.25,3.5141200265891836e-05,3.900577756118151e-06
341.25,342.26,2.7182850710384385e-05,3.3171918499738394e-06
342.26,343.27,3.250764202539525e-05,3.871696088992252e-06
343.27,344.28,3.030240412186948e-05,3.870483408686223e-06
344.28,345.29,3.629206355980472e-05,4.403945368799495e-06
345.29,346.3,3.016195574141908e-05,3.2817619129919234e-06
346.3,347.31,2.787378424037593e-05,2.867057957651468e-06
347.31,348.32,3.2257540740442914e-05,3.8503737311342786e-06
348.32,349.33,2.7883283746132805e-05,3.5231680516368653e-06
349.33,350.34000000000003,3.448043746713424e-05,4.149077632150049e-06
350.34000000000003,351.35,3.055345126797052e-05,3.2117286694576403e-06
351.35,352.36,3.835870964838211e-05,4.568418366303198e-06
352.36,353.37,3.437193227380966e-05,4.30374351474449e-06
353.37,354.38,3.221296430246257e-05,3.698978215281661e-06
354.38,355.39,3.186546005506112e-05,3.5889243687058427e-06
355.39,356.4,3.027758994117748e-05,3.4251604760425723e-06
356.4,357.41,3.168312608033264e-05,3.541825762292913e-06
357.41,358.42,3.554451550492375e-05,4.266572117859929e-06
358.42,359.43,3.342592061143774e-05,3.438377154991624e-06
359.43,360.44,3.670429378129828e-05,3.962181972120127e-06
360.44,361.45,3.940986419880392e-05,4.188515807756566e-06
361.45,362.46,3.55056326247253e-05,4.381444219706399e-06
362.46,363.47,3.963218983393854e-05,4.3585148190617906e-06
363.47,364.48,2.8901332822725648e-05,3.2824614599936293e-06
364.48,365.49,3.5587419372178264e-05,4.034597310420313e-06
365.49,366.5,2.8660538285516346e-05,3.1118470143759743e-06
366.5,367.51,3.278919484487826e-05,3.6749712433616203e-06
367.51,368.52,3.750926138435078e-05,4.582500086289537e-06
368.52,369.53,3.8937612725332145e-05,4.865126264500579e-06
369.53,370.54,3.725201540459118e-05,4.606082816608917e-06
370.54,371.55,3.236497618168309e-05,3.916734987627708e-06
371.55,372.56,4.003830626029611e-05,4.375738572139099e-06
372.56,373.57,3.3957669062775886e-05,3.3898358006554193e-06
373.57,374.58,3.2730432482574526e-05,4.1606214640518346e-06
374.58,375.59000000000003,3.459801904230239e-05,4.088443717881198e-06
375.59000000000003,376.6,3.813812411448745e-05,4.155555774414763e-06
376.6,377.61,3.488007127246779e-05,4.0042030153431095e-06
377.61,378.62,4.191166322463923e-05,4.991327871671771e-06
378.62,379.63,4.229721485441209e-05,4.5493171547309725e-06
379.63,380.64,2.856898061055932e-05,2.956900099418507e-06
380.64,381.65,3.671579330030941e-05,4.1363655335752e-06
381.65,382.65999999999997,4.10660633774972e-05,4.36583948981581e-06
382.65999999999997,383.67,3.187781005276306e-05,3.336974274514493e-06
383.67,384.68,4.556354565151884e-05,4.8611746193956555e-06
384.68,385.69,3.912428457368358e-05,4.111345693216703e-06
385.69,386.7,3.7487590299574983e-05,4.350025482491813e-06
386.7,387.71,3.397726109207965e-05,3.4613565611744234e-06
387.71,388.72,3.922967459073371e-05,4.223496205769956e-06
388.72,389.73,4.5175613635807356e-05,5.0812034206450426e-06
389.73,390.74,4.3070954476983344e-05,4.314691687899042e-06
390.74,391.75,4.622059939212427e-05,4.790281047338059e-06
391.75,392.76,4.3361295436071054e-05,4.784470699863559e-06
392.76,393.77,4.2912108870705066e-05,4.8878344970201044e-06
393.77,394.78,4.7298489627481477e-05,5.240993535181678e-06
394.78,395.79,4.604483730861307e-05,4.6558311324128305e-06
395.79,396.8,4.1379712254937916e-05,4.033574659896906e-06
396.8,397.81,4.3666954735141394e-05,4.294736968960846e-06
397.81,398.82,4.242456723608202e-05,4.463159213232811e-06
398.82,399.83,4.07864877699399e-05,4.370115343439075e-06
399.83,400.84000000000003,3.6869774625291966e-05,3.891112562386151e-06
400.84000000000003,401.85,3.9342828996925655e-05,3.708579870345093e-06
401.85,402.86,4.772991686522794e-05,4.907584376643554e-06
402.86,403.87,5.269230035396024e-05,5.747082544029714e-06
403.87,404.88,5.003463792034284e-05,4.733739360593663e-06
404.88,405.89,4.1767279100271454e-05,4.037902874533818e-06
405.89,406.9,5.156259734550345e-05,5.6482052176559865e-06
406.9,407.90999999999997,3.897226262220115e-05,3.917620816391121e-06
407.90999999999997,408.92,4.6419367948897375e-05,4.926237892612035e-06
408.92,409.93,3.587549427436458e-05,3.567465632504185e-06
409.93,410.94,4.5890695132936526e-05,4.679669093375659e-06
410.94,411.95,4.002399875039369e-05,3.952076039281358e-06
411.95,412.96000000000004,5.754479748210182e-05,5.640468358975977e-06
412.96000000000004,413.97,4.455904777646343e-05,4.47498929726893e-06
413.97,414.98,4.717498686602651e-05,4.575241917096062e-06
414.98,415.99,4.508185917514249e-05,5.024386124764266e-06
415.99,417.0,5.421182325698516e-05,5.564258517371765e-06
417.0,418.01,5.1083106912490287e-05,4.9045472018283404e-06
418.01,419.02,5.091603160300259e-05,4.952466023390082e-06
419.02,420.03,4.268633294178823e-05,4.012374687861528e-06
420.03,421.04,4.409761289218965e-05,4.282252530750183e-06
421.04,422.05,4.554184158862231e-05,4.56588747475835e-06
422.05,423.06,4.9525890908550076e-05,4.94595081670997e-06
423.06,424.07,4.786626334317727e-05,4.759144350144521e-06
424.07,425.08,5.627419297617671e-05,5.753594895684858e-06
425.08,426.09000000000003,5.390692381321027e-05,4.868030232629992e-06
426.09000000000003,427.1,4.3821741451666326e-05,4.019394505016219e-06
427.1,428.11,5.4981545557765035e-05,5.216144876296563e-06
428.11,429.12,4.183730605271084e-05,4.2131541125144964e-06
429.12,430.13,5.035645629096194e-05,4.7741354132996135e-06
430.13,431.14,4.491019870162775e-05,4.1399966557757725e-06
431.14,432.15,5.7529113394337286e-05,5.831801039949314e-06
432.15,433.15999999999997,4.3413270118082835e-05,3.680248317422224e-06
433.15999999999997,434.17,4.9570006581582286e-05,5.0937405449390425e-06
434.17,435.18,5.613673939758466e-05,5.29346852827204e-06
