xl,xh,NLOFF1,dNLOFF1
140.0,140.625,2.9503675948189215e-07,2.2304599787592367e-07
140.625,141.25,1.849900564013712e-07,1.8498999568713438e-07
141.25,141.875,4.077238674054993e-07,2.4528122692557025e-07
141.875,142.5,5.474753782340725e-07,3.047102773781692e-07
142.5,143.125,8.031288709833501e-07,4.454331756878143e-07
143.125,143.75,2.8642119409060277e-06,1.647625136879825e-06
143.75,144.375,2.355350542431465e-06,1.5354678915275781e-06
144.375,145.0,8.737365678575897e-06,4.290984801527179e-06
145.0,145.625,1.4905797034918396e-06,5.298040930375761e-07
145.625,146.25,3.608456897908133e-06,2.522384161823622e-06
146.25,146.875,6.296584057301309e-06,2.4823879457410407e-06
146.875,147.5,4.391474712250694e-06,2.059043553980542e-06
147.5,148.125,3.13985741399862e-06,9.495756796828386e-07
148.125,148.75,7.179925694138706e-06,1.7602345699639532e-06
148.75,149.375,4.695438913931923e-06,1.3547925794008272e-06
149.375,150.0,8.09448016914284e-06,2.090612653316223e-06
150.0,150.625,5.701115248154773e-06,1.2632955827586994e-06
150.625,151.25,8.796157474022868e-06,2.2982141937399057e-06
151.25,151.875,6.513436412316696e-06,1.3861370232711114e-06
151.875,152.5,4.595275502513994e-06,1.085289729047481e-06
152.5,153.125,7.778586348801072e-06,2.991775150423368e-06
153.125,153.75,6.098477815619238e-06,1.2450147043132975e-06
153.75,154.375,7.086790341681838e-06,2.0274350958945047e-06
154.375,155.0,7.788008906134824e-06,1.6739274905347067e-06
155.0,155.625,1.366742806730079e-05,3.420122896369416e-06
155.625,156.25,1.012467141812873e-05,2.035504976168622e-06
156.25,156.875,1.4032801244908562e-05,2.8041607909946666e-06
156.875,157.5,1.2106835408141145e-05,3.051775543049009e-06
157.5,158.125,1.112362036763246e-05,2.360306004638434e-06
158.125,158.75,1.1765899333829922e-05,2.1061694410587386e-06
158.75,159.375,1.832637193057987e-05,3.1930985071865867e-06
159.375,160.0,1.9978189134085425e-05,3.979359419353921e-06
160.0,160.625,2.394817182852558e-05,3.6838423514166197e-06
160.625,161.25,3.76218797151009e-05,4.532606621009895e-06
161.25,161.875,4.390640137732488e-05,4.4591268163031125e-06
161.875,162.5,5.8299556318831e-05,6.796410388496497e-06
162.5,163.125,4.1696706012567455e-05,3.943273839998472e-06
163.125,163.75,5.6834944740191485e-05,5.8392375612314e-06
163.75,164.375,6.239003325791993e-05,5.544663391210901e-06
164.375,165.0,5.941703848548389e-05,5.572292351559037e-06
165.0,165.625,6.49040002921068e-05,5.377532125366813e-06
165.625,166.25,7.244310912586459e-05,7.3332633746135314e-06
166.25,166.875,6.775411710232679e-05,5.696481290319103e-06
166.875,167.5,8.570443507453818e-05,6.573755923839184e-06
167.5,168.125,8.466316842965926e-05,6.476138627229749e-06
168.125,168.75,8.195407742057212e-05,5.98296589489367e-06
168.75,169.375,8.310080373182998e-05,6.120058474340966e-06
169.375,170.0,8.660677065183456e-05,6.410154745955599e-06
170.0,170.625,9.175456167066842e-05,5.9364627032167606e-06
170.625,171.25,0.00010266776944521624,8.014536915172226e-06
171.25,171.875,0.00011090175632762419,8.103248822072682e-06
171.875,172.5,0.0001085062654739937,7.63526103166899e-06
172.5,173.125,0.00011054683470501375,7.696158642341341e-06
173.125,173.75,0.000115290914278584,8.230865071448376e-06
173.75,174.375,0.00011927504154593882,8.265909934455292e-06
174.375,175.0,0.00012701800067468384,8.347167447171702e-06
175.0,175.625,0.00011438870381386312,7.616660885946794e-06
175.625,176.25,0.00011320317679321865,7.013799208637926e-06
176.25,176.875,0.00011933734063587022,7.909889635261377e-06
176.875,177.5,0.00013208889462523466,8.329160953803362e-06
177.5,178.125,0.00012861974491656459,7.654209728202033e-06
178.125,178.75,0.00012203038530035161,7.22505026160374e-06
178.75,179.375,0.00015348841572708139,9.775657784808578e-06
179.375,180.0,0.0001391262095963987,8.310949014961068e-06
180.0,180.625,0.00013442968324394394,7.95837252003111e-06
180.625,181.25,0.00013621606416752528,7.845088590598984e-06
181.25,181.875,0.00014981884973419408,9.04685445987538e-06
181.875,182.5,0.00015026344045543475,8.73142292764701e-06
182.5,183.125,0.00015887165385723514,9.735200509553758e-06
183.125,183.75,0.00014559292659529357,8.279285889948286e-06
183.75,184.375,0.0001540699341096872,8.95413969208815e-06
184.375,185.0,0.00018176045498328113,1.1083341064806655e-05
185.0,185.625,0.0001479069156213107,8.107591522934927e-06
185.625,186.25,0.00015664307059782529,8.716050548802056e-06
186.25,186.875,0.00015706076649772834,8.852350749744825e-06
186.875,187.5,0.00016625347609998682,9.422383985873504e-06
187.5,188.125,0.0001665460316378838,8.81374000188321e-06
188.125,188.75,0.00017121617887322843,9.174494502223045e-06
188.75,189.375,0.0001702669650474192,9.614144730050823e-06
189.375,190.0,0.00017419780109519513,1.0211143734647573e-05
190.0,190.625,0.0001791102355875015,9.41084704889173e-06
190.625,191.25,0.00018061707416935623,9.95389577513561e-06
191.25,191.875,0.00017669270265344405,9.79974268018857e-06
191.875,192.5,0.00016051585212397887,8.505455075826452e-06
192.5,193.125,0.0001920685120450025,1.0337016320852001e-05
193.125,193.75,0.00018498709937498723,1.015296726930772e-05
193.75,194.375,0.00018007346751422096,9.288476001561951e-06
194.375,195.0,0.00018010398717075717,1.0300212230104157e-05
195.0,195.625,0.00015501935031566187,7.888786603447119e-06
195.625,196.25,0.00017994915998086901,9.59042481940184e-06
196.25,196.875,0.00018503296453870952,9.659639344741762e-06
196.875,197.5,0.00017313503197540918,9.03477088369899e-06
197.5,198.125,0.00019445792984651336,9.371518156131892e-06
198.125,198.75,0.00019626913147357373,1.0594747799707237e-05
198.75,199.375,0.00018092546774803347,9.425266037122698e-06
199.375,200.0,0.00019839965035936975,1.1498618558808455e-05
200.0,200.625,0.00019136587074677282,9.767232473586083e-06
200.625,201.25,0.0001742712139610004,8.342842451738265e-06
201.25,201.875,0.00019203349973861787,1.0045440418241423e-05
201.875,202.5,0.00021158600810231902,1.1187481288663008e-05
202.5,203.125,0.00019582467391998401,9.16888006496744e-06
203.125,203.75,0.00019771500822822157,9.445120326401903e-06
203.75,204.375,0.00018889829781007302,9.06377605715919e-06
204.375,205.0,0.00018116991308555447,8.80077456012876e-06
205.0,205.625,0.0001967552958571742,9.3603884925854e-06
205.625,206.25,0.00019841356228596403,1.0051814118828822e-05
206.25,206.875,0.00018221855417539668,9.476908695939201e-06
206.875,207.5,0.00018710770546954739,9.272233671724027e-06
207.5,208.125,0.00019190111182859046,9.918887172269778e-06
208.125,208.75,0.0002079142040700287,9.803759745435432e-06
208.75,209.375,0.000215206111595505,1.0045137976869614e-05
209.375,210.0,0.00021382388553695494,1.0315465988577942e-05
210.0,210.625,0.0002175534059808145,1.020462582634265e-05
210.625,211.25,0.0002237007833513482,1.1105058434628697e-05
211.25,211.875,0.00021410790352553626,1.047184763954756e-05
211.875,212.5,0.00020926819821052116,1.0029162622916794e-05
212.5,213.125,0.0002254705697008343,1.1192890812131988e-05
213.125,213.75,0.00023185698513939452,1.1033138453150313e-05
213.75,214.375,0.0002210346963388042,1.0236127862145205e-05
214.375,215.0,0.00023092567133640415,1.0735536029441855e-05
215.0,215.625,0.00019991498436578662,8.687502172151422e-06
215.625,216.25,0.00023098759576781756,1.1053450526617012e-05
216.25,216.875,0.00023853378511000232,1.1476918311335058e-05
216.875,217.5,0.00023232855429698897,1.116945030443472e-05
217.5,218.125,0.0002414063554943034,1.1158533596420313e-05
218.125,218.75,0.00022353854799806634,9.81516222221368e-06
218.75,219.375,0.00023052022566979086,1.0143388929563307e-05
219.375,220.0,0.0002632984262882179,1.2162633810929492e-05
220.0,220.625,0.00024086528791974368,1.0215609433862877e-05
220.625,221.25,0.00024108733462053583,1.0919737347720394e-05
221.25,221.875,0.0002509955646537775,1.0493962007106584e-05
221.875,222.5,0.00023819140860965488,1.0765023226465638e-05
222.5,223.125,0.00023971240789341793,9.790467376689059e-06
223.125,223.75,0.00024124568221580792,9.962939431772505e-06
223.75,224.375,0.00024195964486732992,1.1003180791449483e-05
224.375,225.0,0.00025977543101279887,1.0920054322149996e-05
225.0,225.625,0.00024553202734208223,9.396507852913978e-06
225.625,226.25,0.0002491441450611525,1.0124893935511549e-05
