xl,xh,NLOFF1,dNLOFF1
316.0,317.01,1.9941313815517823e-05,1.3219838009026221e-06
317.01,318.02,2.427060392260187e-05,1.2340519591291643e-06
318.02,319.03,2.5836422637351346e-05,1.3961562983953284e-06
319.03,320.04,2.696460575846753e-05,1.5227021017006376e-06
320.04,321.05,2.560580060480238e-05,1.494351999625447e-06
321.05,322.06,2.3399427689145076e-05,1.191492422991814e-06
322.06,323.07,2.53097246908644e-05,1.4049644096541755e-06
323.07,324.08,2.5008966806630625e-05,1.2688044808037622e-06
324.08,325.09,2.669271232913632e-05,1.3357685025213525e-06
325.09,326.1,2.6616553748942066e-05,1.3438063458009147e-06
326.1,327.11,2.931268657654984e-05,1.6203890137962256e-06
327.11,328.12,2.634579376981374e-05,1.444708653219039e-06
328.12,329.13,2.6208991522903235e-05,1.3559105235463608e-06
329.13,330.14,2.9499403234490435e-05,1.5528427129970271e-06
330.14,331.15,2.636353978360773e-05,1.4389774676474186e-06
331.15,332.16,2.9131054732341224e-05,1.5783471868767319e-06
332.16,333.17,2.7409243546693817e-05,1.483876246443496e-06
333.17,334.18,2.877608277484423e-05,1.4311259763357405e-06
334.18,335.19,2.7441577696319235e-05,1.4972889564448437e-06
335.19,336.2,3.0384374305573765e-05,1.6051556679910113e-06
336.2,337.21,2.736977267183049e-05,1.4689436767841283e-06
337.21,338.22,3.11825036825802e-05,1.6250527155157514e-06
338.22,339.23,2.893297850651997e-05,1.4437059120970013e-06
339.23,340.24,3.3672479935716446e-05,1.84938844275654e-06
340.24,341.25,2.9186982793174606e-05,1.5168718719224673e-06
341.25,342.26,3.275573557279913e-05,1.7926341238751752e-06
342.26,343.27,3.212839679190279e-05,1.7646081249855993e-06
343.27,344.28,3.384877133896421e-05,1.7869030047986575e-06
344.28,345.29,3.0106878612488953e-05,1.576990607881222e-06
345.29,346.3,3.070729512637953e-05,1.6115759629706915e-06
346.3,347.31,3.424369072297639e-05,1.8477873062532838e-06
347.31,348.32,3.496066824519896e-05,1.9055335532547486e-06
348.32,349.33,3.3762468078071e-05,1.898072799548351e-06
349.33,350.34000000000003,3.2085043215001485e-05,1.6904886111367999e-06
350.34000000000003,351.35,3.400012953367735e-05,1.708296990730861e-06
351.35,352.36,3.400580258239438e-05,1.8459923835432583e-06
352.36,353.37,3.581348598984815e-05,1.8222500470762013e-06
353.37,354.38,3.585811948724531e-05,1.9067986137615636e-06
354.38,355.39,3.4014271769313254e-05,1.6774284002376202e-06
355.39,356.4,3.13460504571078e-05,1.6851216248487374e-06
356.4,357.41,3.5272636886793064e-05,1.8357718631335294e-06
357.41,358.42,3.365446696872413e-05,1.6568594509623347e-06
358.42,359.43,3.5415108897036786e-05,1.7332550042624498e-06
359.43,360.44,3.518140127286336e-05,1.7971823299191098e-06
360.44,361.45,3.445947405638031e-05,1.751027964293035e-06
361.45,362.46,3.94045621859136e-05,1.9749738729362224e-06
362.46,363.47,3.2997134177805534e-05,1.6621172421297494e-06
363.47,364.48,3.834492817009564e-05,1.9605458508726474e-06
364.48,365.49,3.4855111967432055e-05,1.7382189436532896e-06
365.49,366.5,3.4366741720736326e-05,1.7045476605278957e-06
366.5,367.51,3.8050487744992706e-05,1.953466532053067e-06
367.51,368.52,3.904519296762797e-05,2.048122625443145e-06
368.52,369.53,4.0531253137261724e-05,2.1710333624389597e-06
369.53,370.54,3.566103672565838e-05,1.8198120855092286e-06
370.54,371.55,3.597152214349526e-05,1.8575857844203199e-06
371.55,372.56,3.9384576388359385e-05,1.8546578740938755e-06
372.56,373.57,3.78356109068903e-05,1.8769714077795102e-06
373.57,374.58,3.871368900875399e-05,1.8818272819440168e-06
374.58,375.59000000000003,4.2697490434841604e-05,2.155172725794962e-06
375.59000000000003,376.6,3.893401688013334e-05,1.8531271859709407e-06
376.6,377.61,3.9709138637108685e-05,1.9727080608843636e-06
377.61,378.62,3.7732620685975744e-05,1.9294971685441613e-06
378.62,379.63,3.854259486294989e-05,1.8414216662516457e-06
379.63,380.64,4.278100333554103e-05,2.063406363775198e-06
380.64,381.65,3.9970804253695087e-05,1.8315253323111907e-06
381.65,382.65999999999997,4.0143397521874317e-05,1.9434844716301546e-06
382.65999999999997,383.67,4.148487757664051e-05,1.9662627871211417e-06
383.67,384.68,4.2705253104881555e-05,2.016855540459155e-06
384.68,385.69,4.2669844015962474e-05,2.000563557765418e-06
385.69,386.7,4.208453753939238e-05,1.9605072148640386e-06
386.7,387.71,4.3317437511928195e-05,2.0920242052033685e-06
387.71,388.72,4.0849131689687903e-05,1.9021353590461654e-06
388.72,389.73,3.8309744912434317e-05,1.7753711392803618e-06
389.73,390.74,4.1392281141442306e-05,1.8976622113178933e-06
390.74,391.75,4.3050676468744264e-05,2.138158853053596e-06
391.75,392.76,4.419636784070962e-05,2.1151093448123252e-06
392.76,393.77,4.437163281615588e-05,2.142989586557969e-06
393.77,394.78,4.4866183536652016e-05,2.127331618294979e-06
394.78,395.79,4.732740457866554e-05,2.300545613983868e-06
395.79,396.8,4.1804187408003905e-05,1.896784787396685e-06
396.8,397.81,4.678242177800047e-05,2.205445656715147e-06
397.81,398.82,4.525881943573298e-05,2.084914479217135e-06
398.82,399.83,4.7145098884876006e-05,2.2826718591971442e-06
399.83,400.84000000000003,4.883936145397345e-05,2.3837080857382156e-06
400.84000000000003,401.85,4.422636593525824e-05,2.0064080175751923e-06
401.85,402.86,4.4409813644255596e-05,2.0883578797847934e-06
402.86,403.87,4.698201212128441e-05,2.263158743881884e-06
403.87,404.88,4.322799242084862e-05,2.06262841445965e-06
404.88,405.89,4.9849670768060165e-05,2.224751561262436e-06
405.89,406.9,4.492871437503055e-05,2.072504262053253e-06
406.9,407.90999999999997,4.952992083966888e-05,2.3506377290289274e-06
407.90999999999997,408.92,4.749559717460098e-05,2.205668954686779e-06
408.92,409.93,4.9976288567388874e-05,2.2779031228677835e-06
409.93,410.94,4.942646379922239e-05,2.1891565333870952e-06
410.94,411.95,4.7346338876993494e-05,2.142534433193597e-06
411.95,412.96000000000004,5.3161086916894595e-05,2.296014766199362e-06
412.96000000000004,413.97,4.874182164935463e-05,2.2211458541134845e-06
413.97,414.98,4.5543360759901825e-05,2.1152774958628615e-06
414.98,415.99,4.792658362907341e-05,2.192581900650936e-06
415.99,417.0,4.584346855173563e-05,2.0446075782428783e-06
417.0,418.01,5.06863537953385e-05,2.337437293669156e-06
418.01,419.02,4.930079174771465e-05,2.15370404328422e-06
419.02,420.03,5.151549748952064e-05,2.356757636970312e-06
420.03,421.04,4.911519718033348e-05,2.099831971124955e-06
421.04,422.05,4.961732039763108e-05,2.0473875985015297e-06
422.05,423.06,4.737885041669836e-05,2.118254008490764e-06
423.06,424.07,5.090947017156468e-05,2.2407071226127743e-06
424.07,425.08,5.471438758682537e-05,2.4378724579854457e-06
425.08,426.09000000000003,4.984407258930299e-05,2.041408170786942e-06
426.09000000000003,427.1,5.486466994715441e-05,2.401493628160461e-06
427.1,428.11,5.522534515579372e-05,2.3596602983840814e-06
428.11,429.12,4.646752359342657e-05,1.9457606462668927e-06
429.12,430.13,5.154861245535825e-05,2.174086216400042e-06
430.13,431.14,4.960632317787776e-05,2.112447366531354e-06
431.14,432.15,5.5877967002432305e-05,2.328111587280519e-06
432.15,433.15999999999997,5.712444962646651e-05,2.363415282347589e-06
433.15999999999997,434.17,5.049862115094762e-05,2.047662495558721e-06
434.17,435.18,5.2718321018557323e-05,2.046650201891058e-06
435.18,436.19,5.305336363448955e-05,2.1418191203582563e-06
436.19,437.2,5.423246930608066e-05,2.292866761786217e-06
437.2,438.21000000000004,5.5555927399470884e-05,2.1751233888178657e-06
438.21000000000004,439.22,5.788679559015407e-05,2.381625430478753e-06
439.22,440.23,5.822878719899506e-05,2.3802550330336862e-06
440.23,441.24,5.5780672376714084e-05,2.230274084281275e-06
441.24,442.25,5.2718047873729e-05,2.03429559620103e-06
442.25,443.26,6.172155455435156e-05,2.561196195097492e-06
443.26,444.27,5.403850472439982e-05,2.122466910101319e-06
444.27,445.28,5.6786461114114775e-05,2.2595171775970046e-06
445.28,446.28999999999996,5.974357637997494e-05,2.3798736050772563e-06
446.28999999999996,447.3,6.320554369951239e-05,2.6762030244997857e-06
447.3,448.31,6.039704566046891e-05,2.461912495069243e-06
448.31,449.32,6.053968369873836e-05,2.2414662852514752e-06
449.32,450.33000000000004,5.99960606030617e-05,2.3392638343831622e-06
450.33000000000004,451.34000000000003,5.804007316785111e-05,2.224490524323333e-06
451.34000000000003,452.35,6.37742743043392e-05,2.5198830540400693e-06
452.35,453.36,6.007431431561512e-05,2.2205859072585595e-06
453.36,454.37,6.433570391157809e-05,2.403940579907415e-06
454.37,455.38,6.0416623747287076e-05,2.2549027425497983e-06
455.38,456.39,5.620424534854098e-05,2.0936686848898563e-06
456.39,457.4,6.0609324539220586e-05,2.3696927718038623e-06
457.4,458.40999999999997,6.712265430727732e-05,2.524671951590284e-06
458.40999999999997,459.41999999999996,6.803576739737504e-05,2.548800137910314e-06
459.41999999999996,460.43,6.742379382938773e-05,2.516746649306084e-06
460.43,461.44,6.613563440446648e-05,2.454224163439397e-06
461.44,462.45,6.319867149622256e-05,2.299490164296835e-06
462.45,463.46000000000004,6.395251495991813e-05,2.4772660438805087e-06
463.46000000000004,464.47,6.747549755028828e-05,2.50047622549693e-06
464.47,465.48,6.268121237700076e-05,2.3413907546226237e-06
465.48,466.49,7.227764500048377e-05,2.6155463187960283e-06
466.49,467.5,6.882915515053172e-05,2.432142804224981e-06
467.5,468.51,6.932098192367962e-05,2.5434608354715117e-06
468.51,469.52,7.334967143152962e-05,2.677267560488856e-06
469.52,470.53,6.126336263638801e-05,2.287035282163475e-06
470.53,471.53999999999996,6.739918492370414e-05,2.368611950383176e-06
471.53999999999996,472.55,7.260815960405086e-05,2.673434978046158e-06
472.55,473.56,6.861485426086466e-05,2.434689141082988e-06
473.56,474.57,7.233486813337511e-05,2.5284595054898285e-06
474.57,475.58000000000004,7.051789390024946e-05,2.6087285344261877e-06
475.58000000000004,476.59000000000003,7.06505824021049e-05,2.419171141861091e-06
476.59000000000003,477.6,7.210875619362373e-05,2.520971078875147e-06
477.6,478.61,7.174216489191905e-05,2.5336933335407266e-06
478.61,479.62,6.918396230659085e-05,2.327697552642359e-06
479.62,480.63,7.442093066523586e-05,2.557095286489732e-06
480.63,481.64,6.992631348473629e-05,2.3762610435488996e-06
481.64,482.65,7.054373065732921e-05,2.4792598758293464e-06
482.65,483.65999999999997,7.394247706471657e-05,2.47688076546176e-06
483.65999999999997,484.66999999999996,7.720344231541776e-05,2.599050723028879e-06
484.66999999999996,485.68,7.617868753789954e-05,2.51884213606364e-06
485.68,486.69,7.04916753628969e-05,2.344302938315693e-06
486.69,487.7,7.735866783474984e-05,2.5482036316030724e-06
487.7,488.71000000000004,7.461109910487668e-05,2.3951436617778715e-06
488.71000000000004,489.72,7.572636519877916e-05,2.3985709140333553e-06
489.72,490.73,7.476522687013166e-05,2.535075394074533e-06
490.73,491.74,8.12704066561085e-05,2.7069561459494593e-06
491.74,492.75,8.107492437460353e-05,2.662561329055964e-06
492.75,493.76,7.809815797746058e-05,2.3808460105422184e-06
493.76,494.77,8.226909921142316e-05,2.6770674624218576e-06
494.77,495.78,8.24535090097082e-05,2.518886362045196e-06
495.78,496.78999999999996,8.151141341534147e-05,2.6063711637117743e-06
496.78999999999996,497.8,8.638224471000751e-05,2.6193326149692937e-06
497.8,498.81,8.321257551031359e-05,2.5664922071894725e-06
498.81,499.82,8.116225098243084e-05,2.5581870417021728e-06
499.82,500.83000000000004,9.247623688863809e-05,2.803347147053879e-06
500.83000000000004,501.84000000000003,8.647581542665925e-05,2.5976560430673463e-06
501.84000000000003,502.85,8.309364424337769e-05,2.4837848081326756e-06
502.85,503.86,8.963221430076891e-05,2.6454637404074386e-06
503.86,504.87,8.780055220001741e-05,2.5882764589763954e-06
504.87,505.88,8.810149903601515e-05,2.530498919445557e-06
505.88,506.89,9.399906807650933e-05,2.760456283840541e-06
506.89,507.9,8.57198384231876e-05,2.518088976296115e-06
507.9,508.90999999999997,9.294240916800206e-05,2.638956050146035e-06
508.90999999999997,509.92,8.830354422675063e-05,2.614049415076316e-06
