xl,xh,NLOFF1,dNLOFF1
140.0,140.625,3.1615387124069484e-07,2.021929732722691e-07
140.625,141.25,4.978306772131048e-07,1.927389197373719e-07
141.25,141.875,1.1094021523988285e-06,3.25962115079249e-07
141.875,142.5,6.293518183476666e-07,1.576066784168777e-07
142.5,143.125,1.6991809491766483e-06,3.216268912383732e-07
143.125,143.75,2.1577578135448464e-06,4.227750846385982e-07
143.75,144.375,3.6219511597999063e-06,7.92194282962257e-07
144.375,145.0,3.717643878020176e-06,7.767080034510588e-07
145.0,145.625,3.503507391072993e-06,6.742088729053674e-07
145.625,146.25,3.574211573960172e-06,6.84932256308887e-07
146.25,146.875,2.731321688473483e-06,3.9353640596253674e-07
146.875,147.5,5.2153947231220275e-06,8.260622625081251e-07
147.5,148.125,4.6583853617879675e-06,8.062589614952374e-07
148.125,148.75,5.752617690849783e-06,8.435762715650232e-07
148.75,149.375,5.8922837623207515e-06,8.555171026019256e-07
149.375,150.0,4.4282785248764886e-06,5.890066328126718e-07
150.0,150.625,6.130695089918928e-06,7.62027714608212e-07
150.625,151.25,7.1189795111622354e-06,9.63905212266431e-07
151.25,151.875,6.594723743786488e-06,7.856196513661393e-07
151.875,152.5,7.25807781082587e-06,8.207466406732023e-07
152.5,153.125,1.133934776687281e-05,1.472211760351086e-06
153.125,153.75,8.75142206739006e-06,1.2204224727020154e-06
153.75,154.375,8.131063637880937e-06,9.87614758123861e-07
154.375,155.0,9.184746415135668e-06,1.1504617562329065e-06
155.0,155.625,9.601588575262326e-06,1.004936599762357e-06
155.625,156.25,9.435884246946926e-06,1.0351344923974611e-06
156.25,156.875,9.524193636939308e-06,1.104842728980384e-06
156.875,157.5,1.262446799034775e-05,1.5950903056312236e-06
157.5,158.125,1.2244850168669666e-05,1.2299785562847539e-06
158.125,158.75,1.043153184742301e-05,8.837262171127626e-07
158.75,159.375,1.3078391269791116e-05,1.4618159324064834e-06
159.375,160.0,1.0807891782514789e-05,9.056537851972703e-07
160.0,160.625,2.6672582396902875e-05,1.730196168702666e-06
160.625,161.25,3.2495454013428306e-05,1.9997466479376803e-06
161.25,161.875,4.243674617466144e-05,2.1961963143051036e-06
161.875,162.5,4.342495082810444e-05,2.112645714605642e-06
162.5,163.125,5.110779708677914e-05,2.435314229986883e-06
163.125,163.75,5.866472286036735e-05,2.9415325968789295e-06
163.75,164.375,6.0936256931011616e-05,2.653036989060498e-06
164.375,165.0,6.183344731556765e-05,2.4997907820918463e-06
165.0,165.625,7.025653776287351e-05,2.781181629311834e-06
165.625,166.25,6.988509820052494e-05,2.8599225376136185e-06
166.25,166.875,7.425749918444244e-05,2.8593540872000845e-06
166.875,167.5,7.720258579365581e-05,2.7703530167049275e-06
167.5,168.125,8.660292183731115e-05,3.1728953168885597e-06
168.125,168.75,8.713200415125214e-05,3.1353767613910446e-06
168.75,169.375,8.561397468345036e-05,2.9694680220254092e-06
169.375,170.0,9.187963744815353e-05,3.1289943880523034e-06
170.0,170.625,9.225645839879805e-05,3.131792556926152e-06
170.625,171.25,0.00010264296201571596,3.4660243258318236e-06
171.25,171.875,0.00010470229452894584,3.4171254791533406e-06
171.875,172.5,0.0001066054201042018,3.348621132936771e-06
172.5,173.125,0.0001017972429538985,3.393330045113045e-06
173.125,173.75,0.00010695843716611285,3.3097083042590086e-06
173.75,174.375,0.00011355668336507513,3.5389286174364427e-06
174.375,175.0,0.00011397349167966538,3.333153076577921e-06
175.0,175.625,0.00011912322862279605,3.629726410751432e-06
175.625,176.25,0.00012133643442678474,3.614393461364372e-06
176.25,176.875,0.00012473447348616815,3.509243918992444e-06
176.875,177.5,0.00012881252364736227,3.718958406615644e-06
177.5,178.125,0.0001318789697065134,3.7379676294028796e-06
178.125,178.75,0.00013505257867750818,4.08431760278029e-06
178.75,179.375,0.00013434040999339296,3.812395562515247e-06
179.375,180.0,0.00014974747839577925,4.203731040257552e-06
180.0,180.625,0.00014151526701151334,3.981459289370093e-06
180.625,181.25,0.00014285599761683175,3.979985450731853e-06
181.25,181.875,0.0001435070452817755,3.843295605446622e-06
181.875,182.5,0.00014216717060153248,3.847149366939323e-06
182.5,183.125,0.00015669134716285546,4.360531392844063e-06
183.125,183.75,0.00014846982514688114,3.930636762160746e-06
183.75,184.375,0.00015599357404581427,4.081832119015123e-06
184.375,185.0,0.0001543241365509949,3.946552469323065e-06
185.0,185.625,0.00015513929179700422,4.018232717187254e-06
185.625,186.25,0.00016068185893909037,4.104993517714894e-06
186.25,186.875,0.00016267259462202433,4.183614512009375e-06
186.875,187.5,0.00016221981205109535,4.132880598511971e-06
187.5,188.125,0.00015925510633683004,4.106501812195147e-06
188.125,188.75,0.00017009914591634313,4.242002189284644e-06
188.75,189.375,0.0001612308851464763,4.144487802518377e-06
189.375,190.0,0.00016079274109437745,4.016042212067702e-06
190.0,190.625,0.0001715306117156799,4.560007042319603e-06
190.625,191.25,0.00016780491933738172,4.296660814867473e-06
191.25,191.875,0.0001709295146598882,4.263925242491739e-06
191.875,192.5,0.00017105107990512958,4.1938219985009005e-06
192.5,193.125,0.00016987425194067026,4.238528955207448e-06
193.125,193.75,0.00018160615556910549,4.669784589087374e-06
193.75,194.375,0.00017949658043590265,4.652727541966078e-06
194.375,195.0,0.00017870452740825833,4.311949123285961e-06
195.0,195.625,0.00017735314161702615,4.460661993234947e-06
195.625,196.25,0.00018129817597715045,4.43576494871662e-06
196.25,196.875,0.00018342863927063233,4.366705697819259e-06
196.875,197.5,0.00018653454752243947,4.620447646036342e-06
197.5,198.125,0.00018886058699653865,4.4842455963584915e-06
198.125,198.75,0.00019113034639890828,4.652095320012082e-06
