xl,xh,NLOFF1,dNLOFF1
106.0,106.6875,0.0,0.0
106.6875,107.375,0.0,0.0
107.375,108.0625,2.9788644810906455e-07,1.8410995816610073e-07
108.0625,108.75,7.486535760295245e-07,2.1208584717320126e-07
108.75,109.4375,9.134259566515952e-07,2.8281311264872346e-07
109.4375,110.125,1.1419631381048834e-06,2.356546046734321e-07
110.125,110.8125,2.3449419243872756e-06,5.175771548429106e-07
110.8125,111.5,3.3523026588975116e-06,7.351844330687806e-07
111.5,112.1875,2.261930108099094e-06,4.0526449773354623e-07
112.1875,112.875,3.4909337483837258e-06,7.262443370279744e-07
112.875,113.5625,4.838588809063225e-06,6.704204266229198e-07
113.5625,114.25,3.868103776354722e-06,7.322397997941119e-07
114.25,114.9375,5.4323548175510514e-06,8.628406339307562e-07
114.9375,115.625,3.7407132014820155e-06,4.453520486303227e-07
115.625,116.3125,5.388516660611361e-06,7.897392218960337e-07
116.3125,117.0,5.020600920826377e-06,6.335603064188586e-07
117.0,117.6875,7.20163293785462e-06,9.656374035142904e-07
117.6875,118.375,7.276806152405437e-06,8.132928228888804e-07
118.375,119.0625,5.464279295818857e-06,6.625581261674039e-07
119.0625,119.75,6.4821426363783775e-06,9.28260306917033e-07
119.75,120.4375,9.686340852778345e-06,1.0889469037905764e-06
120.4375,121.125,8.033981538689367e-06,1.0626272972308735e-06
121.125,121.8125,9.680266221000328e-06,9.299522699231736e-07
121.8125,122.5,1.0025753283048583e-05,1.2301794503846735e-06
122.5,123.1875,1.2927794626517474e-05,1.6573274100270626e-06
123.1875,123.875,8.428744457296325e-06,9.290068085900221e-07
123.875,124.5625,1.1519465991007721e-05,1.099530412704921e-06
124.5625,125.25,1.1391663581187674e-05,1.1466641200800764e-06
125.25,125.9375,1.0589611696084367e-05,9.745849740919627e-07
125.9375,126.625,1.2211731672584777e-05,9.905126662980922e-07
126.625,127.3125,1.333637895968477e-05,1.0726967421611122e-06
127.3125,128.0,1.5318130317728984e-05,1.4083114762229283e-06
128.0,128.6875,1.6957684892506573e-05,1.578670418266038e-06
128.6875,129.375,1.5377187482826304e-05,1.516874841146861e-06
129.375,130.0625,1.6583393201539288e-05,1.3385121436743738e-06
130.0625,130.75,1.3028149391665328e-05,1.0374638736083045e-06
130.75,131.4375,1.8027492488864592e-05,1.678692081515756e-06
131.4375,132.125,1.781216389875614e-05,1.5331087588779073e-06
132.125,132.8125,1.5527808183090057e-05,1.1348715482290539e-06
132.8125,133.5,1.8219967739849606e-05,1.3526166881839744e-06
133.5,134.1875,2.0850361148670206e-05,1.5665383782054358e-06
134.1875,134.875,2.2951818905003074e-05,1.8500008573196043e-06
134.875,135.5625,1.8931834461941686e-05,1.3447320715395153e-06
135.5625,136.25,2.064750025365737e-05,1.5140733536257306e-06
136.25,136.9375,2.4344072413549328e-05,1.854167779485753e-06
136.9375,137.625,2.4648924709517798e-05,1.694866916368026e-06
137.625,138.3125,2.355292183473824e-05,1.746424271922681e-06
138.3125,139.0,2.5652781915277027e-05,1.5587210550293387e-06
139.0,139.6875,2.090771555311465e-05,1.425244944936645e-06
139.6875,140.375,2.3543580342151737e-05,1.5189016099111768e-06
140.375,141.0625,2.5443177014505352e-05,1.7417736943905917e-06
141.0625,141.75,2.264440486826587e-05,1.5252428145139649e-06
141.75,142.4375,2.5494466379533876e-05,1.6703239059563151e-06
142.4375,143.125,2.8530386426071002e-05,1.8031651359763872e-06
143.125,143.8125,2.7942066834418053e-05,1.6965241680781724e-06
143.8125,144.5,2.7698798187072005e-05,1.6485985998173814e-06
144.5,145.1875,3.085411933086882e-05,1.7680142144256706e-06
145.1875,145.875,3.162638440939896e-05,1.916516898649436e-06
145.875,146.5625,3.0972799376859466e-05,1.7859609992104085e-06
146.5625,147.25,2.6549361727585032e-05,1.5150306537726423e-06
147.25,147.9375,3.216524828367988e-05,1.8184487557847722e-06
147.9375,148.625,3.032100359693604e-05,1.819359009854156e-06
148.625,149.3125,3.461328760966058e-05,1.9355311484350343e-06
149.3125,150.0,3.259377856301652e-05,2.1162522598721882e-06
150.0,150.6875,3.544559616308366e-05,1.8464343080595978e-06
150.6875,151.375,3.530553396978972e-05,1.819830959205532e-06
151.375,152.0625,3.926313713814542e-05,2.316507479659749e-06
152.0625,152.75,4.0155290628489235e-05,2.066857105057368e-06
152.75,153.4375,3.8704115738467564e-05,1.9620355755487575e-06
153.4375,154.125,4.1155303327784834e-05,2.1968327317165104e-06
154.125,154.8125,4.013754234836792e-05,2.2611410518524457e-06
154.8125,155.5,4.219177211921678e-05,2.3458461702404917e-06
155.5,156.1875,4.1013882303337834e-05,2.0448342380575506e-06
156.1875,156.875,4.495354175405434e-05,2.2964394654111774e-06
156.875,157.5625,4.24858003106398e-05,2.0754992931999385e-06
157.5625,158.25,4.524681893414027e-05,2.309135143599191e-06
158.25,158.9375,4.19530028487057e-05,2.094109204951268e-06
158.9375,159.625,4.68313896491857e-05,2.3081115077567616e-06
159.625,160.3125,9.748658132040003e-05,3.2944902637514215e-06
160.3125,161.0,0.0001513025915507768,3.903448559867824e-06
161.0,161.6875,0.00015041815945412464,3.88374000696309e-06
161.6875,162.375,0.0001540405599121612,4.104784532103608e-06
162.375,163.0625,0.00015561164781829816,4.04429262193945e-06
163.0625,163.75,0.00015699263251846168,3.985738470738951e-06
163.75,164.4375,0.00016001377404761743,4.025408791614219e-06
164.4375,165.125,0.00015675051365468743,3.938917701948518e-06
165.125,165.8125,0.00016325792953270402,4.148045225702807e-06
165.8125,166.5,0.00016263365070522064,4.0573379373845275e-06
166.5,167.1875,0.000165112300408473,3.957030578560747e-06
167.1875,167.875,0.00017073582306338756,4.328339568763757e-06
167.875,168.5625,0.00017027637040700267,4.197433598843983e-06
168.5625,169.25,0.00016220660437334786,3.892726872995616e-06
169.25,169.9375,0.00016987008066857298,4.064594554065522e-06
169.9375,170.625,0.00018313029605500524,4.396308187828257e-06
170.625,171.3125,0.00017194858523048072,4.089347036373406e-06
171.3125,172.0,0.00017736156935957493,4.247781702535525e-06
