xl,xh,NLOFF1,dNLOFF1
106.0,106.6875,0.0,0.0
106.6875,107.375,0.0,0.0
107.375,108.0625,2.5262280352512766e-07,1.0829677597542597e-07
108.0625,108.75,5.038904128183542e-07,1.498613562055646e-07
108.75,109.4375,6.923041467003962e-07,2.465175433452451e-07
109.4375,110.125,1.9527452665412897e-06,7.062992456009509e-07
110.125,110.8125,2.2694587923709852e-06,5.343434821268982e-07
110.8125,111.5,1.7878162593024387e-06,3.123787107608093e-07
111.5,112.1875,2.757103090152233e-06,5.094997602555409e-07
112.1875,112.875,3.19366784138965e-06,5.775034363940444e-07
112.875,113.5625,4.132113964600515e-06,7.258333959170134e-07
113.5625,114.25,4.784354824218263e-06,9.224264940216744e-07
114.25,114.9375,4.056212490808146e-06,6.342698264582708e-07
114.9375,115.625,6.344383180899125e-06,1.0510560117448109e-06
115.625,116.3125,5.269055721372911e-06,6.987064010884729e-07
116.3125,117.0,6.682716999064465e-06,9.658556093485964e-07
117.0,117.6875,6.404770156213509e-06,7.732891839548789e-07
117.6875,118.375,5.80875074850863e-06,7.213863636319527e-07
118.375,119.0625,6.489767541914483e-06,9.129011413947472e-07
119.0625,119.75,5.871543429392511e-06,7.771483811793855e-07
119.75,120.4375,9.097507471316306e-06,1.042776905775076e-06
120.4375,121.125,7.703138922797188e-06,8.773155123318838e-07
121.125,121.8125,9.522400564812087e-06,1.0271907247827695e-06
121.8125,122.5,8.245564371209839e-06,8.411130917444195e-07
122.5,123.1875,1.2028781822796858e-05,1.2563230709487351e-06
123.1875,123.875,1.1764444346514229e-05,1.0855967738776459e-06
123.875,124.5625,9.615672420849477e-06,8.287328826017826e-07
124.5625,125.25,1.039133746632909e-05,9.250253940209862e-07
125.25,125.9375,1.0278661048367147e-05,8.884331119503281e-07
125.9375,126.625,1.0958328328416813e-05,8.794525651147245e-07
126.625,127.3125,1.260307198263205e-05,1.0439891813110632e-06
127.3125,128.0,1.672672379090715e-05,1.5635566786704263e-06
128.0,128.6875,1.3110294435337405e-05,1.177280586525986e-06
128.6875,129.375,1.4408599263492431e-05,1.3949198785190966e-06
129.375,130.0625,1.583955960811987e-05,1.3362702482296305e-06
130.0625,130.75,1.8089422354803182e-05,1.7333929399674962e-06
130.75,131.4375,1.60483107121673e-05,1.1836405596277283e-06
131.4375,132.125,1.6871095791204533e-05,1.362938668858083e-06
132.125,132.8125,1.6619623056154234e-05,1.3319075378535378e-06
132.8125,133.5,1.8114501459515947e-05,1.4141670713716476e-06
133.5,134.1875,2.0587967676639703e-05,1.7151099403289458e-06
134.1875,134.875,2.3132657941746835e-05,2.013173490503282e-06
134.875,135.5625,1.8869464305213375e-05,1.3680270111668692e-06
135.5625,136.25,2.1919642825107124e-05,1.6600863745118122e-06
136.25,136.9375,2.0754916213597268e-05,1.3786162466223173e-06
136.9375,137.625,1.9890634593996205e-05,1.19992489163751e-06
137.625,138.3125,2.2665743594885252e-05,1.5898589492294164e-06
138.3125,139.0,2.2751331523568854e-05,1.726556171423989e-06
139.0,139.6875,2.5132449318153707e-05,1.6605099742497538e-06
139.6875,140.375,2.698153394344499e-05,1.7798680693957696e-06
140.375,141.0625,2.1465068731508537e-05,1.382817560566816e-06
141.0625,141.75,2.4277156889254722e-05,1.4977098410858767e-06
141.75,142.4375,3.076305053067409e-05,1.9850219016905053e-06
142.4375,143.125,2.7859446595031195e-05,1.7615183120527692e-06
143.125,143.8125,2.7284912914498325e-05,1.6812087633865e-06
143.8125,144.5,2.9823155625605687e-05,1.9705967301675935e-06
144.5,145.1875,3.105957475692299e-05,1.967665172543497e-06
145.1875,145.875,3.1112784138580276e-05,1.8323860589592894e-06
145.875,146.5625,3.35778234516606e-05,1.9829892324362527e-06
146.5625,147.25,3.18022358979428e-05,1.8787785997591288e-06
147.25,147.9375,3.254933368465804e-05,1.8852164247552673e-06
147.9375,148.625,3.2243761824419415e-05,1.7171576389116117e-06
148.625,149.3125,3.527775968487087e-05,1.9276546838963987e-06
149.3125,150.0,3.3200702702948415e-05,1.8206340191588482e-06
150.0,150.6875,3.468477166707802e-05,1.8433895639490641e-06
150.6875,151.375,3.554871784228957e-05,1.8360418227523982e-06
151.375,152.0625,3.627054811351379e-05,1.9498857855827982e-06
152.0625,152.75,3.793687376332005e-05,1.9625409297330837e-06
152.75,153.4375,3.6030915991883654e-05,1.929535816718708e-06
153.4375,154.125,3.935527072275401e-05,2.149596507443738e-06
154.125,154.8125,3.826456071976464e-05,1.9671344701134817e-06
154.8125,155.5,3.608822297127065e-05,1.7784970398362525e-06
155.5,156.1875,4.208288615418861e-05,2.1000892855443563e-06
156.1875,156.875,3.910672330850176e-05,1.9182032937940922e-06
156.875,157.5625,4.106760010754562e-05,2.0493837543492693e-06
157.5625,158.25,4.193115366650432e-05,1.8939091006825476e-06
158.25,158.9375,4.513108584675026e-05,2.2361229082446898e-06
158.9375,159.625,4.950606556886741e-05,2.3953137946455204e-06
159.625,160.3125,9.193636671477422e-05,3.03771954989935e-06
160.3125,161.0,0.00015359596875589665,4.0027314180575144e-06
161.0,161.6875,0.00015603732954618546,3.889495161658762e-06
161.6875,162.375,0.000160995891741159,3.983823356471633e-06
162.375,163.0625,0.00015465610209238693,3.883101930008191e-06
163.0625,163.75,0.00016175739658086486,4.1355583004257854e-06
163.75,164.4375,0.0001622021793163559,4.317967074246092e-06
164.4375,165.125,0.00015288802809056653,3.755377705312195e-06
165.125,165.8125,0.0001650147346206834,4.039559455799665e-06
165.8125,166.5,0.0001666493908361108,4.129967086708101e-06
166.5,167.1875,0.00016837080462494639,4.141053653644669e-06
167.1875,167.875,0.00016909328628243178,3.940788057150595e-06
167.875,168.5625,0.00017506983403442616,4.209140270358386e-06
168.5625,169.25,0.00017375501778974086,4.262708597617372e-06
169.25,169.9375,0.0001755869222450392,4.444105769676081e-06
169.9375,170.625,0.00017374428540201282,4.065892561943421e-06
170.625,171.3125,0.00016960858780854857,3.950700392815349e-06
171.3125,172.0,0.0001649277721082388,4.0566499892957985e-06
