xl,xh,NLOFF1,dNLOFF1
316.0,317.01,1.8788535430144473e-05,3.7262164827866977e-07
317.01,318.02,2.3916950830505035e-05,4.1227604328034655e-07
318.02,319.03,2.3750879970870664e-05,4.045748563141483e-07
319.03,320.04,2.4822238100077043e-05,4.297509117312202e-07
320.04,321.05,2.489597551063512e-05,4.2688271014057195e-07
321.05,322.06,2.4934155257504416e-05,4.3038238794105815e-07
322.06,323.07,2.6199064564723947e-05,4.5068702723772947e-07
323.07,324.08,2.5618110927496424e-05,4.3024248755518705e-07
324.08,325.09,2.5996663228482116e-05,4.4055848765723784e-07
325.09,326.1,2.6602973341068233e-05,4.5502480254611513e-07
326.1,327.11,2.7190731145581005e-05,4.7005915854477917e-07
327.11,328.12,2.721786865561128e-05,4.614282284057487e-07
328.12,329.13,2.7522252976973274e-05,4.612794299817891e-07
329.13,330.14,2.8468986517335425e-05,4.895716941561984e-07
330.14,331.15,2.7506905039667213e-05,4.694142198531e-07
331.15,332.16,2.8057659169053677e-05,4.779790846866107e-07
332.16,333.17,2.9367852765189462e-05,5.008320079811698e-07
333.17,334.18,2.8826491793494713e-05,4.839548022556113e-07
334.18,335.19,3.0367453091331783e-05,5.244481414653154e-07
335.19,336.2,3.016606308180054e-05,5.099289210961312e-07
336.2,337.21,2.9422141458201757e-05,5.039171949544915e-07
337.21,338.22,3.033575531259925e-05,5.218789645641568e-07
338.22,339.23,2.9995771455426975e-05,5.052870783530261e-07
339.23,340.24,3.1077285830467084e-05,5.211487607726294e-07
340.24,341.25,3.0765138398706145e-05,5.212579233047128e-07
341.25,342.26,3.252559645977378e-05,5.47125585206844e-07
342.26,343.27,3.112451944632055e-05,5.201923012398234e-07
343.27,344.28,3.211660495856589e-05,5.351137579203796e-07
344.28,345.29,3.181168420203343e-05,5.393637803520956e-07
345.29,346.3,3.215262239668428e-05,5.512179634590678e-07
346.3,347.31,3.359053945531599e-05,5.679007079783975e-07
347.31,348.32,3.294312417774879e-05,5.528506050715867e-07
348.32,349.33,3.4398656037568215e-05,5.832546371270911e-07
349.33,350.34000000000003,3.2918322970043964e-05,5.504278751952684e-07
350.34000000000003,351.35,3.342002358240314e-05,5.505745233706097e-07
351.35,352.36,3.41855197393634e-05,5.69627656938558e-07
352.36,353.37,3.407606449250269e-05,5.585885234952576e-07
