xl,xh,NLOFF1,dNLOFF1
316.0,317.01,1.82668695822203e-05,3.711638840440056e-07
317.01,318.02,2.3155564484109843e-05,4.1048895389805957e-07
318.02,319.03,2.2940504602694885e-05,4.0236431141509467e-07
319.03,320.04,2.4129994060784417e-05,4.279739533338236e-07
320.04,321.05,2.416365079834334e-05,4.25105582877758e-07
321.05,322.06,2.419272169970896e-05,4.285216291276909e-07
322.06,323.07,2.5370219358456224e-05,4.4871284071189136e-07
323.07,324.08,2.477269146326277e-05,4.2782257610774614e-07
324.08,325.09,2.505514057372588e-05,4.374116151422152e-07
325.09,326.1,2.5695956665846263e-05,4.524041372432353e-07
326.1,327.11,2.6320446104528926e-05,4.6788431228551157e-07
327.11,328.12,2.6406113819259625e-05,4.592768710432173e-07
328.12,329.13,2.6524202810797252e-05,4.582230200413823e-07
329.13,330.14,2.7554522641200535e-05,4.867525625532522e-07
330.14,331.15,2.6497364151472364e-05,4.66223152211297e-07
331.15,332.16,2.7110127237660078e-05,4.755470934186842e-07
332.16,333.17,2.833529687961959e-05,4.980562135536433e-07
333.17,334.18,2.7805866750327343e-05,4.811325355968541e-07
334.18,335.19,2.9290035336765024e-05,5.214312971109097e-07
335.19,336.2,2.915887081969547e-05,5.073951765342343e-07
336.2,337.21,2.83601785437891e-05,5.009323848554537e-07
337.21,338.22,2.9233281580437555e-05,5.188506110959417e-07
338.22,339.23,2.895390975174551e-05,5.022442540612274e-07
339.23,340.24,3.0092867726523402e-05,5.185349252243386e-07
340.24,341.25,2.9710154052003442e-05,5.184816290629071e-07
341.25,342.26,3.1478296614874954e-05,5.442137636933772e-07
342.26,343.27,2.9959995131210317e-05,5.167186533838041e-07
343.27,344.28,3.108039155128058e-05,5.32193142569633e-07
344.28,345.29,3.0581113212007664e-05,5.353538675547538e-07
345.29,346.3,3.096228665870061e-05,5.481063043216486e-07
346.3,347.31,3.2422772192257384e-05,5.650166886607245e-07
347.31,348.32,3.173056025896352e-05,5.493905087615471e-07
348.32,349.33,3.3168477836239386e-05,5.798230317601598e-07
349.33,350.34000000000003,3.179363332625513e-05,5.474656769114394e-07
350.34000000000003,351.35,3.218693642976533e-05,5.467099064247281e-07
351.35,352.36,3.289133607535386e-05,5.65657346228168e-07
352.36,353.37,3.285307157215119e-05,5.54930211711573e-07
353.37,354.38,3.36188422012926e-05,5.745798951140254e-07
354.38,355.39,3.42368132517284e-05,5.846359480501493e-07
355.39,356.4,3.364161174411271e-05,5.717628089133475e-07
356.4,357.41,3.373061533315762e-05,5.874616411037835e-07
357.41,358.42,3.393203945581294e-05,5.727933028836074e-07
358.42,359.43,3.3407602462062186e-05,5.596372857739422e-07
359.43,360.44,3.43270040452981e-05,5.70226801793703e-07
360.44,361.45,3.395594090541126e-05,5.777039124984491e-07
361.45,362.46,3.5361498683417534e-05,5.951835643248363e-07
362.46,363.47,3.452777751994168e-05,5.765371622796063e-07
363.47,364.48,3.5432777439661194e-05,5.957179070787563e-07
364.48,365.49,3.532660041643034e-05,5.914296941787825e-07
365.49,366.5,3.5210361637867916e-05,5.920732526636721e-07
366.5,367.51,3.5995761926466584e-05,5.969083925496541e-07
367.51,368.52,3.5932632553891646e-05,5.99230484880986e-07
368.52,369.53,3.705717463679315e-05,6.289819270363356e-07
369.53,370.54,3.684938717124699e-05,6.098670441216828e-07
370.54,371.55,3.5835586193642826e-05,5.961989216943059e-07
371.55,372.56,3.6886271841254414e-05,6.09318401809874e-07
372.56,373.57,3.705981736303529e-05,6.064897858980457e-07
373.57,374.58,3.68668900221012e-05,5.985211234302349e-07
374.58,375.59000000000003,3.7498947125779456e-05,6.162031356366371e-07
375.59000000000003,376.6,3.775371984973556e-05,6.182729264821622e-07
376.6,377.61,3.748919029987669e-05,6.161350987664876e-07
377.61,378.62,3.8820096947230033e-05,6.337051511305872e-07
378.62,379.63,3.9252620260567845e-05,6.437866669655271e-07
379.63,380.64,3.989497920453778e-05,6.531535770149004e-07
380.64,381.65,3.825283642715694e-05,6.216601364002952e-07
381.65,382.65999999999997,3.899906249500544e-05,6.334290335430586e-07
382.65999999999997,383.67,3.858228602689709e-05,6.289037152627418e-07
383.67,384.68,4.039620689180812e-05,6.551156524935177e-07
384.68,385.69,4.043912124658642e-05,6.450838990773164e-07
385.69,386.7,4.0226562385814286e-05,6.374180761711728e-07
386.7,387.71,3.94961180321028e-05,6.23345045643808e-07
387.71,388.72,4.009210104057631e-05,6.305783153873797e-07
388.72,389.73,4.013718066078641e-05,6.302884009610662e-07
389.73,390.74,4.1573414313409084e-05,6.573313849914121e-07
390.74,391.75,4.093787433693777e-05,6.591807553284178e-07
391.75,392.76,4.173661496234363e-05,6.643790487202979e-07
392.76,393.77,4.214382182161233e-05,6.644967061178453e-07
393.77,394.78,4.2229004452566406e-05,6.713379254890724e-07
394.78,395.79,4.2666874790156045e-05,6.638385651278465e-07
395.79,396.8,4.2529228350863594e-05,6.667401626670017e-07
396.8,397.81,4.238872860367642e-05,6.603708174528485e-07
397.81,398.82,4.161076642901894e-05,6.489696462061213e-07
398.82,399.83,4.339469398451986e-05,6.853790256216412e-07
399.83,400.84000000000003,4.3110537121164866e-05,6.849758567386473e-07
400.84000000000003,401.85,4.2842393123614324e-05,6.493926594644168e-07
401.85,402.86,4.4217227524517564e-05,6.786168825597261e-07
402.86,403.87,4.438642547069334e-05,6.834131671041496e-07
403.87,404.88,4.3145566842273404e-05,6.610506809907505e-07
404.88,405.89,4.447287905445294e-05,6.638819010486831e-07
405.89,406.9,4.389299364206044e-05,6.572270694148768e-07
406.9,407.90999999999997,4.507751888604875e-05,6.743751975051213e-07
407.90999999999997,408.92,4.453909662291248e-05,6.687727340200277e-07
408.92,409.93,4.514111116186342e-05,6.736826651329466e-07
409.93,410.94,4.6206579907984674e-05,6.907602389783612e-07
410.94,411.95,4.538833901165511e-05,6.822011437327481e-07
411.95,412.96000000000004,4.7343880172946616e-05,6.972818640177264e-07
412.96000000000004,413.97,4.5832801580453954e-05,6.9201365586498e-07
413.97,414.98,4.6277224026818144e-05,6.966400781145061e-07
414.98,415.99,4.637823099274861e-05,6.903122619738001e-07
415.99,417.0,4.6212114567530536e-05,6.849839715671956e-07
417.0,418.01,4.618291485751645e-05,6.829603589757033e-07
418.01,419.02,4.719748000874751e-05,6.949056456660758e-07
419.02,420.03,4.695473680297772e-05,6.909979488832688e-07
