xl,xh,NLOFF1,dNLOFF1
270.0,271.25,0.0,0.0
271.25,272.5,0.0,0.0
272.5,273.75,0.0,0.0
273.75,275.0,0.0,0.0
275.0,276.25,0.0,0.0
276.25,277.5,0.0,0.0
277.5,278.75,0.0,0.0
278.75,280.0,0.0,0.0
280.0,281.25,0.0,0.0
281.25,282.5,0.0,0.0
282.5,283.75,0.0,0.0
283.75,285.0,0.0,0.0
285.0,286.25,0.0,0.0
286.25,287.5,0.0,0.0
287.5,288.75,0.0,0.0
288.75,290.0,0.0,0.0
290.0,291.25,0.0,0.0
291.25,292.5,0.0,0.0
292.5,293.75,0.0,0.0
293.75,295.0,0.0,0.0
295.0,296.25,0.0,0.0
296.25,297.5,0.0,0.0
297.5,298.75,0.0,0.0
298.75,300.0,0.0,0.0
300.0,301.25,0.0,0.0
301.25,302.5,0.0,0.0
302.5,303.75,0.0,0.0
303.75,305.0,0.0,0.0
305.0,306.25,0.0,0.0
306.25,307.5,0.0,0.0
307.5,308.75,0.0,0.0
308.75,310.0,0.0,0.0
310.0,311.25,0.0,0.0
311.25,312.5,0.0,0.0
312.5,313.75,0.0,0.0
313.75,315.0,0.0,0.0
315.0,316.25,0.0,0.0
316.25,317.5,0.0,0.0
317.5,318.75,0.0,0.0
318.75,320.0,0.0,0.0
320.0,321.25,0.0,0.0
321.25,322.5,0.0,0.0
322.5,323.75,0.0,0.0
323.75,325.0,0.0,0.0
325.0,326.25,0.0,0.0
326.25,327.5,0.0,0.0
327.5,328.75,0.0,0.0
328.75,330.0,0.0,0.0
330.0,331.25,0.0,0.0
331.25,332.5,0.0,0.0
332.5,333.75,0.0,0.0
333.75,335.0,0.0,0.0
335.0,336.25,0.0,0.0
336.25,337.5,0.0,0.0
337.5,338.75,0.0,0.0
338.75,340.0,0.0,0.0
340.0,341.25,1.5225451928962564e-09,1.5225450940268704e-09
341.25,342.5,5.2401563338447824e-09,5.240155996989369e-09
342.5,343.75,1.8901412600525583e-09,1.890141133918769e-09
343.75,345.0,2.9501220795555425e-09,2.9501218881610746e-09
345.0,346.25,0.0,0.0
346.25,347.5,0.0,0.0
347.5,348.75,0.0,0.0
348.75,350.0,0.0,0.0
350.0,351.25,0.0,0.0
351.25,352.5,0.0,0.0
352.5,353.75,2.8721590751998897e-09,2.095897313167495e-09
353.75,355.0,0.0,0.0
355.0,356.25,4.02867749360938e-09,2.9043146065755694e-09
356.25,357.5,1.7384639428832586e-09,1.7384638289547385e-09
357.5,358.75,0.0,0.0
358.75,360.0,0.0,0.0
360.0,361.25,0.0,0.0
361.25,362.5,0.0,0.0
362.5,363.75,0.0,0.0
363.75,365.0,0.0,0.0
365.0,366.25,1.6721318363118322e-09,1.6721317288980324e-09
366.25,367.5,1.6531618518324485e-09,1.6531617454247923e-09
367.5,368.75,5.335656252989481e-09,5.33565591137629e-09
368.75,370.0,4.204651376933337e-09,2.992925046113672e-09
370.0,371.25,2.3941141323174363e-09,2.394113978668591e-09
371.25,372.5,0.0,0.0
372.5,373.75,0.0,0.0
373.75,375.0,6.3050837856971e-10,6.305083373334038e-10
375.0,376.25,5.9132314028219894e-09,5.913231022141419e-09
376.25,377.5,0.0,0.0
377.5,378.75,0.0,0.0
378.75,380.0,0.0,0.0
380.0,381.25,2.635867540559513e-09,2.6358673707042955e-09
381.25,382.5,6.963221606712244e-10,6.963221151701176e-10
382.5,383.75,2.004013047122213e-09,2.004012916493457e-09
383.75,385.0,3.3755371174118487e-09,2.5151926812925746e-09
385.0,386.25,1.7535299356752937e-08,8.829290366219708e-09
386.25,387.5,0.0,0.0
387.5,388.75,4.754937806458434e-09,3.3995863986485543e-09
388.75,390.0,2.6010633430667644e-09,1.929633803439109e-09
390.0,391.25,7.349861478886992e-09,5.446135487965847e-09
391.25,392.5,9.519730046925849e-09,6.360333216534599e-09
392.5,393.75,1.4405376898144991e-08,7.254107904292747e-09
393.75,395.0,0.0,0.0
395.0,396.25,3.92104578481672e-09,3.921045525642659e-09
396.25,397.5,5.503575060029332e-09,4.173814822082464e-09
397.5,398.75,2.270926790677347e-09,2.270926641721503e-09
398.75,400.0,1.4364608272851438e-08,7.939285441052793e-09
400.0,401.25,2.079140938951587e-09,2.0791408005695024e-09
401.25,402.5,7.647896521991708e-09,4.4161988364915965e-09
402.5,403.75,1.5198571319337054e-08,9.565709251045007e-09
403.75,405.0,1.3480188303466105e-08,8.54143165616299e-09
405.0,406.25,3.0648392321607e-08,1.460041799245977e-08
406.25,407.5,2.447612596616227e-08,9.666262703760522e-09
407.5,408.75,1.668969851884799e-09,1.6689697420040793e-09
408.75,410.0,1.1309066525125183e-08,7.182874362690115e-09
410.0,411.25,4.4372825963574426e-09,3.2109900431164593e-09
411.25,412.5,2.3263328866885987e-08,1.247155473751244e-08
412.5,413.75,6.7078245019775555e-09,5.0614676916812026e-09
413.75,415.0,5.8608746383391945e-09,3.6327447362410936e-09
415.0,416.25,2.7636740421953553e-08,1.1738889532006058e-08
416.25,417.5,2.3297331431884583e-08,9.515636919896472e-09
417.5,418.75,1.669533615875921e-08,7.800828928950914e-09
418.75,420.0,1.469974603401933e-08,8.361803998389576e-09
420.0,421.25,7.1169140312263006e-09,5.6873163354700595e-09
421.25,422.5,1.8834363380645263e-08,9.541044186070695e-09
422.5,423.75,2.6273531660713357e-08,1.0198866248118375e-08
423.75,425.0,1.7478080148844526e-08,1.277594525035899e-08
425.0,426.25,1.433363569532461e-08,5.967772819185254e-09
426.25,427.5,1.7984846777969804e-08,7.702635955819777e-09
427.5,428.75,1.5131444164403812e-08,6.967290843425306e-09
428.75,430.0,2.417566144372136e-08,1.1549728617299188e-08
430.0,431.25,3.734922649341191e-08,1.4392782088638431e-08
431.25,432.5,4.4539971448108455e-08,1.5926784829993594e-08
432.5,433.75,2.4067302405855906e-08,9.11026547139686e-09
433.75,435.0,4.437653967804538e-08,1.5546253384607625e-08
435.0,436.25,4.3334354512374667e-08,1.5879491240009857e-08
436.25,437.5,6.467114809919736e-08,1.8674468578252382e-08
437.5,438.75,5.92603209053442e-08,2.0811369721828185e-08
438.75,440.0,2.738852336026972e-08,9.492086498497899e-09
440.0,441.25,6.5798944060487e-08,2.001107485742921e-08
441.25,442.5,5.032561030811037e-08,1.5545970473230395e-08
442.5,443.75,4.4852779002943165e-08,1.6626539233048495e-08
443.75,445.0,4.6065112651136844e-08,1.7133378607910633e-08
445.0,446.25,5.080687431971165e-08,1.651888984818121e-08
446.25,447.5,3.37817608656974e-08,1.1714885515294642e-08
447.5,448.75,5.5606270028181436e-08,1.8236154478737693e-08
448.75,450.0,5.0203393246973975e-08,1.5911434734902106e-08
450.0,451.25,5.74199749394289e-08,1.7261947969114653e-08
451.25,452.5,3.763013478493819e-08,1.393744422780892e-08
452.5,453.75,5.6297155056850745e-08,1.7996799409604144e-08
453.75,455.0,3.9195188730500293e-08,1.519656024177463e-08
455.0,456.25,4.1668277283469785e-08,1.3665192494212353e-08
456.25,457.5,7.770910162984508e-08,2.007942166978692e-08
457.5,458.75,3.728966664678748e-08,1.4319299644646447e-08
458.75,460.0,1.0645425163691179e-07,2.4310449537416287e-08
460.0,461.25,1.0151134234299625e-07,2.2139939965910675e-08
461.25,462.5,6.157891486743886e-08,1.7369383951401413e-08
462.5,463.75,6.184384701327609e-08,1.913833882159863e-08
463.75,465.0,1.0092832435476392e-07,2.3290554712320566e-08
465.0,466.25,7.572753556904901e-08,2.023040464741167e-08
