xl,xh,NLOFF1,dNLOFF1
140.0,140.625,1.1927004621441354e-07,2.9531766713967503e-08
140.625,141.25,5.41321693092748e-07,6.646913189733684e-08
141.25,141.875,8.490090523972931e-07,8.848156968247619e-08
141.875,142.5,1.1393454736754558e-06,1.1850412369208599e-07
142.5,143.125,1.660551299253112e-06,1.476393516658441e-07
143.125,143.75,1.6811754827809935e-06,1.1863993471075513e-07
143.75,144.375,2.3737888843590483e-06,1.8467413276414527e-07
144.375,145.0,2.412406645230198e-06,1.6053688407991095e-07
145.0,145.625,3.092630627660681e-06,2.0247817995634055e-07
145.625,146.25,3.266222799256169e-06,1.7805382420597108e-07
146.25,146.875,3.7838760328899133e-06,2.1739513584156515e-07
146.875,147.5,4.711178288266387e-06,2.5490815902201014e-07
147.5,148.125,4.902903863668184e-06,2.6161680960780946e-07
148.125,148.75,5.32812906920012e-06,2.7414487077547944e-07
148.75,149.375,5.323036829388598e-06,2.697665878213745e-07
149.375,150.0,5.393549219631454e-06,2.541612168797275e-07
150.0,150.625,6.331903966379495e-06,2.7918519719627357e-07
150.625,151.25,6.774166145076074e-06,2.982289141004343e-07
151.25,151.875,7.013967894315568e-06,3.044770704310843e-07
151.875,152.5,7.2709523405481225e-06,3.000962327464682e-07
152.5,153.125,8.000128321599636e-06,3.3158921605466103e-07
153.125,153.75,8.218780615706798e-06,3.22156543393819e-07
153.75,154.375,9.014229821720825e-06,3.5416116249279643e-07
154.375,155.0,8.891191143635472e-06,3.2040719334365474e-07
155.0,155.625,9.644530202022578e-06,3.3317138038363413e-07
155.625,156.25,9.868699156413456e-06,3.6066201468623174e-07
156.25,156.875,1.0697274913537194e-05,3.694588254303156e-07
156.875,157.5,1.1136172232341153e-05,3.81598780057933e-07
157.5,158.125,1.1173663224941486e-05,3.6981431368046183e-07
158.125,158.75,1.1966074175278652e-05,3.8809243404616967e-07
158.75,159.375,1.2389489342238626e-05,4.130276267900327e-07
159.375,160.0,1.2645706674808148e-05,3.863172530784396e-07
160.0,160.625,2.443733431689265e-05,5.398731715018182e-07
160.625,161.25,3.3725719382705904e-05,6.233273010330063e-07
161.25,161.875,4.039352445414569e-05,6.604879309598818e-07
161.875,162.5,4.532710185156125e-05,6.888528755491942e-07
162.5,163.125,5.1903322061755493e-05,7.788808510170512e-07
163.125,163.75,5.536429840500905e-05,7.899764418134242e-07
163.75,164.375,6.080949295482281e-05,8.315648318703504e-07
164.375,165.0,6.418511312689881e-05,8.456153621677806e-07
165.0,165.625,6.622597947837965e-05,8.404116986963745e-07
165.625,166.25,7.039965924649388e-05,8.618441579517359e-07
166.25,166.875,7.489754567911492e-05,9.135682712245402e-07
166.875,167.5,7.731293315891954e-05,9.097808542939452e-07
167.5,168.125,8.256032091174967e-05,9.68941030591984e-07
168.125,168.75,8.430478050841425e-05,9.57843982530361e-07
168.75,169.375,8.782557769290723e-05,9.844758437832164e-07
169.375,170.0,9.306663630089605e-05,1.0144673058068864e-06
170.0,170.625,9.305427580967212e-05,1.0104425937466408e-06
170.625,171.25,9.864115246295557e-05,1.0512939263069592e-06
171.25,171.875,0.00010097983236041107,1.066701735467366e-06
171.875,172.5,0.0001048042230046298,1.0743978572553531e-06
172.5,173.125,0.00010551943099480335,1.0800215503240611e-06
173.125,173.75,0.00011000017248727146,1.1117217743222781e-06
173.75,174.375,0.00011326304732923973,1.1250102961868012e-06
174.375,175.0,0.00011657820602033952,1.1453751808084305e-06
175.0,175.625,0.00011895059556170556,1.1380532344994065e-06
175.625,176.25,0.00012193848497521413,1.1606867670072014e-06
176.25,176.875,0.0001238988097558765,1.158744578665005e-06
176.875,177.5,0.00012831501005157862,1.1961856436985155e-06
177.5,178.125,0.00013091488975754074,1.2095414504375449e-06
178.125,178.75,0.00013410446789997442,1.242319277614218e-06
178.75,179.375,0.00013546949717944192,1.2177395359149611e-06
179.375,180.0,0.00013851763668106646,1.2286566340422064e-06
180.0,180.625,0.00014190666234053723,1.2716508714888412e-06
180.625,181.25,0.00014450692011330624,1.2407655943384133e-06
181.25,181.875,0.0001459467928230398,1.270915704447838e-06
181.875,182.5,0.0001495226130176667,1.2886664237141997e-06
182.5,183.125,0.00015473632799067394,1.3279913881204757e-06
183.125,183.75,0.00015417703530461576,1.2916105238163267e-06
183.75,184.375,0.00015490006078267793,1.3000271427212488e-06
184.375,185.0,0.00015667093603450173,1.3156982285192622e-06
185.0,185.625,0.0001557722759073446,1.2933133782247926e-06
185.625,186.25,0.0001596772154687037,1.3146285711950101e-06
186.25,186.875,0.0001623850886235566,1.3351996085835619e-06
186.875,187.5,0.00016128596720882301,1.318547532236974e-06
187.5,188.125,0.00016174110750847494,1.3195961663220725e-06
188.125,188.75,0.00016432599056431977,1.3336488345661265e-06
188.75,189.375,0.00016426827295192188,1.3295059274343457e-06
189.375,190.0,0.0001648822008172231,1.3153742045403242e-06
190.0,190.625,0.00017163106130799402,1.3889727637738848e-06
190.625,191.25,0.00016940716792084568,1.3503946004827903e-06
191.25,191.875,0.00017221076245092803,1.3614670497325929e-06
191.875,192.5,0.00017207250639327516,1.3575520306917006e-06
192.5,193.125,0.00017477163557338222,1.376562610271941e-06
193.125,193.75,0.0001770932302003231,1.3890012515694826e-06
193.75,194.375,0.00017559509337702314,1.3884131586198598e-06
194.375,195.0,0.00018044895641504597,1.4272903470332618e-06
195.0,195.625,0.0001777205845997014,1.3741093468477285e-06
195.625,196.25,0.00018198206036704005,1.396319757902168e-06
196.25,196.875,0.00018320027172902064,1.4054649286023393e-06
196.875,197.5,0.00018465887605422442,1.4214489596733968e-06
197.5,198.125,0.0001872224927052872,1.422020971558946e-06
