xl,xh,NLOFF1,dNLOFF1
140.0,140.625,1.4690593110797835e-07,3.0339385702118605e-08
140.625,141.25,4.786337287938519e-07,6.99612320783177e-08
141.25,141.875,9.206671388352061e-07,1.0176643096727892e-07
141.875,142.5,1.512847990542381e-06,1.7706222892471562e-07
142.5,143.125,1.740767119887e-06,1.6905642933392516e-07
143.125,143.75,1.9900383800351543e-06,1.5807380407330135e-07
143.75,144.375,1.8785984945275166e-06,1.2702640051413744e-07
144.375,145.0,2.6858521304543364e-06,1.7634124139499958e-07
145.0,145.625,3.147698734153172e-06,1.99925375423181e-07
145.625,146.25,3.6462125319231805e-06,2.189333303539704e-07
146.25,146.875,3.610477454418585e-06,2.052279375643984e-07
146.875,147.5,4.478744532491674e-06,2.415988005702722e-07
147.5,148.125,4.4756989986094285e-06,2.4110182263288306e-07
148.125,148.75,4.779127126344961e-06,2.388092144126738e-07
148.75,149.375,5.203432358588271e-06,2.420559883254979e-07
149.375,150.0,5.83925105753336e-06,2.7821228791776426e-07
150.0,150.625,6.062882633059499e-06,2.7575297925339485e-07
150.625,151.25,6.9194088331413236e-06,2.937652401276196e-07
151.25,151.875,6.859986385501856e-06,2.915598141921087e-07
151.875,152.5,8.07974454662106e-06,3.369692152494489e-07
152.5,153.125,8.152468375214673e-06,3.2779831178756946e-07
153.125,153.75,7.899342797947416e-06,2.9664424963713797e-07
153.75,154.375,8.774782491890515e-06,3.276704249406993e-07
154.375,155.0,8.746970996423725e-06,3.3599325312180183e-07
155.0,155.625,9.506803973039352e-06,3.4441469239266084e-07
155.625,156.25,9.8749975471012e-06,3.3696781737634283e-07
156.25,156.875,1.0462144481380526e-05,3.7593827713880203e-07
156.875,157.5,1.125064393176356e-05,3.995388677216658e-07
157.5,158.125,1.1263207431414278e-05,3.72293076194438e-07
158.125,158.75,1.2126023555083286e-05,3.9485245369853994e-07
158.75,159.375,1.2648496757635462e-05,4.024237274338121e-07
159.375,160.0,1.3181542864491308e-05,4.186246999709216e-07
160.0,160.625,2.5087727260593987e-05,5.434780537836169e-07
160.625,161.25,3.3957263991739175e-05,6.190542051931712e-07
161.25,161.875,4.1626130927286215e-05,7.06886238842604e-07
161.875,162.5,4.677664043137734e-05,7.153367370506299e-07
162.5,163.125,5.153079899107901e-05,7.549908631795215e-07
163.125,163.75,5.606876162764656e-05,7.90664135150406e-07
163.75,164.375,5.994148957536814e-05,8.008909179868806e-07
164.375,165.0,6.451563738664973e-05,8.333464064115909e-07
165.0,165.625,6.855870353671867e-05,8.830001741442179e-07
165.625,166.25,7.237115609498559e-05,9.09644785557886e-07
166.25,166.875,7.527551545950368e-05,9.038362510277629e-07
166.875,167.5,7.90194538154471e-05,9.51176330859811e-07
167.5,168.125,8.015633290368259e-05,9.273580099022685e-07
168.125,168.75,8.336504554303608e-05,9.468614349011635e-07
168.75,169.375,8.930927644751478e-05,1.0013742896614053e-06
169.375,170.0,9.027309664385993e-05,1.0020327441106791e-06
170.0,170.625,9.211053216682421e-05,9.908822181278268e-07
170.625,171.25,9.668761201307899e-05,1.0158555161517378e-06
171.25,171.875,9.997666340685996e-05,1.0351696229837705e-06
171.875,172.5,0.00010418509139680341,1.0844093142043495e-06
172.5,173.125,0.00010655441767355602,1.0890939833163666e-06
173.125,173.75,0.00011027378352717225,1.1025531668659e-06
173.75,174.375,0.00011207083051137205,1.1003298350429947e-06
174.375,175.0,0.00011424642684959754,1.1020728567974966e-06
175.0,175.625,0.00011806399543941576,1.1380429214656035e-06
175.625,176.25,0.00011914413053759133,1.1325424057099076e-06
176.25,176.875,0.0001257825696585698,1.1813473882383294e-06
176.875,177.5,0.0001257869084970743,1.177552866623173e-06
177.5,178.125,0.0001289593522840541,1.2021889863070922e-06
178.125,178.75,0.00013211200486359673,1.212106211712868e-06
178.75,179.375,0.0001388001240750814,1.260997066267558e-06
179.375,180.0,0.00013876325899342843,1.2345999710066725e-06
180.0,180.625,0.00013951294668493983,1.2233980353400746e-06
180.625,181.25,0.00014359232464362487,1.2593989601173554e-06
181.25,181.875,0.0001479460969142096,1.287012849904433e-06
181.875,182.5,0.00014762186637563756,1.2841980879277434e-06
182.5,183.125,0.00015337073813457522,1.3063991324587758e-06
183.125,183.75,0.0001538940190237652,1.3011252976342111e-06
183.75,184.375,0.0001542770600832167,1.2827070450847955e-06
184.375,185.0,0.00015785382102127604,1.315505714289057e-06
185.0,185.625,0.00016011847108000161,1.3426632601033022e-06
185.625,186.25,0.00016184284823973888,1.3384482466803691e-06
186.25,186.875,0.0001614221509246376,1.3189858008802914e-06
186.875,187.5,0.0001642566062889643,1.3532800449653665e-06
187.5,188.125,0.0001625790332414137,1.307379859632105e-06
188.125,188.75,0.00016518431431835357,1.3358258163467162e-06
188.75,189.375,0.00016664665514634126,1.3483120821805407e-06
189.375,190.0,0.00016885313969654755,1.3768132767000924e-06
190.0,190.625,0.00016970952128264342,1.3618779900108588e-06
190.625,191.25,0.00016907134304608874,1.345036972241586e-06
191.25,191.875,0.00017266648691984912,1.367110279576454e-06
191.875,192.5,0.0001721459670161262,1.3556056159394713e-06
192.5,193.125,0.00017209760133188163,1.3517130840671718e-06
193.125,193.75,0.00017523711961486938,1.3658634400516811e-06
