xl,xh,NLOFF1,dNLOFF1
106.0,106.6875,0.0,0.0
106.6875,107.375,1.8376903533624799e-09,1.3091650979007072e-09
107.375,108.0625,2.0036846805755582e-07,3.536005709892407e-08
108.0625,108.75,6.436705910000687e-07,7.392631427464347e-08
108.75,109.4375,1.0284753823801264e-06,1.1039854749693151e-07
109.4375,110.125,1.4159163725304742e-06,1.2361842444328365e-07
110.125,110.8125,1.7074948520645381e-06,1.2564739268829511e-07
110.8125,111.5,2.0631260169483734e-06,1.561468979383282e-07
111.5,112.1875,2.5940669426092056e-06,1.6899833256612583e-07
112.1875,112.875,3.1117065538135783e-06,1.9800076879124554e-07
112.875,113.5625,3.579670702183901e-06,1.9121156182431873e-07
113.5625,114.25,3.978237078064371e-06,2.1618929968465038e-07
114.25,114.9375,4.5167577897556955e-06,2.3884579057590593e-07
114.9375,115.625,4.852407616580153e-06,2.4101993845014566e-07
115.625,116.3125,5.5325576879650565e-06,2.6027924991367763e-07
116.3125,117.0,6.064602930254322e-06,2.8278338179349314e-07
117.0,117.6875,6.1495559977622355e-06,2.6205382795300837e-07
117.6875,118.375,6.714334218900692e-06,2.8623554645419494e-07
118.375,119.0625,7.2584606165726615e-06,2.9335471904037195e-07
119.0625,119.75,7.134262065876078e-06,2.8390220191699113e-07
119.75,120.4375,8.104299373177248e-06,2.931046479627125e-07
120.4375,121.125,8.390434719087126e-06,3.1471946948996005e-07
121.125,121.8125,9.16191067578204e-06,3.3922864663952307e-07
121.8125,122.5,9.644100282157942e-06,3.4045661263375467e-07
122.5,123.1875,9.885415639058874e-06,3.406867825444696e-07
123.1875,123.875,1.0077118861980136e-05,3.429819938483486e-07
123.875,124.5625,1.12318207119084e-05,3.575836139410742e-07
124.5625,125.25,1.1779826703370501e-05,3.6976225200610606e-07
125.25,125.9375,1.2028333241075338e-05,3.7056785906503353e-07
125.9375,126.625,1.3108099675195754e-05,3.7269775639277654e-07
126.625,127.3125,1.3188210909285967e-05,3.900725185970026e-07
127.3125,128.0,1.4083492749730117e-05,4.0525467154818433e-07
128.0,128.6875,1.472686209411253e-05,4.1960792573076786e-07
128.6875,129.375,1.5191797285532393e-05,4.338737877412974e-07
129.375,130.0625,1.5893723241406182e-05,4.3484812351924827e-07
130.0625,130.75,1.560055237665234e-05,4.2638610204104927e-07
130.75,131.4375,1.6900217943399822e-05,4.4608136333612205e-07
131.4375,132.125,1.7418011120847846e-05,4.5619639880877864e-07
132.125,132.8125,1.8093021483858354e-05,4.5955203946532977e-07
132.8125,133.5,1.8620820047242122e-05,4.699298254388429e-07
133.5,134.1875,1.9114330333998447e-05,4.840759050091327e-07
134.1875,134.875,1.9479250963933318e-05,4.62808713863579e-07
134.875,135.5625,2.044459751726036e-05,4.905802525576106e-07
135.5625,136.25,2.0673426383665226e-05,4.837487754088726e-07
136.25,136.9375,2.198311920994339e-05,5.103605335423297e-07
136.9375,137.625,2.2663585270136774e-05,5.180655964936642e-07
137.625,138.3125,2.358662084894698e-05,5.383023098021616e-07
138.3125,139.0,2.3002331604231624e-05,4.969912382376592e-07
139.0,139.6875,2.3721170325600285e-05,5.253434997990315e-07
139.6875,140.375,2.5190284694951673e-05,5.424697433993304e-07
140.375,141.0625,2.6181879068332953e-05,5.587748377972161e-07
141.0625,141.75,2.6586184028317127e-05,5.458729522823603e-07
141.75,142.4375,2.7656231823834673e-05,5.526510395508149e-07
142.4375,143.125,2.7829790000078373e-05,5.558978635704041e-07
143.125,143.8125,2.862930698526541e-05,5.864524891669804e-07
143.8125,144.5,2.8720812705128214e-05,5.768284992875158e-07
144.5,145.1875,2.923556392506879e-05,5.753737828149232e-07
145.1875,145.875,3.025438415348039e-05,5.920193109659813e-07
145.875,146.5625,3.226496380067453e-05,6.43079031659874e-07
146.5625,147.25,3.110674320555144e-05,5.911574539339262e-07
147.25,147.9375,3.214056674873985e-05,6.069814533477944e-07
147.9375,148.625,3.302136042145397e-05,6.039988430523003e-07
148.625,149.3125,3.3215622685664986e-05,6.009767150885689e-07
149.3125,150.0,3.480689744058769e-05,6.441649393868737e-07
150.0,150.6875,3.505558128017018e-05,5.937908142001439e-07
150.6875,151.375,3.4961268531579195e-05,6.003722883829725e-07
151.375,152.0625,3.801560918606701e-05,6.788885815629965e-07
