xl,xh,NLOFF1,dNLOFF1
106.0,106.6875,0.0,0.0
106.6875,107.375,1.3051773141210966e-09,1.305177228715099e-09
107.375,108.0625,2.591770618972072e-07,5.253526875779393e-08
108.0625,108.75,5.754496415056288e-07,6.703193795514004e-08
108.75,109.4375,1.1816552292947179e-06,1.3027537877484233e-07
109.4375,110.125,1.658666357797753e-06,1.721098315540684e-07
110.125,110.8125,1.8520398369222273e-06,1.4947501955151114e-07
110.8125,111.5,2.1742605043756404e-06,1.5588075718642616e-07
111.5,112.1875,2.5544907964971147e-06,1.4958503910897755e-07
112.1875,112.875,2.790148053338103e-06,1.572051020063427e-07
112.875,113.5625,3.779447814519518e-06,2.1483006623163654e-07
113.5625,114.25,4.0484153079124965e-06,2.1792719865980054e-07
114.25,114.9375,4.069167375147331e-06,2.0902763322840043e-07
114.9375,115.625,5.006898598977614e-06,2.465160015978583e-07
115.625,116.3125,5.410408767742975e-06,2.5189133817119404e-07
116.3125,117.0,5.7028712310431415e-06,2.722462817673299e-07
117.0,117.6875,6.342763594575079e-06,2.7392972280408924e-07
117.6875,118.375,6.485031816953239e-06,2.7210732155490747e-07
118.375,119.0625,6.7934220031711925e-06,2.6678684291063946e-07
119.0625,119.75,7.962148808925842e-06,3.0161739075953823e-07
119.75,120.4375,8.433992354459349e-06,3.232613818042032e-07
120.4375,121.125,8.531251509143256e-06,3.0502459233425714e-07
121.125,121.8125,9.042235064971127e-06,3.327555417842634e-07
121.8125,122.5,9.22823190345973e-06,3.182449292463612e-07
122.5,123.1875,1.0287916862576536e-05,3.447904316351837e-07
123.1875,123.875,1.098429947435921e-05,3.5571485300659926e-07
123.875,124.5625,1.1205794526611868e-05,3.580711716432364e-07
124.5625,125.25,1.1430949710355962e-05,3.539366707336627e-07
125.25,125.9375,1.2588042448240734e-05,4.041821181423262e-07
125.9375,126.625,1.2969626341190873e-05,4.0530652344643936e-07
126.625,127.3125,1.2624556020204054e-05,3.5680089732748643e-07
127.3125,128.0,1.397897249501174e-05,3.996071532836541e-07
128.0,128.6875,1.4523851626181764e-05,4.129002909441928e-07
128.6875,129.375,1.605470260951211e-05,4.456007802887683e-07
129.375,130.0625,1.5623819150836605e-05,4.194231373765851e-07
130.0625,130.75,1.6552986548333853e-05,4.546961024790635e-07
130.75,131.4375,1.650836348099481e-05,4.19866350811849e-07
131.4375,132.125,1.768275125931579e-05,4.738169797199979e-07
132.125,132.8125,1.7486810701074382e-05,4.2977410998802316e-07
132.8125,133.5,1.96439921711427e-05,4.848438364441917e-07
133.5,134.1875,1.924915042449857e-05,4.704817670038603e-07
134.1875,134.875,2.0068612917274414e-05,5.044135939362856e-07
134.875,135.5625,2.0428895808933043e-05,5.060145845224789e-07
135.5625,136.25,2.0704281834328743e-05,4.908309194613542e-07
136.25,136.9375,2.1588094144394392e-05,4.903604958684657e-07
136.9375,137.625,2.2068987134317683e-05,4.92697161443649e-07
137.625,138.3125,2.251687168879754e-05,4.938960617017574e-07
138.3125,139.0,2.3698072415511815e-05,5.291439663247494e-07
139.0,139.6875,2.4846980263317718e-05,5.42639279343727e-07
139.6875,140.375,2.4925572465168198e-05,5.396336347440833e-07
140.375,141.0625,2.496574645526722e-05,5.331483025679777e-07
141.0625,141.75,2.502286483195103e-05,5.160033209301601e-07
141.75,142.4375,2.7921670901180618e-05,5.864769070814622e-07
142.4375,143.125,2.8224606509106392e-05,5.84987405749062e-07
143.125,143.8125,2.8001022383526068e-05,5.588852148918252e-07
143.8125,144.5,2.898283858761343e-05,5.717839642241452e-07
144.5,145.1875,2.884711417701536e-05,5.638385470463433e-07
145.1875,145.875,3.0009151083754472e-05,5.703177571413665e-07
145.875,146.5625,3.108689377493685e-05,5.908422330475602e-07
146.5625,147.25,3.2537683347853316e-05,6.123026781088074e-07
147.25,147.9375,3.2309658479392864e-05,6.191023161929149e-07
147.9375,148.625,3.317351560235271e-05,6.008971753379223e-07
148.625,149.3125,3.4388000349951544e-05,6.220223140402397e-07
149.3125,150.0,3.439135045252461e-05,6.075412739745864e-07
