# T1 (unpatched phokhara_nostop) and T2 variants, 30 seeds x 100k each, 2026-09-23
# h1: H1 parenthesis fixed; h2: analytic ISR soft log removed from V1(1) (probe); h1h2: both
run                      w    N          sigma1_MC          sigma2_MC           sigma_MC            A(th+)            A(th-)           A(thav)
t1_w1e-3              1d-3   30      0.138600(301)      0.129734(142)      0.268333(333)     +0.31058(114)     -0.31246(114)     -0.34834(111)
t1_w1e-4              1d-4   30      0.095473(302)      0.172794(185)      0.268267(354)     +0.29496(123)     -0.29393(123)     -0.32962(120)
t1_w1e-5           .00001d0   30      0.053038(234)      0.214877(228)      0.267915(326)     +0.27854(115)     -0.27818(115)     -0.31255(113)
t1_w1e-6              1d-6   30      0.010269(133)      0.258035(272)      0.268304(303)     +0.26366(107)     -0.26397(108)     -0.29606(106)
t2_h1_w1e-4           1d-4   30      0.096079(284)      0.172770(184)      0.268849(339)     +0.25852(120)     -0.25827(120)     -0.29008(118)
t2_h1_w1e-5        .00001d0   30      0.052925(233)      0.215082(226)      0.268007(325)     +0.24143(118)     -0.24132(118)     -0.27185(117)
t2_h1_w1e-6           1d-6   30      0.010594(190)      0.257789(270)      0.268383(330)     +0.22506(120)     -0.22374(120)     -0.25353(119)
t2_h2_w1e-4           1d-4   30      0.095456(319)      0.172695(186)      0.268151(369)     +0.35439(126)     -0.35524(126)     -0.39608(123)
t2_h2_w1e-5        .00001d0   30      0.053074(272)      0.215323(231)      0.268396(357)     +0.35469(124)     -0.35556(124)     -0.39727(122)
t2_h2_w1e-6           1d-6   30      0.010637(251)      0.257696(275)      0.268334(372)     +0.35358(136)     -0.35447(136)     -0.39540(136)
t2_h1h2_w1e-4         1d-4   30      0.095895(294)      0.172581(187)      0.268475(348)     +0.32005(119)     -0.31874(119)     -0.35702(117)
t2_h1h2_w1e-5      .00001d0   30      0.053126(264)      0.215251(230)      0.268377(350)     +0.31839(122)     -0.31839(122)     -0.35622(120)
t2_h1h2_w1e-6         1d-6   30      0.010394(206)      0.258099(274)      0.268493(343)     +0.31806(124)     -0.31937(124)     -0.35737(123)
# reference: CEEX prod500k A(th+) 0.23751(13) / 0.23752(14), BabaYaga 0.23724(1)
