# phokhara_fix = phokhara_nostop + h1.patch + h3.patch, 30 seeds x 100k per w, vs unpatched (T1), 2026-09-23
run                      w    N          sigma1_MC          sigma2_MC           sigma_MC            A(th+)            A(th-)           A(thav)
t4_fix_w1e-3          1d-3   30      0.138379(303)      0.129610(139)      0.267989(333)     +0.23489(119)     -0.23690(119)     -0.26447(117)
t4_fix_w1e-4          1d-4   30      0.095996(296)      0.172922(183)      0.268918(348)     +0.23517(125)     -0.23530(125)     -0.26496(124)
t4_fix_w1e-5       .00001d0   30      0.052611(219)      0.215933(227)      0.268544(316)     +0.23831(115)     -0.23884(114)     -0.26756(114)
t4_fix_w1e-6          1d-6   30      0.010001(144)      0.257841(271)      0.267842(307)     +0.23740(110)     -0.23813(110)     -0.26808(109)
t1_w1e-3              1d-3   30      0.138600(301)      0.129734(142)      0.268333(333)     +0.31058(114)     -0.31246(114)     -0.34834(111)
t1_w1e-4              1d-4   30      0.095473(302)      0.172794(185)      0.268267(354)     +0.29496(123)     -0.29393(123)     -0.32962(120)
t1_w1e-5           .00001d0   30      0.053038(234)      0.214877(228)      0.267915(326)     +0.27854(115)     -0.27818(115)     -0.31255(113)
t1_w1e-6              1d-6   30      0.010269(133)      0.258035(272)      0.268304(303)     +0.26366(107)     -0.26397(108)     -0.29606(106)
# fix, fit over w: A(th+) slope -0.00104(51)/decade, average 0.23654(58); -A(th-) 0.23740(58); -A(thav) 0.26639(58)
# unpatched slope +0.0156/decade. CEEX prod500k: 0.23751(13)/0.23737/0.26660; BabaYaga 0.23724/0.23727/0.26650
